datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2016-01-25 13:36:34-02"	CPQBA	CPMA	1298	"Myrcia lingua"	S	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Myrtaceae¹	Myrcia	lingua		"(O. Berg) Mattos"							"CPQBA 883"	Narciso/Sergio	1982	07	23				Brasil	"São Paulo"	"SANTA CRUZ DAS PALMEIRAS"	"Cachoeira das emas"	-47.248611	-21.826944															"somente no herbário"
"2019-07-11 08:55:30-03"	ESALQ	ESA	13800	"Myrcia lingua"	S	Plantae	Magnoliophyta			Myrtaceae	Myrcia	lingua			"Rodrigues, R.R."					1330		"Barreto, K.D. et al."	1993	09	30				Brasil	"São Paulo"	Itirapina		0	0	-47.8199996948242	-22.25	22843												
"2019-07-11 10:11:25-03"	ESALQ	ESA	80248	"Myrcia lingua"	S	Plantae	Magnoliophyta			Myrtaceae	Myrcia	lingua		"(O.Berg) Mattos"	"Tamashiro, J.Y."					319		"Souza, F.M."	2002	02	08				Brasil	"São Paulo"	Itirapina	"Cerrado denso - \"Valério\"."	-47.5112	-22.1302															"Árvore, 3 m, frutos vermelhos."
"2019-07-11 08:55:30-03"	ESALQ	ESA	114899	"Myrcia lingua"	S	Plantae	Magnoliophyta			Myrtaceae	Myrcia	lingua			"Souza, F.M."					319		"Souza, F.M."	2002	01	29				Brasil	"São Paulo"	Itirapina		0	0	-47.8199996948242	-22.25	22843												
"2019-07-24 15:28:05-03"	ASU	ASU-PLANTS		"Myrcia lingua"	PreservedSpecimen	Plantae	Magnoliophyta		Myrtales	Myrtaceae	Myrcia	lingua		"(O.Berg) Mattos & D.Legrand"	"Legrand, 1962"					2383		"George Eiten; Liene T. Eiten"							Brazil	"Sao Paulo"		"Municipio de Moji- Guacu: 'Campos das Sete Lagoas'. Fazenda Campininha, just north of Rio Moji- Guacu. ca. 10 km NNE of Padua Sales"	-47.1167	-22.1833					650	650						261746			"PHOTO-MICH; Small shurb 6 dm tall. flowers white"
"2019-07-24 16:08:50-03"	SMITHSONIAN	US	2369942	"Myrcia lingua"	PreservedSpecimen	Plantae		Dicotyledonae	Myrtales	Myrtaceae	Myrcia	lingua		"(O. Berg) Mattos"						2383		"G. Eiten & L. T. Eiten"	1960	09	22			"South America - Neotropics"	Brazil	"São Paulo"	"Mogi Guaçu"	"\"Campos das Sete Lagôas\". Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales."	-22.12	-22.18					650	650									"<a href=\"http://n2t.net/ark:/65665/3be839c32-7e8d-499f-80c0-388919c2c5f4\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-07-24 16:08:50-03"	SMITHSONIAN	US	2369944	"Myrcia lingua"	PreservedSpecimen	Plantae		Dicotyledonae	Myrtales	Myrtaceae	Myrcia	lingua		"(O. Berg) Mattos"						2386		"G. Eiten & L. T. Eiten"	1960	09	22			"South America - Neotropics"	Brazil	"São Paulo"	"Mogi Guaçu"	"Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Mogi Guaçu 10 km NNE of Padua Sales (about 27 km NW of city of Mogi-Mirim)"	-22.12	-22.18					650	650									"<a href=\"http://n2t.net/ark:/65665/3b78afb47-2e20-41ea-b9d7-088fa7c06d5b\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-07-24 16:08:50-03"	SMITHSONIAN	US	2369945	"Myrcia lingua"	PreservedSpecimen	Plantae		Dicotyledonae	Myrtales	Myrtaceae	Myrcia	lingua		"(O. Berg) Mattos"						2389		"G. Eiten & L. T. Eiten"	1960	09	22			"South America - Neotropics"	Brazil	"São Paulo"	"Mogi Guaçu"	"\"Campos das Sete Lagôas\". Fazenda Campinunha just north of Rio Moji-Guaçu. 10 km NNE of Padua Sales."	-22.12	-22.18					650	650									"<a href=\"http://n2t.net/ark:/65665/3b0cc7d30-0330-487e-8b29-429896445492\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-07-24 16:08:50-03"	SMITHSONIAN	US	2729339	"Myrcia lingua"	PreservedSpecimen	Plantae		Dicotyledonae	Myrtales	Myrtaceae	Myrcia	lingua		"(O. Berg) Mattos"						8440		"J. R. de Mattos & N. Mattos"	1960	11	16			"South America - Neotropics"	Brazil	"São Paulo"	"Mogi Guaçu"	"Fazenda Campininha, 4,2 km NNW de Padua Sales"	0	0	-46.9421997070312	-22.372200012207	39309												"<a href=\"http://n2t.net/ark:/65665/369bbdaee-3a06-4253-9f03-b38e2febe17c\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-07-24 16:08:50-03"	SMITHSONIAN	US	2729342	"Myrcia lingua"	PreservedSpecimen	Plantae		Dicotyledonae	Myrtales	Myrtaceae	Myrcia	lingua		"(O. Berg) Mattos"						8277		"J. R. de Mattos & N. Mattos"	1960	09	20			"South America - Neotropics"	Brazil	"São Paulo"	"Mogi Guaçu"	"Faz. Campininha, 3,2-3,4 km NNW de Padua Sales. Em frente da Sede."	0	0	-46.9421997070312	-22.372200012207	39309												"<a href=\"http://n2t.net/ark:/65665/34cde6dc8-2c48-4497-b750-884c132bd591\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
