datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2013-02-07 10:18:23-02"	UMC	HUMC	1395	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata								514		"Tomasulo, P.L."	1998	07	07			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-02-07 10:18:23-02"	UMC	HUMC	1447	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata								indet		"Tomasulo, P.L."	1997	02	26			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-04-01 09:19:07-03"	IPT	BCTW	17845	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17846	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17849	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17848	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17847	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17844	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2014-07-30 10:41:01-03"	CITSF	HXBH	015284	"Erythroxylum tortuosum mart."	S	Plantae				Erythroxylaceae	Erythroxylum	"tortuosum mart."			"Queiroz, L. P."	1989	01	01				"Queiroz, L. P. 2380"	1989	08	01				BR	SP	Itirapina	"Área de entorno da represa do Lobo"	0	0	-47.82	-22.25	22843												"Flores brancas"	
"2015-07-02 14:01:47-03"	JBP	HPL	10831	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata		"(Schott) Baill."	"J.A. Pastore"	2002	02	13		1111		"J.A. Pastore & C. Moura"	2002	02	01				Brasil	SP	"São Vicente"	"Coletado no Parque Estadual Xixová-Japuí, trilha da pedreira, segundo acesso sentido costeira. S 23° 58' 37\" - 24° 02' 06\"; W 46° 22' 19\" - 46° 24' 42\""	0	0	-46.39	-23.96	25482													
"2015-07-02 14:01:47-03"	JBP	HPL	2942	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata		"Poepp. ex Baill."	"E.R. Salviani & H. Lorenzi"	1998	05	20		2		"H. Lorenzi"	1998	05	20				Brasil	SP	"Mogi Mirim"	"Estrada a esquerda no horto de Mogi Mirim, próximo a Licania humilis."	0	0	-46.95	-22.43	19575													
"2015-07-02 14:01:47-03"	JBP	HPL	8920	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata			"R. Tsuji"	2007	05	09		1989		"R. Tsuji"	2007	05	09				Brasil	SP	Cananéia	"Coletado a beira de rodovia; em área de mata de restinga."	0	0	-47.92	-25.01	37574													
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2803422	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1983				"Eiten 5061"		"George Eiten|Liene T. Eiten"	1983	11	07			"South America"	Brazil	"São Paulo"		"Municipio de Moji-Guacu; \"Campos das Sete Lagóas\". Fazenda Campininha, just north of Rio Moji-Guascu 4.5 km. NNW of Padua Sales.( About 27 km. NW of city of MOJI-MIRIM). Genreal vegetation; campo cerrado ( a type of scrubby woodland originally) on upland,"	-47.11944	-22.18833					575	625										
"2016-10-10 10:26:36-03"	MOBOT	MOBOT_BR	152082	"Pera glabrata"	S	Plantae				Peraceae	Pera	glabrata		"(Schott) Poepp. ex Baill."	"R.L. Liesner (MO)"	1996				"Gentry 58743"	87-183	"Alwyn H. Gentry|A. da Silva"	1987	08	27			"South America"	Brazil	"São Paulo"		"Santa Genebra Forest Reserve, Barão Geraldo near Campinas. Disturbed semideciduous forest. Transect 3"	-46.0833333	-22.8666667					550	550										
"2016-10-10 10:26:35-03"	MOBOT	MOBOT_BR	2969573	"Pera glabrata"	S	Plantae				Peraceae	Pera	glabrata		"(Schott) Poepp. ex Baill."	"R.L. Liesner"	1996				"Tsugaru B-2318"		"Shunsuke Tsugaru|Yasuharu Fujimoto|T. Tariki"	1987	12	08			"South America"	Brazil	"São Paulo"		"Vicinity of Registro, 200km SW from São Paulo, along the Rt. BR-116. At the thicket by road."	0	0																
