datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2018-07-13 14:11:08-03"	UnB	UB	186418	"Anadenanthera peregrina falcata"	S	Plantae	Dicotyledoneae			Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"Mamede, MCH"	2008	12			3259		"Eiten, G; Eiten, LT"	1961	07	10			"Southern America"	Brasil	"São Paulo"	"Mogi Guaçu"	"Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. About 10 km N/NE of river & village of Padua Sales. (About 27 km NW of city of Moji-Mirim)"	-48.166667	-22.183333					575	625									"Tree 4 1/2 m. tall, trunk 15 cm.; General vegetation: campo cerrado on upland (or occasionally forest). Open marsh or dense secondary forest along streams. This habitat: dense campo cerrado (a type of woodland)."
"2019-12-06 14:46:08-03"	MBM	MBM	228911	"Anadenanthera peregrina falcata"	S	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(L.) Speg."						138		"Mattos, A.; et al.; et al."						"Southern America"	Brazil	"São Paulo"	Mogi-Guaçu	"Fazenda Campininha"	0	0															
"2019-12-16 17:13:34-03"	NYBG	NYBG	442868	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"						1007		"I. Silberbauer-Gottsberger"	1971	02	17			"South America"	Brazil	"São Paulo"	Botucatu	"18km north of Botucatu, (14km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station"	-48.42	-22.75					550	550				sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487010\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-12-16 17:13:34-03"	NYBG	NYBG	442869	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"						326		"I. Silberbauer-Gottsberger"	1970	09	03			"South America"	Brazil	"São Paulo"	Botucatu	"18km north of Botucatu, (14km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station"	-48.42	-22.75					550	550				sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487011\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-12-16 17:13:34-03"	NYBG	NYBG	442870	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"						999		"W. Mantovani"	1980	09	16			"South America"	Brazil	"São Paulo"	Moji-Guaçu	"Martinho Prado, Reserva Biologica da Fazenda Campininha"	-47.164784	-22.242395										sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487005\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-12-16 17:13:34-03"	NYBG	NYBG	442871	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"						1488		"W. Mantovani"	1980	12	23			"South America"	Brazil	"São Paulo"	Moji-Guaçu	"Martinho Prado, Reserva Biologica da Fazenda Campininha"	-47.164784	-22.242395										sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487006\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-12-16 17:13:34-03"	NYBG	NYBG	442874	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"								"A. Sato"	1982	08	26			"South America"	Brazil	"São Paulo"	"Sao Carlos"	"Fazenda Conchin"	-47.8897	-22.0103										sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487007\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2019-12-16 17:13:34-03"	NYBG	NYBG	442876	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae	Magnoliophyta		Fabales	Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"S. von Reis"					26646		"N. de Andrade"	1930	10				"South America"	Brazil	"São Paulo"		"Prata. Ex. Herv. do Serv. Fl. da Comp. EStr. de Ferro no 337"	0	0										sheet					"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487013\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2020-02-03 10:31:38-03"	UNESP-IBB	BOTU	10971	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"Gottsberger, I.S."	1982				101074		"Gottsberger, I.S."	1974	10	10				Brasil	"São Paulo"	Botucatu	"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio"	-48.416667	-22.75															"Altitude ca. 550m. Uma área de Cerrado, consistindo de dois morros e um vale no meio. A área é preservada pela Usina de Açúcar de São Manuel. Árvore. Forma A e forma B a mesma espécie somente diferente grau de desenvolvi; Coleção: Cer"
"2020-02-03 10:31:38-03"	UNESP-IBB	BOTU	11026	"Anadenanthera peregrina falcata"	PreservedSpecimen	Plantae				Fabaceae	Anadenanthera	peregrina	falcata	"(Benth.) Altschul"	"Gottsberger, I.S."	1982				101074		"Gottsberger, I.S."	1974	10	10				Brasil	"São Paulo"	Botucatu	"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio"	-48.416667	-22.75															"Altitude ca. 550m. Uma área de Cerrado, consistindo de dois morros e um vale no meio. A área é preservada pela Usina de Açúcar de São Manuel. Árvore. Forma A e forma B a mesma espécie somente diferente grau de desenvolvi; Coleção: Cer"
