"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","FG","Life.Form"
"37",1,2,"38","Aegiphila verticillata",4,"9.1","10.5","AEVE",9.1,10.5,65.038766975,86.590074375,1,86.590074375,65.038766975,4.5499980783893,5.24999778275689,"S","tree"
"38",1,2,"39","Gochnatia polymorpha",4.5,"9+7.1","10.3+7.8","GOPO",9,10.3,103.209085475,131.106404675,1,131.106404675,103.209085475,5.73170762082997,6.46006693077287,"G","tree"
"39",1,2,"40","Machaerium brasiliense",6.5,"6.1","7.6","MABR",6.1,7.6,29.224640975,45.3645596,1,45.3645596,29.224640975,3.04999871188733,3.79999839513832,"G","tree"
"40",1,2,"41","Gochnatia polymorpha",5,"6.2+6+6.3","12.8+7.8","GOPO",6.3,12.8,89.637416675,176.4631103,1,176.4631103,89.637416675,5.34157990669692,7.49466160378377,"G","tree"
"41",1,3,"42","Gochnatia polymorpha",3.2,"4.7+2.9+2.5","6.1","GOPO",4.7,6.1,28.863358125,29.224640975,1,29.224640975,28.863358125,3.03108763311963,3.04999871188733,"G","tree"
"42",1,3,"43","Gochnatia polymorpha",2.8,"2.1","2.8","GOPO",2.1,2.8,3.463602975,6.1575164,4,24.6300656,13.8544119,1.04999955655138,1.39999940873517,"G","tree"
"43",1,3,"44","Gochnatia polymorpha",2.8,"2.2","2.7","GOPO",2.2,2.7,3.8013239,5.725547775,4,22.9021911,15.2052956,1.09999953543478,1.34999942985177,"G","tree"
"44",1,3,"45","Myrcia fallax",1.9,"1.2+1.1","2","MYFA",1.2,2,2.081303375,3.14159,4,12.56636,8.3252135,0.813940686051625,0.999999577667978,"G","tree"
"45",1,3,"46","Vochysia tucanorum",4,"4.7","6.1","VOTU",4.7,6.1,17.349430775,29.224640975,1,29.224640975,17.349430775,2.34999900751975,3.04999871188733,"G","tree"
"46",1,3,"47","Zeyheria montana",1.9,"1.2","2.3","ZEMO",1.2,2.3,1.1309724,4.154752775,4,16.6190111,4.5238896,0.599999746600787,1.14999951431817,"S","shrub"
"47",1,3,"48","Gochnatia polymorpha",3.2,"2.8+2","4.5+3.2","GOPO",2.8,4.5,9.2991064,23.946769775,4,95.7870791,37.1964256,1.72046432680104,2.76088637244449,"G","tree"
"48",1,3,"49","Vochysia tucanorum",6,"9.3","7.9","VOTU",9.3,7.9,67.929029775,49.016657975,1,49.016657975,67.929029775,4.6499980361561,3.94999833178851,"G","tree"
"49",1,3,"50","Leptolobium elegans",4,"7.2","10.6","LEEL",7.2,10.6,40.7150064,88.2472631,1,88.2472631,40.7150064,3.59999847960472,5.29999776164028,"S","tree"
"50",1,3,"51","Vochysia tucanorum",5,"8.6","10.5","VOTU",8.6,10.5,58.0879991,86.590074375,1,86.590074375,58.0879991,4.29999818397231,5.24999778275689,"G","tree"
"51",1,3,"52","Myrcia fallax",3,"5.9+5.5","7.3","MYFA",5.9,7.3,51.09796135,41.853832775,1,41.853832775,51.09796135,4.03298726275477,3.64999845848812,"G","tree"
"52",1,3,"53","Myrcia fallax",4,"7.1+5.8","8","MYFA",7.1,8,66.012659875,50.26544,1,50.26544,66.012659875,4.58393741793019,3.99999831067191,"G","tree"
"53",1,3,"54","Myrcia fallax",3,"5.2","5.4","MYFA",5.2,5.4,21.2371484,22.9021911,1,22.9021911,21.2371484,2.59999890193674,2.69999885970354,"G","tree"
"54",1,3,"55","Gochnatia polymorpha",3.5,"5.1+5","8.5","GOPO",5.1,8.5,40.063126475,56.744969375,1,56.744969375,40.063126475,3.57106275895903,4.24999820508891,"G","tree"
"55",1,3,"56","Gochnatia polymorpha",5,"5.3+7.5","8.6","GOPO",7.5,8.6,66.24042515,58.0879991,1,58.0879991,66.24042515,4.59183865028622,4.29999818397231,"G","tree"
"56",1,3,"57","Myrcia fallax",4,"5.9+7.5","7.2","MYFA",7.5,7.2,71.51829635,40.7150064,1,40.7150064,71.51829635,4.77126616017458,3.59999847960472,"G","tree"
"57",1,3,"58","Gochnatia polymorpha",5,"7.4","9.6","GOPO",7.4,9.6,43.0083671,72.3822336,1,72.3822336,43.0083671,3.69999843737152,4.7999979728063,"G","tree"
"58",1,3,"60","Annona coriacea",2.5,"5.2","6.3","ANCO",5.2,6.3,21.2371484,31.172426775,1,31.172426775,21.2371484,2.59999890193674,3.14999866965413,"S","tree"
"59",1,3,"61","Vochysia tucanorum",4.5,"9","10.7","VOTU",9,10.7,63.6171975,89.920159775,1,89.920159775,63.6171975,4.4999980995059,5.34999774052368,"G","tree"
"60",1,3,"62","Gochnatia polymorpha",4,"7.9","9.2","GOPO",7.9,9.2,49.016657975,66.4760444,1,66.4760444,49.016657975,3.94999833178851,4.5999980572727,"G","tree"
"61",1,4,"59","Ocotea corymbosa",2.8,"2.4","2.4","OCCO",2.4,2.4,4.5238896,4.5238896,4,18.0955584,18.0955584,1.19999949320157,1.19999949320157,"G","tree"
"62",1,4,"64","Ocotea corymbosa",4,"2","2.5","OCCO",2,2.5,3.14159,4.908734375,4,19.6349375,12.56636,0.999999577667978,1.24999947208497,"G","tree"
"63",1,4,"65","Myrcia fallax",3.5,"4.9+4.1","6.6","MYFA",4.9,6.6,32.05992595,34.2119151,1,34.2119151,32.05992595,3.19452521984179,3.29999860630433,"G","tree"
"64",1,4,"66","Campomanesia adamantium",2.4,"3.3","4.1","CAAD",3.3,4.1,8.552978775,13.202531975,4,52.8101279,34.2119151,1.64999930315216,2.04999913421936,"S","shrub"
"65",1,4,"67","Pera obovata",4.15,"3.5","4.4","PEOB",3.5,4.4,9.621119375,15.2052956,4,60.8211824,38.4844775,1.74999926091896,2.19999907086955,"G","tree"
"66",1,4,"68","Myrcia tomentosa",2.5,"1.2","1.8","MYTO",1.2,1.8,1.1309724,2.5446879,4,10.1787516,4.5238896,0.599999746600787,0.89999961990118,"G","tree"
"67",1,4,"69","Gochnatia polymorpha",3,"2","2.8","GOPO",2,2.8,3.14159,6.1575164,4,24.6300656,12.56636,0.999999577667978,1.39999940873517,"G","tree"
"68",1,4,"70","Myrcia fallax",2.8,"1.4","2.4","MYFA",1.4,2.4,1.5393791,4.5238896,4,18.0955584,6.1575164,0.699999704367585,1.19999949320157,"G","tree"
"69",1,4,"71","Miconia albicans",3.5,"2+1.2","2.8","MIAL",2,2.8,4.2725624,6.1575164,4,24.6300656,17.0902496,1.16618988644952,1.39999940873517,"S","treelet"
"70",1,4,"72","Styrax camporum",2.85,"2.6","3.3","STCA",2.6,3.3,5.3092871,8.552978775,4,34.2119151,21.2371484,1.29999945096837,1.64999930315216,"S","tree"
"71",1,4,"73","Miconia albicans",3.5,"1.1","2.1+1.1","MIAL",1.1,2.1,0.950330975,4.41393395,4,17.6557358,3.8013239,0.549999767717388,1.18532645851144,"S","treelet"
"72",1,4,"74","Gochnatia polymorpha",2.1,"4.1","5.5","GOPO",4.1,5.5,13.202531975,23.758274375,1,23.758274375,13.202531975,2.04999913421936,2.74999883858694,"G","tree"
"73",1,4,"75","Miconia albicans",4.2,"2.1+1.5","2.5+3.7+1.8+2.8+2.1","MIAL",2.1,3.7,5.23074735,27.826633425,4,111.3065337,20.9229894,1.29034824510078,2.97615398096097,"S","treelet"
"74",1,4,"76","Rapanea umbellata",NA,"3.1","4.1","RAUM",3.1,4.1,7.547669975,13.202531975,4,52.8101279,30.1906799,1.54999934538537,2.04999913421936,"G","tree"
"75",1,4,"77","Miconia ligustroides",5.05,"6.5","8.4","MILI",6.5,8.4,33.183044375,55.4176476,1,55.4176476,33.183044375,3.24999862742093,4.19999822620551,"S","treelet"
"76",1,4,"78","Gochnatia polymorpha",4,"7","7.9","GOPO",7,7.9,38.4844775,49.016657975,1,49.016657975,38.4844775,3.49999852183792,3.94999833178851,"G","tree"
"77",1,4,"79","Rapanea umbellata",5.05,"7.5","9.7","RAUM",7.5,9.7,44.178609375,73.898050775,1,73.898050775,44.178609375,3.74999841625492,4.84999795168969,"G","tree"
"78",1,4,"80","Gochnatia polymorpha",6,"9","10.7","GOPO",9,10.7,63.6171975,89.920159775,1,89.920159775,63.6171975,4.4999980995059,5.34999774052368,"G","tree"
"79",1,4,"81","Myrcia fallax",3.8,"6.9","6.8+6.8","MYFA",6.9,6.8,37.392774975,72.6335608,1,72.6335608,37.392774975,3.44999854295453,4.80832408135843,"G","tree"
"80",1,4,"82","Vochysia tucanorum",6,"10.7","13.3","VOTU",10.7,13.3,89.920159775,138.928963775,1,138.928963775,89.920159775,5.34999774052368,6.64999719149206,"G","tree"
"81",1,4,"83","Gochnatia polymorpha",5,"14.4","15.8","GOPO",14.4,15.8,162.8600256,196.0666319,1,196.0666319,162.8600256,7.19999695920944,7.89999666357703,"G","tree"
"82",1,4,"84","Stryphnodendron rotundifolium",3.85,"8.8","6.7","STRO",8.8,6.7,60.8211824,35.256493775,1,35.256493775,60.8211824,4.3999981417391,3.34999858518773,"S","tree"
"83",1,4,"85","Gochnatia polymorpha",4.9,"8+5.3","11.6","GOPO",8,11.6,72.327255775,105.6830876,1,105.6830876,72.327255775,4.79817471062967,5.79999755047427,"G","tree"
"84",1,4,"86","Rapanea umbellata",5,"5","6.3","RAUM",5,6.3,19.6349375,31.172426775,1,31.172426775,19.6349375,2.49999894416995,3.14999866965413,"G","tree"
"85",1,4,"87","Rapanea umbellata",5.5,"9.2","8.2","RAUM",9.2,8.2,66.4760444,52.8101279,1,52.8101279,66.4760444,4.5999980572727,4.09999826843871,"G","tree"
"86",1,4,"88","Gochnatia polymorpha",4.1,"6.7+5.3","11.8","GOPO",6.7,11.8,57.31830955,109.3587479,1,109.3587479,57.31830955,4.27141482287869,5.89999750824107,"G","tree"
"87",1,4,"89","Gochnatia polymorpha",3.75,"7","9.5","GOPO",7,9.5,38.4844775,70.882124375,1,70.882124375,38.4844775,3.49999852183792,4.7499979939229,"G","tree"
"88",1,4,"90","Rapanea umbellata",5.3,"9","7.1","RAUM",9,7.1,63.6171975,39.591887975,1,39.591887975,63.6171975,4.4999980995059,3.54999850072132,"G","tree"
"89",1,4,"91","Gochnatia polymorpha",5.5,"13.1","14.8","GOPO",13.1,14.8,134.782064975,172.0334684,1,172.0334684,134.782064975,6.54999723372526,7.39999687474304,"G","tree"
"90",1,4,"92","Vochysia tucanorum",3,"5.6","7.4","VOTU",5.6,7.4,24.6300656,43.0083671,1,43.0083671,24.6300656,2.79999881747034,3.69999843737152,"G","tree"
"91",1,5,"93","Machaerium brasiliense",5,"4.4","5.8","MABR",4.4,5.8,15.2052956,26.4207719,1,26.4207719,15.2052956,2.19999907086955,2.89999877523714,"G","tree"
