"","Code","N","Leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio_at_5cm","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"1","AEVE",6,6025.82888916667,0.341111111111111,0,2.71892604862431,0.613262628442289,3.34020474506214,98.8634372666667,9.14198180252883,1.27434068882734,0.425399702,"S","tree"
"2","ALED",5,7753.0858518,0.291333333333333,0,4.27553055969643,0.721311897973238,1.73327205803649,72.384487024,3.19386386373929,0.585363019916291,0.7972590284,"S","Treelet"
"3","AMIN",8,5158.53812533333,0.235555555555556,0,5.37089410461496,0.668759606809941,2.27452000291664,124.312228016667,3.15999998682765,0.685472460249536,0.719115994,"G","tree"
"4","ANCA",2,8288.9162855,0.181666666666667,0,NA,0.295007607776839,0,151.54454835,5.59355990297454,1.17655746364859,0.266446861,"F","tree"
"5","ANCO",6,4662.72084433333,0.465555555555556,0,4.09263760827047,0.593462405577784,4.11051833221109,72.9540577516667,7.79726313399626,1.89486158625069,0.3997264335,"S","tree"
"6","ANCR",7,4857.82356171429,0.345714285714286,0,3.32113365692767,0.51041867854928,3.20903488850169,69.32184481,15.561674188353,1.63154219554784,0.372258546571429,"S","tree"
"7","ANDI",5,10233.4578214,0.473333333333333,0,1.82097433952724,1.06347173992305,4.00450006320313,114.497480302,2.93288813724564,1.15564961785479,0.3241228446,"S","shrub"
"8","ANFA",7,7.3282361042,0.176666666666667,0,8.19191815880443,0.249410321085433,1.27241720804418,48.37191453,20.7491714292398,1.23107616830669,0.6388030136,"G","tree"
"9","BADR",6,88.4078313066667,0.186111111111111,0,3.05760957792208,0.298062489793889,5,91.47928508,2.24821768371279,0.57651719527085,0.547898852166667,"G","treelet"
"10","BALO",6,5804.3213876,0.382,0,5.95574447799142,0.381376113748216,2.49486776340625,114.20866211,3.66450626919293,0.957288341270916,0.7607245802,"F","tree"
"11","BARU",5,5797.3977878,0.436,0,4.75973128934484,0.348619072287876,5.44427298720104,86.329107008,2.36742710331219,0.904098582345393,0.6177401052,"S","shrub"
"12","BOVI",5,797.77223698,0.247333333333333,0,4.76692309871926,0.623899779437743,2.70812777744987,86.55506444,10.4738411145861,1.88461462337829,0.567884798,"S","tree"
"13","BYBA",1,13985.32434,0.493333333333333,0,NA,0.62,0,64.4519651,9.63234559367728,1.27,0.490272374,"S","tree"
"14","BYCO",5,2790.4772316,0.323333333333333,0,3.54296174653282,0.492072112717055,2.91560017751362,81.761138718,9.27485457708023,1.37544321561262,0.6895979772,"S","tree"
"15","CAAD",6,1331.67631852,0.332666666666667,0,2.0170631942763,0.744127950125619,3.02116203334875,67.639746222,1.68496055423971,0.735829034154962,0.719158424,"S","shrub"
"16","CABR",5,6705.3657454,0.454666666666667,0,1.97171676417188,0.633630045067968,2.81218949040486,75.11612722,12.5976109160465,0.816920605110126,0.5903615052,"S","tree"
"17","CAGU",5,2736.600614,0.283333333333333,0,4.61692849271458,0.472121748339954,2.56324231664014,143.005872458,1.692293787227,0.859845755212157,0.6908990396,"F","tree"
"18","CALU",1,1355.626761,0.41,0,NA,0.828571428571429,0,62.21587651,5.91777946631518,1.165,0.728271728,"F","tree"
"19","CASY",10,981.40981375,0.170555555555556,0,4.53899014326992,0.568133983933932,2.03485036676971,113.4738388,3.81048799196292,0.994416149554788,0.6609211425,"F","tree"
"20","CESE",2,1412.043771,0.166666666666667,0,NA,0.717159420289855,0,173.5813898,1.08239818152198,0.626903133032174,0.6383076225,"F","shrub"
