"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","Life.Form","Phylo.name","Authority","Light.code","Char.height"
"12",1,1,"12","Gochnatia polymorpha",5,"12.6+7.1","14.8","GOPO",12.6,14.8,164.281595075,172.0334684,1,172.0334684,164.281595075,7.23135228227853,7.39999687474304,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"13",1,1,"13","Gochnatia polymorpha",4.22,"4.5","4.7","GOPO",4.5,4.7,15.904299375,17.349430775,4,69.3977231,63.6171975,2.24999904975295,2.34999900751975,"tree","Gochnatia polymorpha","(Less.) G. Sancho",2,NA
"14",1,1,"14","Campomanesia adamantium",1.8,"1","2.5","CAAD",1,2.5,0.7853975,4.908734375,4,19.6349375,3.14159,0.499999788833989,1.24999947208497,"shrub","Campomanesia adamantium","(Cambess.) O.Berg",NA,NA
"15",1,1,"15","Myrcia fallax",2.3,"1","3.3","MYFA",1,3.3,0.7853975,8.552978775,4,34.2119151,3.14159,0.499999788833989,1.64999930315216,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"16",1,1,"16","Vochysia tucanorum",2.16,"1.3","2.1","VOTU",1.3,2.1,1.327321775,3.463602975,4,13.8544119,5.3092871,0.649999725484186,1.04999955655138,"tree","Vochysia tucanorum","",2,NA
"17",1,1,"17","Leptolobium elegans",3.2,"6","9.3","LEEL",6,9.3,28.27431,67.929029775,1,67.929029775,28.27431,2.99999873300394,4.6499980361561,"tree","Leptolobium elegans","Vogel",2,NA
"18",1,1,"18","Gochnatia polymorpha",4.1,"5.5","8.2","GOPO",5.5,8.2,23.758274375,52.8101279,1,52.8101279,23.758274375,2.74999883858694,4.09999826843871,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"19",1,1,"19","Lacistema hasslerianum",2.41,"1+1.2","1.8","LAHA",1.2,1.8,1.9163699,2.5446879,4,10.1787516,7.6654796,0.781024637738812,0.89999961990118,"treelet","Lacistema hasslerianum","Chodat",2,NA
"20",1,1,"21","Ocotea corymbosa",6,"6.6","7.3","OCCO",6.6,7.3,34.2119151,41.853832775,1,41.853832775,34.2119151,3.29999860630433,3.64999845848812,"tree","Ocotea corymbosa","(Meisn.) Mez",4,NA
"21",1,1,"22","Gochnatia polymorpha",1.8,"1.2","1.5","GOPO",1.2,1.5,1.1309724,1.767144375,4,7.0685775,4.5238896,0.599999746600787,0.749999683250984,"tree","Gochnatia polymorpha","(Less.) G. Sancho",2,NA
"22",1,1,"23","Rapanea umbellata",1.7,"1","","RAUM",1,NA,0.7853975,0,4,0,3.14159,0.499999788833989,0,"tree","Myrsine umbellata","Mart.",2,NA
"23",1,1,"24","Dimorphandra mollis",5,"8.6","9.4","DIMO",8.6,9.4,58.0879991,69.3977231,1,69.3977231,58.0879991,4.29999818397231,4.6999980150395,"tree","Dimorphandra mollis","Benth.",4,NA
"24",1,1,"25","Vochysia tucanorum",6.6,"12.5","15.5","VOTU",12.5,15.5,122.718359375,188.691749375,1,188.691749375,122.718359375,6.24999736042486,7.74999672692683,"tree","Vochysia tucanorum","",5,NA
"25",1,2,"26","Gochnatia polymorpha",3,"1.8+1.5+1.7+1.4","4.4","GOPO",1.8,4.4,8.12101015,15.2052956,4,60.8211824,32.4840406,1.60779284005867,2.19999907086955,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"26",1,2,"27","Gochnatia barrosii",3.5,"2.7+2.8","6.7","GOBA",2.8,6.7,11.883064175,35.256493775,1,35.256493775,11.883064175,1.94486421249889,3.34999858518773,"shrub","Gochnatia barrosii","(Cabrera) G. Sancho",3,NA
