NewCode,New.name,Authority,Family,Life.Form,FG,classification66,N,N_leaf,N_wood,N_bark,N_height
AESE,Aegiphila sellowiana,Cham.,Lamiaceae,tree,F,F,5,5,4,5,9
AEVE,Aegiphila verticillata,Vell.,Lamiaceae,tree,S,S,12,11,6,6,68
ALED,Alibertia edulis,(Rich.) A.Rich. ex DC.,Rubiaceae,treelet,F,F,6,6,6,6,34
AMIN,Amaioua intermedia,Mart. ex Schult. & Schult.f.,Rubiaceae,tree,G,F,13,11,6,13,276
ANCA,Annona cacans,Warm.,Annonaceae,tree,F,F,6,6,3,3,6
ANCO,Annona coriacea,Mart.,Annonaceae,tree,S,S,6,6,6,6,16
ANCR,Annona crassiflora,Mart.,Annonaceae,tree,S,S,12,12,7,7,35
ANDI,Annona dioica,A. St.-Hil.,Annonaceae,shrub,S,S,5,5,5,5,6
ANFA,Anadenanthera peregrina,(Benth.) Altschul,Fabaceae,tree,G,G,17,10,5,16,62
ASTO,Aspidosperma tomentosum,Mart. & Zucc.,Apocynaceae,tree,S,S,5,5,5,5,11
BADR,Baccharis dracunculifolia,DC.,Asteraceae,treelet,G,G,6,6,6,6,17
BALO,Bauhinia longifolia,(Bong.) Steud.,Fabaceae,tree,F,F,6,5,5,6,17
BARU,Bauhinia rufa,(Bong.) Steud.,Fabaceae,shrub,S,S,5,5,5,5,5
BOVI,Bowdichia virgilioides,Kunth,Fabaceae,tree,S,S,5,5,5,5,11
BYBA,Byrsonima basiloba,A.Juss.,Malpighiaceae,tree,S,S,1,1,1,1,2
BYCO,Byrsonima coccolobifolia,Kunth,Malpighiaceae,tree,S,S,5,5,5,5,7
BYLA,Byrsonima laxiflora,Griseb.,Malpighiaceae,tree,G,F,3,3,3,0,0
CAAD,Campomanesia adamantium,(Cambess.) O.Berg,Myrtaceae,shrub,S,S,11,10,5,11,281
CABR,Caryocar brasiliense,Cambess.,Caryocaraceae,tree,S,S,5,5,5,5,14
CAGU,Campomanesia guazumifolia,(Cambess.) O.Berg,Myrtaceae,tree,F,F,7,7,7,7,11
CALU,Calyptranthes lucida,Mart. ex DC.,Myrtaceae,tree,F,F,1,1,1,1,4
CASY,Casearia sylvestris,Sw.,Salicaceae,tree,F,F,15,11,6,12,90
CEMA,Cestrum mariquitense,Kunth,Solanaceae,shrub,F,F,2,2,2,2,3
