NewCode,New.name,Authority,Family,Life.Form,FG,classification66,N,N_leaf,N_wood,N_bark,N_height
CEPA,Cecropia pachystachya,,Urticaceae,tree,G,F,5,5,5,5,5
CHMA,Chrysophyllum marginatum,(Hook. & Arn.) Radlk.,Sapotaceae,tree,G,F,5,5,5,5,8
COLA,Copaifera langsdorffii,Desf.,Fabaceae,tree,G,G,15,11,6,15,70
COSU,Connarus suberosus,Planch.,Connaraceae,treelet,S,S,5,5,5,5,6
CRFL,Croton floribundus,Spreng.,Euphorbiaceae,tree,F,F,5,5,5,5,11
CUTE,Cupania tenuivalvis,Radlk.,Sapindaceae,treelet,G,F,6,5,5,6,26
CUVE,Cupania vernalis,Cambess.,Sapindaceae,tree,F,F,6,5,5,6,34
DAEL,Davilla elliptica,A.St.-Hil.,Dilleniaceae,shrub,S,S,5,5,5,5,5
DAFA,Daphnopsis fasciculata,(Meisn.) Nevling,Thymelaeaceae,tree,G,F,5,5,5,5,6
DARA,Daphnopsis racemosa,Griseb.,Thymelaeaceae,tree,G,G,7,5,5,7,91
DIBU,Diospyros hispida,A. DC.,Ebenaceae,tree,S,S,5,5,5,5,11
DIMO,Dimorphandra mollis,Benth.,Fabaceae,tree,S,S,11,10,5,9,28
DUFU,Duguetia furfuracea,(A.St.-Hil.) Saff.,Annonaceae,shrub,S,S,5,5,5,5,5
ERCU,Erythroxylum cuneifolium,(Mart.) O.E.Schulz,Erythroxylaceae,shrub,S,G,5,5,5,5,15
ERDE,Erythroxylum deciduum,A.St.-Hil.,Erythroxylaceae,tree,G,G,5,5,5,5,7
ERGR,Eriotheca gracilipes,(K.Schum.) A.Robyns,Malvaceae,tree,S,S,10,10,5,10,23
ERSU,Erythroxylum suberosum,A.St.-Hil.,Erythroxylaceae,treelet,S,S,5,5,5,5,15
ERTO,Erythroxylum tortuosum,,Erythroxylaceae,treelet,S,S,5,5,5,5,5
EUMY,Eugenia myrcianthes,Nied.,Myrtaceae,tree,G,G,6,5,5,6,33
EUPU,Eugenia punicifolia,,Myrtaceae,treelet,S,S,2,2,2,2,13
FAMO,Faramea montevidensis,(Cham. & Schltdl.) DC.,Rubiaceae,tree,G,F,3,3,3,0,3
GUNI,Guatteria nigrescens,Mart.,Annonaceae,tree,F,F,5,5,5,5,22
GUVI,Guettarda viburnoides,,Rubiaceae,tree,F,F,3,3,3,3,3
HAOC,Handroanthus ochraceus,(Cham.) Mattos,Bignoniaceae,tree,S,G,5,5,5,5,18
HEAP,Helietta apiculata,Benth.,Rutaceae,tree,F,F,1,1,1,1,6
JACA,Jacaranda caroba,(Vell.) DC.,Bignoniaceae,shrub,S,S,5,5,5,5,10
KICO,Kielmeyera coriacea,Mart. & Zucc.,Calophyllaceae,tree,S,S,5,5,5,5,7
LAHA,Lacistema hasslerianum,Chodat,Lacistemataceae,treelet,G,F,7,6,5,6,143
LEEL,Leptolobium elegans,Vogel,Fabaceae,tree,S,S,15,11,5,11,192
LIMO,Lithraea molleoides,(Vell.) Engl.,Anacardiaceae,tree,F,G,6,5,5,6,21
LIOR,Lippia origanoides,Cham.,Verbenaceae,shrub,S,S,5,5,5,5,39
LUCA,Luehea candicans,Mart.,Malvaceae,tree,G,F,5,5,5,5,19
LUGR,Luehea grandiflora,Mart.,Malvaceae,tree,G,G,5,5,5,5,15
MAAC,Machaerium acutifolium,Vogel,Fabaceae,tree,S,S,18,10,5,8,75
MABR,Machaerium brasiliense,Vogel,Fabaceae,tree,G,F,10,10,5,10,92
MAEL,Matayba elaeagnoides,Radlk.,Sapindaceae,tree,G,F,12,10,5,12,124
MAGU,Maprounea guianensis,Aubl.,Euphorbiaceae,tree,G,F,5,5,5,5,6
MIAL,Miconia albicans,(Sw.) Steud,Melastomataceae,treelet,S,S,9,9,4,9,48
MILI,Miconia ligustroides,(DC.) Naudin,Melastomataceae,treelet,S,G,10,9,5,9,94
MISE,Miconia sellowiana,Naudin,Melastomataceae,tree,G,G,5,5,5,5,10
MOBA,Moquiniastrum barrosoae,(Cabrera) G. Sancho,Asteraceae,shrub,S,S,10,10,5,10,75
MOPO,Moquiniastrum polymorphum,(Less.) G. Sancho,Asteraceae,tree,G,G,27,19,6,12,704
MYRCGUI,Myrcia guianensis,(Aubl.) DC.,Myrtaceae,tree,S,G,5,5,5,5,10
MYRCSPL,Myrcia splendens,(Sw.) DC.,Myrtaceae,tree,G,F,18,11,6,15,361
MYRCTOM,Myrcia tomentosa,(Aubl.) DC.,Myrtaceae,tree,S,G,12,9,5,9,74
MYRCVEN,Myrcia venulosa,DC.,Myrtaceae,tree,S,G,5,5,5,5,19
MYRSCOR,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.,Primulaceae,tree,G,F,7,6,6,7,45
MYRSGUI,Myrsine guianensis,(Aubl.) Kuntze,Primulaceae,tree,S,G,5,5,5,5,6
MYRSLAN,Myrsine lancifolia,Mart.,Primulaceae,tree,F,F,4,4,4,1,6
MYRSMUL,Myrcia multiflora,(Lam.) DC.,Myrtaceae,tree,G,F,6,5,5,6,49
MYRSUMB,Myrsine umbellata,Mart.,Primulaceae,tree,G,G,17,10,5,15,454
NECU,Nectandra cuspidata,Nees,Lauraceae,tree,F,F,5,5,5,5,18
NEOP,Nectandra oppositifolia,Nees,Lauraceae,tree,F,F,1,1,1,1,4
OCCO,Ocotea corymbosa,(Meisn.) Mez,Lauraceae,tree,G,G,24,11,6,15,603
OCMI,Ocotea minarum,(Nees & Mart.) Mez,Lauraceae,tree,G,F,7,6,6,7,51
OCPU,Ocotea pulchella,(Nees & Mart.) Mez,Lauraceae,tree,G,G,10,10,5,7,38
OCVE,Ocotea velloziana,(Meisn.) Mez,Lauraceae,tree,F,G,8,6,6,8,28
OUSP,Ouratea spectabilis,(Mart. ex Engl.) Engl.,Ochnaceae,tree,S,S,11,10,6,11,36
PEGL,Pera glabrata,(Schott) Poepp. ex Baill.,Peraceae,tree,G,F,21,11,5,17,315
PEWI,Persea willdenovii,Kosterm.,Lauraceae,tree,F,F,1,1,1,1,1
PIAX,Piptocarpha axillaris, (Less.) Baker,Asteraceae,tree,F,F,12,10,5,12,20
PIRO,Piptocarpha rotundifolia,(Less.) Baker,Asteraceae,treelet,S,S,5,5,5,5,6
PLEL,Platypodium elegans,Vogel,Fabaceae,tree,F,G,9,5,5,9,52
PLPO,Plenckia populnea,Reissek,Celastraceae,tree,S,S,11,10,5,8,39
PLRE,Plathymenia reticulata,Benth.,Fabaceae,tree,S,S,5,5,5,5,23
PORA,Pouteria ramiflora,(Mart.) Radlk.,Sapotaceae,tree,G,S,3,3,3,0,7
POTO,Pouteria torta,(Mart.) Radlk.,Sapotaceae,tree,S,S,6,6,6,6,11
PRHE,Protium heptaphyllum,(Aubl.) Marchand,Burseraceae,tree,G,F,10,10,5,10,14
PRMY,Prunus myrtifolia,(L.) Urb.,Rosaceae,tree,G,F,1,1,1,1,7
QUCO,Qualea cordata,,Vochysiaceae,tree,S,G,5,5,5,5,11
QUGR,Qualea grandiflora,,Vochysiaceae,tree,S,S,5,5,5,5,9
QUMU,Qualea multiflora,,Vochysiaceae,tree,S,S,5,5,5,5,15
ROMO,Roupala montana,Aubl.,Proteaceae,tree,S,S,5,5,5,5,18
SCVI,Schefflera vinosa,(Cham. & Schltdl.) Frodin & Fiasch,Araliaceae,treelet,S,S,10,10,5,10,37
SIGU,Siparuna guianensis,Aubl.,Siparunaceae,tree,G,G,11,11,6,11,389
SOLY,Solanum lycocarpum,A.St.-Hil.,Solanaceae,shrub,S,S,5,5,5,5,5
STAD,Stryphnodendron adstringens,(Mart.) Coville,Fabaceae,tree,S,S,5,5,5,5,6
STCA,Styrax camporum,Pohl,Styracaceae,tree,S,S,12,11,6,12,62
STFE,Styrax ferrugineus,Nees & Mart.,Styracaceae,tree,S,S,6,6,6,6,8
STPO,Styrax pohlii,A. DC.,Styracaceae,tree,F,F,4,4,3,1,1
STRO,Stryphnodendron rotundifolium,Mart.,Fabaceae,tree,S,S,18,11,7,7,111
SYPU,Symplocos pubescens,Klotzsch ex Benth.,Symplocaceae,treelet,S,S,10,10,5,10,55
SYRE,Symplocos revoluta,Casar.,Symplocaceae,tree,G,F,3,3,3,0,0
TAAU,Tabebuia aurea,(Silva Manso) Benth. & Hook.f. ex S.Moore,Bignoniaceae,tree,S,G,5,4,5,5,5
TACA,Tabernaemontana catharinensis,A.DC.,Apocynaceae,tree,G,F,10,10,5,6,50
TAGU,Tapirira guianensis,Aubl.,Anacardiaceae,tree,G,F,17,16,11,16,128
TEGL,Terminalia glabrescens,Mart.,Combretaceae,tree,G,F,10,7,5,9,60
TOFO,Tocoyena formosa,(Cham. & Schltdl.) K.Schum.,Rubiaceae,shrub,S,S,5,5,5,5,9
VOTU,Vochysia tucanorum,,Vochysiaceae,tree,G,G,24,11,6,16,232
XYAR,Xylopia aromatica,,Annonaceae,tree,G,S,3,3,3,0,0
ZARH,Zanthoxylum rhoifolium,Lam.,Rutaceae,tree,G,F,5,5,5,5,10
ZEMO,Zeyheria montana,Mart.,Bignoniaceae,shrub,S,S,5,5,5,5,9
ZETU,Zeyheria tuberculosa,(Vell.) Bureau ex Verl.,Bignoniaceae,tree,G,F,5,5,5,5,6
