"","Code","N","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio_at_5cm","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"47","MAAC",18,1229.3676288,17115.073244,0.211333333333333,14,0,0.524434542946062,2.58522277552947,86.891373625,15.366237818331,1.11627757914955,0.638275682,"S","tree"
"48","MABR",10,964.36544374,7350.9845,0.173333333333333,15,0,0.594958223348651,2.97184900105298,111.967963107,3.51094277963571,0.840866626383407,0.5446461634,"G","tree"
"49","MAEL",12,1365.12865116,12615.0870676,0.263333333333333,14,0,0.655358709757724,2.26758738448483,79.141775581,3.39097850886869,1.09890660941229,0.6310054742,"G","tree"
"50","MIAL",9,5345.8590505,10863.8422365,0.3775,4.83,0,0.863755521798827,1.96216268552671,57.4861904811111,7.08432024767658,0.871742108569184,0.69240955225,"S","treelet"
"51","MILI",10,1308.9584178,1308.9584178,0.251333333333333,8,0,0.658520852248746,2.55856678656353,92.6703720466667,5.1426940492897,1.05440017939519,0.6419342322,"S","treelet"
"52","MYFA",18,210.894541873333,210.894541873333,0.250666666666667,10,0,0.671740128073134,2.3882563985335,76.6155372045455,6.89976089141885,1.16602496264262,0.566545575666667,"G","tree"
"53","MYLI",5,2814.9091466,2814.9091466,0.356666666666667,5.35,0,0.687575984170016,3.96472555711748,69.886893456,9.38538730634201,1.66461544458521,0.5201239562,"S","tree"
"54","MYMU",6,510.49641264,510.49641264,0.222,7,0,1.05166695992065,2.26950093544711,95.165644086,1.06795033271445,0.574422869039881,0.686089236,"G","tree"
"55","MYTO",12,1699.69628438,1699.69628438,0.276666666666667,12,0,0.629065809781458,1.97072543159203,76.3067139711111,4.53091586155754,0.758284597053099,0.7812410558,"G","tree"
"56","MYVE",5,1418.05532784,1418.05532784,0.353333333333333,9,0,0.584938356684717,2.45392859201151,69.125645602,3.88965542403427,0.914836778339779,0.789898012,"S","tree"
"57","NECU",5,2794.0732088,2794.0732088,0.2,30,0,0.478482170796022,3.05026513746639,111.503659808,2.94934309703738,0.691610185183513,0.5555771528,"F","tree"
"58","NEOP",1,NA,NA,NA,20,NA,0.46,0,86.9389567,3.32194087277814,0.57,0.685628743,"F","tree"
"59","OCCO",24,1410.84889908333,1410.84889908333,0.256666666666667,20,0,0.800792284797447,3.17767853886944,70.3537912836364,5.66586722004792,0.856408758299991,0.614587759166667,"G","tree"
"60","OCMI",7,2820.873337,2820.873337,0.217222222222222,15,0,0.584087072988934,2.23184797485918,121.749595138333,9.51924661676309,0.820373707704476,0.600404942,"G","tree"
"61","OCPU",10,855.36113334,855.36113334,0.286,30,0,0.638797369525123,3.35448583913289,64.680360312,2.12164652453606,0.649268310444435,0.649871574,"G","tree"
"62","OCVE",8,6015.256031,6015.256031,0.255555555555556,12,0,0.325170707512164,2.357698344086,116.231555285,7.2325763827155,0.936240023765912,0.488697248666667,"F","tree"
"63","OUSP",11,5549.4429898,5549.4429898,0.438666666666667,7,0,0.557030715882267,3.59754348791664,59.339025666,11.4912847462647,1.79913981638955,0.590901634833333,"S","tree"
"64","PEOB",21,1708.68549266,1708.68549266,0.256,14,0,0.642378841682668,2.58831111276716,99.6737275463636,4.01898155020635,0.734730535016475,0.542815699,"G","tree"
"65","PEWI",1,4642.38762,4642.38762,0.273333333333333,20,NA,0.548148148148148,0,71.98531167,7.61476488176374,1.57,0.502654867,"F","tree"
"66","PIAX",12,14217.568592,14217.568592,0.402,20,0,0.64815965534157,3.63815751877778,114.128926116,8.98706840887263,0.945303284370174,0.5718425744,"F","tree"
"67","PIRO",1,5127.449919,5127.449919,0.533333333333333,8,NA,0.675675675675676,0,55.12799185,11.7404394333954,0.59,0.426433915,"S","treelet"
"68","PLEL",9,618.52783586,6928.4827472,0.208,14,0,0.329818742412196,2.39151599675459,118.88087017,12.9510815515687,0.950783257334165,0.6970529618,"F","tree"
"69","PLPO",11,2983.34535372,2983.34535372,0.256666666666667,10,0,0.57904230242423,2.55745314852411,77.740516267,9.18447856124736,1.35755909777529,0.6277457042,"S","tree"
"70","PLRE",5,195.798018534,14340.7205462,0.156666666666667,12,0,0.192734518498201,1.67327509612823,138.361231806,9.97388470213608,0.956412015353674,0.5204944488,"S","tree"
"71","POTO",6,7829.0591055,7829.0591055,0.285555555555556,18,0,-0.0920051054508753,2.44935569285084,95.12135381,14.6425043885193,1.6822511936537,0.534070578333333,"S","tree"
"72","PRHE",10,3687.8873574,22844.9929474,0.194,20,0,0.598071205188467,3.63538118941577,106.56851605,2.89486592189073,0.922662193617521,0.5261088164,"G","tree"
"73","PRMY",1,2966.818786,2966.818786,0.443333333333333,15,0,0.686046511627907,4.10745085795332,70.97558894,2.67437907792917,0.685,0.607826811,"G","tree"
"74","QUCO",5,3734.930901,3734.930901,0.235333333333333,11,0,0.481001745729389,2.64382044717868,106.919785184,8.67886724102172,0.87709052087801,0.624664007,"S","tree"
"75","QUGR",5,6318.2583524,6318.2583524,0.380666666666667,12,0,0.696660297256199,4.70485978564088,62.657420718,11.1282940535488,1.1820737136327,0.5574552358,"S","tree"
"76","QUMU",5,5188.2059162,5188.2059162,0.297333333333333,9,0,0.549607483369074,1.30326362359295,104.862559978,7.39682894657033,1.02433840800618,0.5817943682,"S","tree"
"77","RAFE",7,1932.304098,1932.304098,0.263888888888889,12,0,-0.0389581199840087,2.58050866628082,112.16967756,2.78455409527745,1.14438780155218,0.622897865,"G","tree"
"78","RAGU",5,2688.7061702,2688.7061702,0.366666666666667,8,0,0.548003235463589,3.78192771084337,76.797392884,9.58782735730562,1.50432647493475,0.4992447896,"S","tree"
"79","RALA",1,1147.859416,1147.859416,0.253333333333333,6,NA,0.631578947368421,0,87.23643702,1.64438899436913,0.61,0.778097983,"F","tree"
"80","RAUM",17,2434.06467608,2434.06467608,0.386,15,0,0.60608787830911,2.66764412875423,63.300343912,3.6673233275658,0.906346546955821,0.6849334094,"G","tree"
"81","ROMO",5,7137.9406782,7137.9406782,0.358,5,0,0.569743639376905,1.34867005244839,54.87762242,7.44744304189212,1.30492165995298,0.668108318,"S","tree"
"82","SCVI",10,2099.4135558,14695.8948904,0.355333333333333,5,0,0.690673760845248,3.02863338355594,71.448686623,2.22644750775144,1.06821679240888,0.438604294,"S","treelet"
"83","SIGU",11,9145.81492783333,9145.81492783333,0.247777777777778,10,0,0.522437817516411,2.23083641028151,125.29411619,2.39421368297787,0.891362678710695,0.589690087666667,"G","tree"
"84","SOLY",5,9490.75277875,9490.75277875,0.471666666666667,1.2,0,2.02473181626517,4,111.909956872,2.96458313899409,0.852176189781523,0.5145645706,"S","shrub"
"85","STAD",5,352.7775444,43173.583328,0.220666666666667,5,0,0.69688821180863,3.70515940433573,91.598996958,8.48925203667755,1.12923503105939,0.4655286348,"S","tree"
"86","STCA",12,2725.75013463333,2725.75013463333,0.283333333333333,10,0,0.612585175442779,2.4241924686131,78.4881736518182,3.27825709597085,0.664330890083343,0.564925532166667,"S","tree"
"87","STFE",6,2908.80156733333,2908.80156733333,0.480555555555556,14,0,0.575449925012557,5.16370400992146,63.8443451016667,13.9325453820097,0.839123138378265,0.468739767833333,"S","tree"
"88","STPO ",1,5378.217342,5378.217342,0.243333333333333,12,NA,0.630952380952381,0,142.1117561,6.23181691994096,1.305,0.475780409,"F","tree"
"89","STRO",18,79.6943502228571,20320.5798307143,0.178333333333333,5.5,0,0.552047880649161,3.33219837273414,76.689730315,7.97068575638973,1.29199951855975,0.432781415285714,"S","tree"
"90","SYPU",10,2840.94775,2840.94775,0.308666666666667,8,0,0.550848226990976,2.61335986705003,88.719223312,5.01287402802506,0.827982874830116,0.5151643102,"S","treelet"
"91","TACA",10,1424.29105842,1424.29105842,0.221333333333333,9,0,0.722425807185571,1.94677941691834,107.017547272,5.41249092311081,1.21913267965513,0.613289801,"F","tree"
"92","TAGU",13,1805.86516671429,13934.8273934286,0.233333333333333,14,0,0.696741908619648,2.84630311557038,82.670463445,3.04714390197399,0.596579325875214,0.573477072285714,"G","tree"
"93","TAOC",5,2749.76989606,13366.7047882,0.432666666666667,14,0,0.397266727348672,2.63598689946414,61.347419242,12.5582691953249,1.81360995356191,0.6227994928,"G","tree"
"94","TEGL",10,3129.3462854,3129.3462854,0.272,16,0,0.521895106168167,2.35796522633997,77.17252765,6.6113959491742,0.988630193081026,0.7036905874,"G","tree"
"95","TOFO",5,8656.429144,8656.429144,0.688666666666667,2.6,0,-0.825327774149214,-15.1765957446809,85.002799266,1.11874513778753,1.35844597044556,0.6559350994,"S","shrub"
"96","VOTU",24,2011.3838029,2011.3838029,0.324,15,0,0.792313099795129,2.71767472634059,84.4444788372727,9.4477759230947,0.91951895165457,0.488284664833333,"G","tree"
"97","ZARH",5,452.40132848,8017.2558074,0.22,12,0,0.509568277440915,3.50146525388401,98.154673632,2.853777178256,0.753334396057514,0.5554509776,"G","tree"
"98","ZEMO",5,4088.2007174,21609.444202,0.423333333333333,2.8,0,0.479129076409709,4,90.582619866,7.01420519993879,1.26172785663796,0.49699631,"S","shrub"
