"","Code","N","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio_at_5cm","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"1","AEVE",12,6025.82888916667,6025.82888916667,0.341111111111111,4.5,0,0.451197420748859,3.31880043655848,96.2705694990909,9.14198180252907,1.27434068882734,0.425399702,"S","tree"
"2","ALED",5,7753.0858518,7753.0858518,0.291333333333333,7,0,0.721311897973238,1.73327205803649,72.384487024,3.19386386373866,0.585363019916291,0.7972590284,"F","treelet"
"3","AMIN",13,5158.53812533333,5158.53812533333,0.235555555555556,9,0,0.646280372599022,2.29016179294533,109.414572590909,3.09208703704215,0.685472460249536,0.719115994,"G","tree"
"4","ANCA",2,8288.9162855,8288.9162855,0.181666666666667,20,NA,0.295007607776839,0,151.54454835,5.5935599029745,1.17655746364859,0.266446861,"F","tree"
"5","ANCO",6,4662.72084433333,4662.72084433333,0.465555555555556,9,0,0.593462405577784,4.11051833221109,72.9540577516667,7.79726313399632,1.89486158625069,0.3997264335,"S","tree"
"6","ANCR",12,4857.82356171429,4857.82356171429,0.345714285714286,12,0,0.632467431651038,3.20903488850169,67.964026575,15.5616741883526,1.63154219554784,0.372258546571429,"S","tree"
"7","ANDI",5,10233.4578214,10233.4578214,0.473333333333333,2,0,1.06347173992305,4.00450006320313,114.497480302,2.93288813724599,1.15564961785479,0.3241228446,"S","shrub"
"8","ANFA",17,7.3282361042,11422.4173282,0.176666666666667,16,0,0.641202523996276,1.27241720804418,61.873498047,18.6336275501754,1.23107616830669,0.6388030136,"G","tree"
"9","BADR",6,88.4078313066667,88.4078313066667,0.186111111111111,3.5,0,0.298062489793889,5,91.47928508,2.24821768371274,0.57651719527085,0.547898852166667,"G","treelet"
"10","BALO",6,5804.3213876,5804.3213876,0.382,11,0,0.381376113748216,2.18321224205226,114.20866211,3.66450626919284,0.957288341270916,0.7607245802,"F","tree"
"11","BARU",5,5797.3977878,5797.3977878,0.436,3.95,0,0.348619072287876,5.44427298720104,86.329107008,2.36742710331228,0.904098582345393,0.6177401052,"S","shrub"
"12","BOVI",5,797.77223698,11437.6987584,0.247333333333333,16,0,0.623899779437743,2.70812777744987,86.55506444,10.4738411145861,1.88461462337829,0.567884798,"S","tree"
"13","BYBA",1,13985.32434,13985.32434,0.493333333333333,10,NA,0.62,0,64.4519651,9.63234559367735,1.27,0.490272374,"S","tree"
"14","BYCO",5,2790.4772316,2790.4772316,0.323333333333333,6,0,0.492072112717055,2.91560017751362,81.761138718,9.27485457708025,1.37544321561262,0.6895979772,"S","tree"
"15","CAAD",11,1331.67631852,1331.67631852,0.332666666666667,3.5,0,0.709487772879476,3.03065422787365,68.716851854,2.15777785190519,0.735829034154962,0.719158424,"S","shrub"
"16","CABR",5,6705.3657454,20116.097236,0.454666666666667,3.75,0,0.633630045067968,2.81218949040486,75.11612722,12.5976109160463,0.816920605110126,0.5903615052,"S","tree"
"17","CAGU",5,2736.600614,2736.600614,0.283333333333333,10,0,0.472121748339954,2.56324231664014,143.005872458,1.69229378722707,0.859845755212157,0.6908990396,"F","tree"
"18","CALU",1,1355.626761,1355.626761,0.41,8,NA,0.828571428571429,0,62.21587651,5.91777946631507,1.165,0.728271728,"F","tree"
"19","CASY",15,981.40981375,981.40981375,0.170555555555556,10,0,0.537898016055718,2.03485036676971,98.72325622,4.07229831968062,0.994416149554788,0.6609211425,"F","tree"
"20","CESE",2,1412.043771,1412.043771,0.166666666666667,3.5,NA,0.717159420289855,0,173.5813898,1.08239818152196,0.626903133032174,0.6383076225,"F","shrub"
"21","CHMA",5,1148.09693574,1148.09693574,0.232666666666667,10,0,0.73356597012794,2.87474368961937,107.177570832,2.68041126488271,0.610117462243381,0.7072963916,"G","tree"
"22","COLA",15,1098.27294948333,7227.63432233333,0.165,15,0,0.588106206109564,2.44738116315634,95.21542781,8.76254490858412,0.708080927945987,0.516624202833333,"G","tree"
"23","COSU",5,1506.6577282,10213.4279242,0.366,7,0,0.570309458473372,3.53869391381608,62.273669934,12.9957370861946,1.57840046473972,0.4494212164,"S","treelet"
"24","CUTE",6,1401.44775362,15759.1334798,0.757333333333333,6,0,0.597077143931478,2.22317339352766,138.137229856,2.35260046144974,0.631086262063302,0.7373822044,"G","treelet"
"25","CUVE",6,4959.7501476,59590.84174,0.210666666666667,22,0,0.392369470236322,2.44821069086751,119.308988908,4.1906797683602,0.492963441837439,0.6651306272,"F","tree"
"26","DAEL",5,1511.23642676,1511.23642676,0.321333333333333,2,0,0.722021331059336,3.84557173239768,77.58489149,6.2755911506757,0.684714238163408,0.6358123858,"S","shrub"
"27","DARA",7,930.09073188,930.09073188,0.309333333333333,12,0,0.669031667263068,2.19826828590426,102.42494235,5.89220418169998,1.03466435076604,0.4262348364,"G","tree"
"28","DIBU",5,10548.7854244,10548.7854244,0.48,6,0,0.409431598685768,3.24756422715488,65.283274516,12.1410396882695,1.6875846056708,0.4187682084,"S","tree"
"29","DIMO",11,53.185828798,38599.040284,0.181333333333333,14,0,0.620445723661256,3.8329627198455,70.570337715,11.077244202405,1.27334271123015,0.4750357888,"S","tree"
"30","DUFU",5,3172.6805546,3172.6805546,0.332,2.53,0,0.983647280472716,3.62219035549923,52.590315598,2.62372221357945,1.41268525194052,0.6062577318,"S","shrub"
"31","ERCU",5,83.385673292,83.385673292,0.201333333333333,4,0,1.05285853386317,-0.42688262038887,104.50157461,1.68554486480697,1.46911248948282,0.7785812084,"S","shrub"
"32","ERGR",10,2802.5984542,13171.9253372,0.376666666666667,17,0,0.578390629481617,2.29567138237361,73.0632332,13.7595232325067,1.92126666315746,0.3877375974,"S","tree"
"33","ERSU",5,2782.4864778,2782.4864778,0.278,4,0,0.708763476513242,3.51040531879021,83.018468546,14.421655072234,1.13189175515966,0.6006542796,"S","treelet"
"34","EUMY",6,3897.37036925,3897.37036925,0.29,10,0,0.318241137479233,1.92196872052144,112.767566504,4.13401118622611,0.605466738070902,0.7133427896,"G","tree"
"35","EUPU",2,775.0659364,775.0659364,0.258333333333333,7,0,0.211359877343148,1.66525100817012,82.626618605,1.67978523031149,0.728667557317621,0.691810345,"S","treelet"
"36","GOBA",10,6356.4763284,6356.4763284,0.452666666666667,6.5,0,0.603238034795625,3.31229908889362,103.725771671,3.35310497678897,0.767600175631225,0.7459366674,"S","shrub"
"37","GOPO",27,3245.42798194,3245.42798194,0.410666666666667,13,0,0.666889128515765,2.83120435824813,60.5367090636842,16.4242226563445,0.801979081548045,0.618323529,"G","tree"
"38","GUNI",5,2459.953583,2459.953583,0.214,12,0,0.394989175799248,2.32793276431996,130.6850564,3.81106254465101,1.10636265096406,0.4001423552,"F","tree"
"39","JACA",5,106.108072886,14859.099198,0.154666666666667,10,0,0.539490080180017,3.89087113304232,78.136830144,2.33706127093817,0.641153959222912,0.4839413818,"S","shrub"
"40","KICO",5,5864.034767,5864.034767,0.392666666666667,3.5,0,0.485800886403274,3.19492231066567,76.69429054,16.8205309113382,1.91120313115072,0.43617147,"S","tree"
"41","LAHA",7,2026.463575,2026.463575,0.24,8,0,0.780659988617951,2.03044703177302,125.033330383333,2.1469109173825,0.636711663526599,0.5467109092,"G","treelet"
"42","LEEL",15,852.57253482,7865.2961682,0.29,11,0,0.592006702742426,2.88703287039398,77.1170304672727,15.6937066412527,1.64895379530998,0.7004165014,"S","tree"
"43","LIMO",6,1304.32273096,6521.6136542,0.231333333333333,12,0,0.581497942015087,1.63526018060468,105.96176042,3.46013124379046,0.702182925163371,0.5682385654,"F","tree"
"44","LISA",5,571.4362101,571.4362101,0.386,4,0,-0.403747587834218,5,124.907331666667,0.670119219129139,0.42781502424985,0.6853979484,"S","shrub"
"45","LUCA",5,5463.9817062,5463.9817062,0.253333333333333,12,0,0.461269922110376,2.33757176835697,159.345684858,4.9013147047075,0.978613915217939,0.5407094378,"G","tree"
"46","LUGR",5,14117.5985416,14117.5985416,0.303333333333333,14,0,0.52228015089169,2.69721023130553,194.614704198,8.05635509887143,1.24589619303578,0.3739187998,"G","tree"
