OID,Individual,Code,Number,Species,Date,Method,Punch diameter,Fresh Leaf Mass,Dry leaf mass,Number of punches,Leaf area disks cm2,Water content,Scan image name,Scanned leaf area (pixels),Scanned leaf area (cm2),Number leaves,Compound?,Number leaflets,Leaf axis 1,Leaf axis 2,Leaflet or leaf size (mm2),Total leaf size (mm2),Leaf thickness 1 (mm),Leaf thickness 2 (mm),Leaf thickness 3 (mm),SLA (cm2 g-1),Comments
115,VOTU-A,VOTU,,Vochysia tucanorum,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,78.91,34,2107.176149,2107.176149,0.31,0.26,0.29,#DIV/0!,Tree 8340
116,ZEMO-A,ZEMO,,Zeyheria montana,,Punch,,NA,,,0,NA,NA,,0,NA,Y,5,115.87,40.86,3718.426921,18592.1346,0.43,0.44,0.4,#DIV/0!,Tree 1197
117,MYFA-A,MYFA,,Myrcia fallax,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,27.9,11.12,243.6682094,243.6682094,0.26,0.26,0.24,#DIV/0!,Tree 1665
118,OCCO-C,OCCO,,Ocotea corymbosa,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,81.29,30.49,1946.634559,1946.634559,0.28,0.26,0.26,#DIV/0!,Tree 5096
119,CALU-A,CALU,,Calyptranthes lucida,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,63.88,27.02,1355.626761,1355.626761,0.45,0.38,0.4,#DIV/0!,Tree 5085
120,MAEL-A,MAEL,,Matayba eleagnoides,,Punch,,NA,,,0,NA,NA,,0,NA,Y,7,89.7,32,2254.406888,15780.84822,0.34,0.32,0.34,#DIV/0!,Tree 1362
121,AEVE-A,AEVE,,Aegiphila verticillata,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,135.05,52,5515.537142,5515.537142,0.35,0.33,0.27,#DIV/0!,Tree 5105
122,MILI3,MILI,,Miconia ligustroides,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,56.03,29,1276.169914,1276.169914,0.2,0.19,0.19,#DIV/0!,
123,TAGU-C,TAGU,,Taparira guianensis,,Punch,,NA,,,0,NA,NA,,0,NA,Y,9,76.34,26.9,1612.851257,14515.66131,0.28,0.27,0.27,#DIV/0!,Tree 1533
124,MYMU1,MYMU,,Myrcia multiflora,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,29.15,15.78,361.272945,361.272945,0.17,0.18,0.18,#DIV/0!,
125,TAGU3,TAGU,,Taparira guianensis,,Punch,,NA,,,0,NA,NA,,0,NA,Y,5,77.82,17.79,1087.319197,5436.595987,0.2,0.21,0.19,#DIV/0!,
126,MYLI2,MYLI,,Myrcia lingua,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,79.23,25.92,1612.926341,1612.926341,0.36,0.38,0.31,#DIV/0!,
127,MYLI3,MYLI,,Myrcia lingua,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,86.21,24.76,1676.47919,1676.47919,0.37,0.34,0.37,#DIV/0!,
128,OCPU2,OCPU,,Ocotea pulchella,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,40.75,21.14,676.5851748,676.5851748,0.34,0.35,0.35,#DIV/0!,
129,MYFE2,RAFE,,Rapanea ferruginea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,106.55,29.24,2446.925257,2446.925257,0.26,0.24,0.22,#DIV/0!,Labeled MYFE1 in field. Changed code to RAFE.
130,MYLI1,MYLI,,Myrcia lingua,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,90.13,45.33,3208.81716,3208.81716,0.35,0.32,0.35,#DIV/0!,
131,OCPU3,OCPU,,Ocotea pulchella,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,52.17,22.43,919.0518036,919.0518036,0.33,0.31,0.27,#DIV/0!,
132,COLA1,COLA,,Copaifera langsdorffi,,Punch,,NA,,,0,NA,NA,,0,NA,Y,7,54.32,23.5,1002.576464,7018.035245,0.16,0.14,0.15,#DIV/0!,
133,SCVI2,SCVI,,Schefflera vinosa,,Punch,,NA,,,0,NA,NA,,0,NA,Y,7,91.67,25.01,1800.656215,12604.59351,0.35,0.35,0.35,#DIV/0!,
134,MYMU2,MYMU,,Myrcia multiflora,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,21.95,11.17,192.5650998,192.5650998,0.18,0.19,0.19,#DIV/0!,
135,MYFA4,MYFA,,Myrcia fallax,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,34.43,12.5,338.0157346,338.0157346,0.3,0.27,0.26,#DIV/0!,
136,LEEL5,LEEL,,Leptolobium elegans,,Punch,,NA,,,0,NA,NA,,0,NA,Y,11,45.93,20.4,735.896088,8094.856968,0.33,0.34,0.34,#DIV/0!,
137,CABR3,CABR,,Caryocar brasiliensis,,Punch,,NA,,,0,NA,NA,,0,NA,Y,3,95.78,89.14,6705.595373,20116.78612,0.49,0.43,0.42,#DIV/0!,Labeled CABR2 in field (in square)
138,STFE1,STFE,,Styrax ferrugineus,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,106.09,41.25,3437.06926,3437.06926,0.5,0.47,0.45,#DIV/0!,
139,RAUM3,RAUM,,Rapanea umbellata,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,39.48,19.06,591.0033215,591.0033215,0.31,0.31,0.31,#DIV/0!,Looks like a different species?
140,MYLI4,MYLI,,Myrcia lingua,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,124.11,40.31,3929.24813,3929.24813,0.34,0.36,0.33,#DIV/0!,
141,OCPU1,OCPU,,Ocotea pulchella,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,54.25,26.02,1108.656266,1108.656266,0.27,0.25,0.27,#DIV/0!,
142,ERCU4,ERCU,,Erythroxylem cuneifolium,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,18.93,8.9,132.3215264,132.3215264,0.19,0.13,0.14,#DIV/0!,Tree 5131
143,OUSP-C,OUSP,,Ouratea spectabilis,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,106.97,60.5,5082.849513,5082.849513,0.33,0.31,0.33,#DIV/0!,Tree 5086
144,SIGU1,SIGU,1,Siparuna guanensis,,Punch,9.7,NA,0.082,14,10.34573585,NA,NA,,0,NA,N,NA,198.56,68.7,10713.6729,10713.6729,0.24,0.25,0.24,126.1675103,
145,STPO???,STPO???,,Styrax pohlii???,,Punch,9.7,NA,0.052,10,7.389811319,NA,NA,,0,NA,N,NA,137.45,49.82,5378.217342,5378.217342,0.25,0.23,0.25,142.1117561,
146,KICO4,KICO,4,Kielmera coriacea,,Punch,9.7,NA,0.117,12,8.867773583,NA,NA,,0,NA,N,NA,145.96,23.41,2683.64552,2683.64552,0.41,0.38,0.4,75.79293661,
147,PLPO3,PLPO,3,Plenckia populnea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,88.13,54.29,3757.798538,3757.798538,0.31,0.28,0.27,#DIV/0!,
148,SCVI4,SCVI,4,Schefflera vinosa,,Punch,9.7,NA,0.099,10,7.389811319,NA,NA,,0,NA,Y,7,115.26,34.85,3154.795982,22083.57187,0.37,0.39,0.38,74.64455878,
149,OCPU5,OCPU,5,Ocotea pulchella,,Punch,7.1,NA,0.093,15,5.938788213,NA,NA,,0,NA,N,NA,41.75,16.22,531.8598553,531.8598553,0.3,0.26,0.26,63.85793777,
150,ERCU5,ERCU,5,Erythroxylem cuneifolium,,Punch,7.1,NA,0.047,11,4.355111356,NA,NA,,0,NA,N,NA,10.5,3.96,32.65685563,32.65685563,0.19,0.18,0.16,92.66194374,
151,MILI4,MILI,4,Miconia ligustroides,,Punch,7.1,NA,0.1,18,7.126545855,NA,NA,,0,NA,N,NA,55.88,26.31,1154.694579,1154.694579,0.27,0.32,0.23,71.26545855,
152,CABR5,CABR,5,Caryocar brasiliensis,,Punch,9.7,NA,0.074,10,7.389811319,NA,NA,,0,NA,Y,3,88.4,68.85,4780.200258,14340.60077,0.42,0.4,0.42,99.86231513,
153,TOFO3,TOFO,3,Tocoyena formosa,,Punch,9.7,NA,0.092,12,8.867773583,NA,NA,,0,NA,N,NA,137.26,73.47,7920.341653,7920.341653,0.57,0.55,0.63,96.3888433,
154,Unk. Fab,BARU,,Bauhinia rufus,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,84.81,81.89,5454.661637,5454.661637,0.46,0.39,0.5,#DIV/0!,"Labeled as ""Unk Fab."" in field. Is actually BARU -- need to change"
155,BOVI2,BOVI,2,Bowdichia virgilioides,,Punch,,NA,,,0,NA,NA,,0,NA,Y,17,60.96,21.16,1013.095772,17222.62813,0.31,0.28,0.27,#DIV/0!,
156,SOLY3,SOLY,3,Solanum lycocarpum,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,205.56,76.88,12412.0028,12412.0028,0.46,0.49,0.48,#DIV/0!,
157,SOLY2,SOLY,2,Solanum lycocarpum,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,200.86,88.84,14014.96087,14014.96087,0.49,0.48,0.48,#DIV/0!,
158,AMIN3,AMIN,3,Amaioua intermedia,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,125.88,41.69,4121.720239,4121.720239,0.21,0.18,0.21,#DIV/0!,Labeled FAMO1 in field
159,ANCO3,ANCO,3,Annona coreacea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,91.41,63.9,4587.588427,4587.588427,0.41,0.42,0.43,#DIV/0!,
160,STFE3,STFE,3,Styrax ferrugineus,,Punch,,,,,0,,,,0,NA,N,NA,90.05,53.19,3761.868314,3761.868314,0.48,0.44,0.43,#DIV/0!,
161,STFE2,STFE,2,Styrax ferrugineus,,Punch,,,,,0,,,,0,NA,N,NA,72.83,37.02,2117.564296,2117.564296,0.42,0.4,0.39,#DIV/0!,
162,CASY2,CASY,2,Casearia sylvestris,,Punch,,,,,0,,,,0,NA,N,NA,57.8,23.06,1046.832079,1046.832079,0.23,0.23,0.23,#DIV/0!,
163,PRHE1,PRHE,1,Protium heptaphyllum,,Punch,9.7,,0.054,10,7.389811319,,,,0,NA,Y,11,185.6,45.65,6654.395895,73198.35485,0.19,0.18,0.19,136.8483578,
164,TOFO2,TOFO,2,Tocoyena formosa,,Punch,,,,,0,,,,0,NA,N,NA,129.91,84.48,8619.58525,8619.58525,0.62,0.69,0.67,#DIV/0!,
165,RAGU1,RAGU,1,Rapanea guianensis,,Punch,,,,,0,,,,0,NA,N,NA,93.4,42.9,3146.980485,3146.980485,0.37,0.38,0.39,#DIV/0!,
166,BOVI1,BOVI,1,Bowdichia virgilioides,,Punch,,,,,0,,,,0,NA,Y,13,73.4,20.97,1208.883282,15715.48267,0.27,0.26,0.26,#DIV/0!,
167,CABR4,CABR,4,Caryocar brasiliensis,,Punch,,,,,0,,,,0,,Y,3,84.7,71.65,4766.389031,14299.16709,0.55,0.54,0.45,#DIV/0!,
168,SOLY5,SOLY,1,Solanum lycocarpum,,Punch,,,,,0,,,,0,,N,NA,211.6,76.38,12693.6114,12693.6114,0.5,0.41,0.52,#DIV/0!,Originally labeled SOLY1; location in rectangle
169,PLPO4,PLPO,4,Plenckia populnea,,Punch,7.1,,0.103,17,6.730626641,,,,0,,N,NA,38.49,19.78,597.9489116,597.9489116,0.24,0.32,0.19,65.34588972,
170,STFE3,STFE,3,Styrax ferrugineus,,Punch,,,,,0,,,,0,,N,NA,72.22,38.28,2171.297311,2171.297311,0.56,0.56,0.55,#DIV/0!,
171,STFE4,STFE,4,Styrax ferrugineus,,Punch,7.1,,0.096,13,5.146949784,,,,0,,N,NA,67.65,49.94,2653.421357,2653.421357,0.56,0.45,0.55,53.61406025,
172,MYFA5,MYFA,5,Myrcia fallax,,Punch,7.1,,0.09,12,4.75103057,,,,0,,N,NA,41.6,8.17,266.9348446,266.9348446,0.27,0.29,0.28,52.78922856,
173,MYMU3,MYMU,3,Myrcia multiflora,,Punch,,,,,0,,,,0,,N,NA,33.7,19.28,510.3014611,510.3014611,0.25,0.22,0.22,#DIV/0!,
174,AMIN4,AMIN,4,Amaioua intermedia,,Punch,,,,,0,,,,0,,N,NA,223.49,71.95,12629.28533,12629.28533,0.2,0.21,0.22,#DIV/0!,
175,SCVI3,SCVI,3,Schefflera vinosa,,Punch,,,,,0,,,,0,,Y,7,96.42,26.32,1993.163353,13952.14347,0.35,0.29,0.29,#DIV/0!,
176,MYFA4,MYFA,4,Myrcia fallax,,Punch,,,,,0,,,,0,,N,NA,19.19,8.63,130.0695542,130.0695542,0.19,0.21,0.2,#DIV/0!,
177,KICO2,KICO,2,Kielmera coriacea,,Punch,,,,,0,,,,0,,N,NA,194.33,49.93,7620.637405,7620.637405,0.36,0.37,0.37,#DIV/0!,
178,SOLY4,SOLY,4,Solanum lycocarpum,,Punch,,,,,0,,,,0,,N,NA,186.58,67.27,9857.718174,9857.718174,0.52,0.48,0.51,#DIV/0!,
179,KICO3,KICO,3,Kielmera coriacea,,Punch,,,,,0,,,,0,,N,NA,129.87,40.85,4166.68609,4166.68609,0.37,0.39,0.38,#DIV/0!,
180,TOFO4,TOFO,4,Tocoyena formosa,,Punch,,,,,0,,,,0,,N,NA,112.91,63.91,5667.494487,5667.494487,0.49,0.49,0.56,#DIV/0!,
181,QUMU2,QUMU,2,Qualea multiflora,,Punch,,,,,0,,,,0,,N,NA,110.9,32.94,2869.095619,2869.095619,0.4,0.39,0.33,#DIV/0!,
182,POTO1,POTO,1,Pouteria torta,,Punch,,,,,0,,,,0,,N,NA,142.4,69.44,7766.218102,7766.218102,0.3,0.32,0.27,#DIV/0!,
183,Persea1-1,Persea1,,Persea?,,Punch,7.1,,0.088,16,6.334707427,,,,0,,N,NA,115.65,51.11,4642.38762,4642.38762,0.31,0.26,0.25,71.98531167,
184,PRMY1,PRMY,1,Prunus myrtifolia,,Punch,9.7,,0.177,17,12.56267924,,,,0,,N,NA,87.3,43.27,2966.818786,2966.818786,0.47,0.42,0.44,70.97558894,Pressed with fruit. Ficus sp? Not ficus. Smells good like vanilla. CHECK IF NAMED UNK2-1 in field
185,STFE5,STFE,5,Styrax ferrugineus,,Punch,,,,,0,,,,0,,N,NA,95.33,44.23,3311.588866,3311.588866,0.53,0.41,0.5,#DIV/0!,
186,POTO2,POTO,2,Pouteria torta,,Punch,7.1,,0.131,24,9.50206114,,,,0,,N,NA,98,54,4156.327081,4156.327081,0.28,0.3,0.27,72.53481786,
187,RAGU3,RAGU,3,Rapanea guianensis,,Punch,9.7,,0.154,18,13.30166037,,,,0,,N,NA,85.4,38.87,2607.127633,2607.127633,0.31,0.3,0.33,86.37441802,
188,RAGU2,RAGU,2,Rapanea guianensis,,Punch,7.1,,0.095,14,5.542868998,,,,0,,N,NA,67.83,24.64,1312.660455,1312.660455,0.37,0.39,0.4,58.34598946,
189,OUSP5,OUSP,5,Ouratea spectabilis,,Punch,9.7,,0.17,14,10.34573585,,,,0,,N,NA,91.69,34.8,2506.057885,2506.057885,0.44,0.45,0.38,60.85726969,
190,AMIN2,AMIN,2,Amaioua intermedia,,Punch,,,,,0,,,,0,,N,NA,133.89,44.92,4723.650648,4723.650648,0.34,0.23,0.2,#DIV/0!,
191,AMIN1,AMIN,1,Amaioua intermedia,,Punch,,,,,0,,,,0,,N,NA,82.44,37.39,2420.936117,2420.936117,0.34,0.24,0.28,#DIV/0!,
192,GOPO5,GOPO,5,Gochnatia polymorpha,,Punch,,,,,0,,,,0,,N,NA,119.75,58.59,5510.473288,5510.473288,0.35,0.39,0.42,#DIV/0!,
193,QUGR3,QUGR,3,Qualea grandiflora,,Punch,,,,,0,,,,0,,N,NA,129.28,52.58,5338.777317,5338.777317,0.5,0.43,0.55,#DIV/0!,
194,AEVE5,AEVE,5,Aegiphila verticillata,,Punch,9.7,,0.114,16,11.82369811,,,,0,,N,NA,116.63,61.79,5660.025036,5660.025036,0.29,0.34,0.33,103.7166501,
195,QUMU1,QUMU,1,Qualea multiflora,,Punch,7.1,,0.062,14,5.542868998,,,,0,,N,NA,116.55,52.03,4762.730254,4762.730254,0.36,0.28,0.29,89.40111288,
196,TEGL1,TEGL,1,Terminalia glabrescens,,Punch,,,,,0,,,,0,,N,NA,120.53,53.56,5070.206016,5070.206016,0.27,0.28,0.29,#DIV/0!,
197,ALED2,ALED,2,Alibertia edulis,,Punch,,,,,0,,,,0,,N,NA,203.2,88.1,14060.13509,14060.13509,0.36,0.4,0.35,#DIV/0!,
198,ROMO3,ROMO,3,Roupala montana,,Punch,,,,,0,,,,0,,N,NA,86.15,36.4,2462.898685,2462.898685,0.36,0.35,0.35,#DIV/0!,
199,ROMO4,ROMO,4,Roupala montana,,Punch,,,,,0,,,,0,,N,NA,135.63,77.36,8240.662052,8240.662052,0.38,0.38,0.39,#DIV/0!,
200,BARU1,BARU,1,Bauhinia rufus,,Punch,,,,,0,,,,0,,N,NA,86.6,77.4,5264.398226,5264.398226,0.48,0.51,0.5,#DIV/0!,
201,MYLI5,MYLI,5,Myrcia lingua,,Punch,,,,,0,,,,0,,N,NA,130,35.72,3647.074912,3647.074912,0.37,0.37,0.43,#DIV/0!,
202,LAHA1,LAHA,1,Lacistema hasserliana,,Punch,7.1,,0.044,13,5.146949784,,,,0,,N,NA,78.52,28.46,1755.112939,1755.112939,0.29,0.26,0.28,116.9761315,
203,ANCO4,ANCO,4,Annona coriacea,,Punch,9.7,,0.078,9,6.650830187,,,,0,,N,NA,84.08,70.15,4632.444872,4632.444872,0.5,0.51,0.45,85.26705369,
204,CASY3,CASY,3,Casearia sylvestris,,Punch,,,,,0,,,,0,,N,NA,53.78,22.18,936.8546594,936.8546594,0.15,0.15,0.18,#DIV/0!,
205,BARU3,BARU,3,Bauhinia rufus,,Punch,7.1,,0.051,14,5.542868998,,,,0,,N,NA,59.92,80.2,3774.296848,3774.296848,0.42,0.4,0.49,108.6837059,weird sample -- duplicate of baru3
206,PIRO1,PIRO,1,,,Punch,7.1,,0.079,11,4.355111356,,,,0,,N,NA,92.08,70.9,5127.449919,5127.449919,0.51,0.54,0.55,55.12799185,
207,STAD1,STAD,1,Stryphnodendron adstringens,,Punch,9.7,,0.087,9,6.650830187,,,,0,,Y,87,25.67,21.51,433.6667851,37729.0103,0.27,0.22,0.22,76.44632399,
208,DIBU4,DIBU,4,Diospyros burchelli,,Punch,7.1,,0.061,14,5.542868998,,,,0,,N,NA,140,70.42,7743.083413,7743.083413,0.42,0.47,0.58,90.86670489,
209,COSU1,COSU,1,Connerus suberosum,,Punch,7.1,,0.067,10,3.959192142,,,,0,,Y,7,59.81,34.89,1638.946032,11472.62223,0.35,0.33,0.39,59.09242003,
210,MILI5,MILI,5,Miconia ligustroides,,Punch,,,,,0,,,,0,,N,NA,58.05,26.4,1203.638393,1203.638393,0.21,0.24,0.27,#DIV/0!,
211,ZARH2,ZARH,2,Zanthoxylem rhoifolium,,Punch,,,,,0,,,,0,,Y,15,28.06,9.01,198.5648349,2978.472524,0.16,0.14,0.18,#DIV/0!,
212,STCA4,STCA,6,Styrax camporum,,Punch,,,,,0,,,,0,,N,NA,81.03,36.25,2306.979478,2306.979478,0.29,0.3,0.29,#DIV/0!,duplicate sample from STCA4 -- renamed STCA6
213,MAEL5,MAEL,5,Matayba eleagnoides,,Punch,7.1,,0.07,13,5.146949784,,,,0,,Y,10,47.26,17.37,644.7382218,6447.382218,0.28,0.24,0.24,73.52785406,
214,COSU2,COSU,2,Conneria suberosum,,Punch,7.1,,0.096,16,6.334707427,,,,0,,Y,7,54.24,35.86,1527.63587,10693.45109,0.38,0.37,0.4,65.98653569,
215,DARA1,DARA,1,Daphnopsis racemosa,,Punch,7.1,,0.058,13,5.146949784,,,,0,,N,NA,52.79,17.82,738.8380324,738.8380324,0.33,0.32,0.34,88.74051352,
216,ALED1,ALED,1,Alibertia edulis,,Punch,7.1,,0.078,12,4.75103057,,,,0,,N,NA,143.81,62.22,7027.631397,7027.631397,0.33,0.34,0.33,60.91064833,
217,COLA2,COLA,2,Copaifera langsdorffi,,Punch,7.1,,0.073,16,6.334707427,,,,0,,Y,8,46.27,24.48,889.6123315,7116.898652,0.2,0.22,0.2,86.77681406,
218,ROMO2,ROMO,2,Roupala montana,,Punch,7.1,,0.077,12,4.75103057,,,,0,,N,NA,180,85.78,12126.8618,12126.8618,0.34,0.35,0.37,61.70169571,
219,MAEL4,MAEL,4,Matayba eleagnoides,,Punch,7.1,,0.07,13,5.146949784,,,,0,,Y,8,69.77,23.88,1308.557849,10468.46279,0.24,0.25,0.24,73.52785406,
220,ANCO5,ANCO,5,Annona coriacea,,Punch,7.1,,0.085,13,5.146949784,,,,0,,N,NA,91.38,69.32,4975.074507,4975.074507,0.46,0.54,0.56,60.5523504,
221,BARU2,BARU,2,Bauhinia rufus,,Punch,7.1,,0.086,15,5.938788213,,,,0,,N,NA,117.89,93.33,8641.479716,8641.479716,0.39,0.44,0.48,69.05567689,
222,ROMO1,ROMO,1,Roupala montana,,Punch,7.1,,0.099,14,5.542868998,,,,0,,N,NA,116.94,56.58,5196.559616,5196.559616,0.36,0.36,0.35,55.98857574,
223,PLPO5,PLPO,5,Plenckia populnea,,Punch,7.1,,0.062,15,5.938788213,,,,0,,N,NA,83.26,39.84,2605.227283,2605.227283,0.2,0.32,0.24,95.78690665,
224,,,,BARU? Named BARU3 on bag,,,9.7,,0.084,10,7.389811319,,,,0,,,,,,,,,,,87.97394428,
225,CHMA3,CHMA,3,Chrysophyllum marginatum,,Punch,,,,,,,,,0,,N,NA,51.91,22.09,900.6097122,900.6097122,0.21,0.24,0.24,#DIV/0!,
226,CHMA2,CHMA,2,Chrysophyllum marginatum,,Punch,,,,,,,,,0,,N,NA,72.97,32.97,1889.527316,1889.527316,0.23,0.23,0.22,#DIV/0!,
227,TEGL2,TEGL,2,Terminalia glabrescens,,Punch,,,,,,,,,0,,N,NA,73.85,33.58,1947.695554,1947.695554,0.15,0.2,0.16,#DIV/0!,
228,TEGL3,TEGL,3,Terminalia glabrescens,,Punch,,,,,,,,,0,,N,NA,101.9,41.42,3314.928457,3314.928457,0.27,0.22,0.26,#DIV/0!,
229,LIMO1,LIMO,1,Lithraea molloides,,Punch,,,,,,,,,0,,Y,5,73.85,20.67,1198.894196,5994.470979,0.2,0.17,0.2,#DIV/0!,
230,TEGL4,TEGL,4,Terminalia glabrescens,,Punch,,,,,,,,,0,,N,NA,90.52,45.13,3208.48313,3208.48313,0.3,0.3,0.33,#DIV/0!,
231,COLA4,COLA,4,Copaifera langsdorffi,,Punch,,,,,,,,,0,,Y,6,48.77,21.97,841.5359894,5049.215936,0.17,0.17,0.18,#DIV/0!,
232,LIMO3,LIMO,3,Lithraea molloides,,Punch,,,,,,,,,0,,Y,5,80.71,26.03,1650.028315,8250.141573,0.26,0.24,0.22,#DIV/0!,
233,LIMO2,LIMO,2,Lithraea molloides,,Punch,,,,,,,,,0,,Y,5,72.7,15.81,902.7264388,4513.632194,0.25,0.23,0.25,#DIV/0!,
234,ZARH3,ZARH,3,Zanthoxylem rhoifolium,,Punch,,,,,,,,,0,,Y,13,24.31,12.12,231.4075157,3008.297705,0.17,0.2,0.2,#DIV/0!,
235,BOVI3,BOVI,3,Bowdichia virgilioides,,Punch,,,,,,,,,0,,Y,13,49.73,15.94,622.5821396,8093.567815,0.19,0.18,0.22,#DIV/0!,
236,COLA5,COLA,5,Copaifera langsdorffi,,Punch,,,,,,,,,0,,Y,6,56.9,22.9,1023.381661,6140.289965,0.14,0.14,0.13,#DIV/0!,
237,BOVI5,BOVI,5,Bowdichia virgilioides,,Punch,,,,,,,,,0,,Y,13,45.05,14.24,503.8423466,6549.950506,0.24,0.26,0.26,#DIV/0!,
238,STAD3,STAD,3,Stryphnodendron adstringens,,Punch,,,,,,,,,0,,Y,120,21.1,15.75,261.0074447,31320.89336,0.17,0.19,0.17,#DIV/0!,
239,BOVI3,BOVI,3,Bowdichia virgilioides,,Punch,,,,,,,,,0,,Y,15,59.96,13.6,640.4576447,9606.864671,0.25,0.22,0.24,#DIV/0!,
240,ERGR1,ERGR,1,Eriotheca gracilis,,Punch,,,,,,,,,0,,Y,3,75.16,35.62,2102.667335,6308.002004,0.35,0.4,0.39,#DIV/0!,
241,CAAD3,CAAD,3,Campomanesia adamantium,,Punch,,,,,,,,,0,,N,NA,69.63,25.64,1402.181708,1402.181708,0.47,0.43,0.42,#DIV/0!,
242,MABR2,MABR,2,Machaerium brasiliense,,Punch,,,,,,,,,0,,Y,9,51.21,15.36,617.7828856,5560.04597,0.19,0.18,0.2,#DIV/0!,
243,STCA5,STCA,5,Styrax camporum,,Punch,,,,,,,,,0,,N,NA,120.98,57.75,5487.258881,5487.258881,0.38,0.37,0.36,#DIV/0!,
244,STAD2,STAD,2,Stryphnodendron adstringens,,Punch,,,,,,,,,0,,Y,130,20.66,16.62,269.681539,35058.60008,0.29,0.25,0.27,#DIV/0!,
245,QUCO2,QUCO,2,Qualea cordata,,Punch,,,,,,,,,0,,N,NA,87.49,36.58,2513.575873,2513.575873,0.16,0.16,0.17,#DIV/0!,
246,MYTO3,MYTO,3,Myrcia tomentosa,,Punch,,,,,,,,,0,,N,NA,56.42,29.8,1320.502498,1320.502498,0.24,0.25,0.28,#DIV/0!,
247,ZEMO3,ZEMO,3,Zeyheria montana,,Punch,,,,,,,,,0,,Y,5,141.52,46.41,5158.450527,25792.25263,0.5,0.55,0.56,#DIV/0!,
248,SYPU1,SUPU,1,Symplocos pubescens,,Punch,,,,,,,,,0,,N,NA,81.61,36.62,2347.208121,2347.208121,0.35,0.37,0.36,#DIV/0!,
249,QUCO1,QUCO,1,Qualea cordata,,Punch,,,,,,,,,0,,N,NA,66.36,42.55,2217.664391,2217.664391,0.28,0.26,0.27,#DIV/0!,
250,MABR4,MABR,4,Machaerium brasiliense,,Punch,,,,,,,,,0,,Y,7,51.38,16.44,663.4157755,4643.910429,0.17,0.18,0.18,#DIV/0!,
251,RAGU4,RAGU,4,Rapanea guianensis,,Punch,,,,,,,,,0,,N,NA,97.37,58.27,4456.152751,4456.152751,0.33,0.36,0.33,#DIV/0!,
252,MABR3,MABR,3,Machaerium brasiliense,,Punch,,,,,,,,,0,,Y,5,53.75,16.58,699.9272083,3499.636041,0.13,0.14,0.13,#DIV/0!,
253,DIBU5,DIBU,5,Diospyros burchelli,,Punch,,,,,,,,,0,,N,NA,154.5,102.38,12423.20038,12423.20038,0.44,0.41,0.45,#DIV/0!,
254,CAAD5,CAAD,5,Campomanesia adamantium,,Punch,,,,,,,,,0,,N,NA,73.27,25.11,1444.983159,1444.983159,0.22,0.27,0.26,#DIV/0!,
255,SYPU2,SYPU,2,Symplocos pubescens,,Punch,,,,,,,,,0,,N,NA,100.34,39.79,3135.72463,3135.72463,0.36,0.3,0.28,#DIV/0!,
256,COLA3,COLA,3,Copaifera langsdorffi,,Punch,,,,,,,,,0,,Y,7,54.48,24.45,1046.178628,7323.250396,0.15,0.15,0.16,#DIV/0!,
257,ZEMO2,ZEMO,2,Zeyheria montana,,Punch,,,,,,,,,0,,Y,5,100.43,32.56,2568.252623,12841.26311,0.39,0.36,0.37,#DIV/0!,
258,GOPO4,GOPO,4,Gochnatia polymorpha,,Punch,,,,,,,,,0,,N,NA,100.4,37.58,2963.332403,2963.332403,0.41,0.4,0.39,#DIV/0!,
259,GOPO3,GOPO,3,Gochnatia polymorpha,,Punch,,,,,,,,,0,,N,NA,114.35,59.73,5364.368023,5364.368023,0.37,0.37,0.39,#DIV/0!,
260,CHMA1,CHMA,1,Chrysophyllum marginatum,,Punch,,,,,,,,,0,,N,NA,40.27,16.15,510.7919422,510.7919422,0.23,0.28,0.28,#DIV/0!,
261,SCVI5,SCVI,5,Schefflera vinosa,,Punch,,,,,,,,,0,,Y,7,84.45,19.65,1303.323092,9123.261642,0.42,0.38,0.37,#DIV/0!,
