Species,FG,Life Form
Sweetia fruticosa,F,tree
Symplocos mosenii,G,tree
Symplocos pubescens,S,treelet
Tabebuia ochracea,G,tree
Tabernaemontana catharinensis,F,tree
Tapirira guianensis,G,tree
Terminalia glabrescens,G,tree
Tibouchina stenocarpa,S,tree
Tocoyena formosa,S,shrub
Trichilia pallida,F,tree
Vernonanthura phosphorica,G,shrub
Vernonia sp1.,S,shrub
Vernonia sp2.,G,shrub
Vitex megapotamica,F,tree
Vochysia tucanorum,G,tree
Zanthoxylum rhoifolium,G,tree
Zeyheria montana,S,shrub
Zeyheria tuberculosa,G,tree
