,Code,Wood_density,Sp_name
1,AEVE,0.425399702,Aegiphila   verticillata
2,ALED,0.797259028,Alibertia   edulis
3,AMIN,0.719115994,Amaioua   intermedia
4,ANCA,0.266446861,Annona   cacans
5,ANCO,0.399726434,Annona   coriacea
6,ANCR,0.372258547,Annona   crassiflora
7,ANDI,0.324122845,Annona   dioica
8,ANFA,0.638803014,Anadenanthera   falcata
9,BADR,0.547898852,Baccharis   dracunculifolia
10,BALO,0.76072458,Bauhinia   longifolia
11,BARU,0.617740105,Bauhinia   rufa
12,BOVI,0.567884798,Bowdichia   virgilioides
13,BYBA,0.490272374,Byrsonima   basiloba
14,BYCO,0.689597977,Byrsonima   coccolobifolia
15,CAAD,0.719158424,Campomanesia   adamantium
16,CABR,0.590361505,Caryocar   brasiliense
17,CAGU,0.69089904,Campomanesia   guazumifolia
18,CALU,0.728271728,Calyptranthes   lucida
19,CASY,0.660921143,Casearia   sylvestris
20,CESE,0.638307623,Cestrum   mariquitense
21,CHMA,0.707296392,Chrysophyllum   marginatum
22,COLA,0.516624203,Copaifera   langsdorffii
23,COSU,0.449421216,Connarus   suberosus
24,CUTE,0.737382204,Cupania   tenuivalvis
25,CUVE,0.665130627,Cupania   vernalis
26,DAEL,0.635812386,Davilla   elliptica
27,DARA,0.426234836,Daphnopsis   racemosa
28,DIBU,0.418768208,Diospyros   burchelli
29,DIMO,0.475035789,Dimorphandra   mollis
30,DUFU,0.606257732,Duguetia   furfuracea
31,ERCU,0.778581208,Erythroxylum   cuneifolium
32,ERGR,0.387737597,Eriotheca   gracilipes
33,ERSU,0.60065428,Erythroxylum   suberosum
34,EUMY,0.71334279,Eugenia   myrcianthes
35,EUPU,0.691810345,Eugenia   punicifolia
36,GOBA,0.745936667,Gochnatia   barrosii
37,GOPO,0.618323529,Gochnatia   polymorpha
38,GUNI,0.400142355,Guatteria   nigrescens
39,JACA,0.483941382,Jacaranda   caroba
40,KICO,0.43617147,Kielmeyera   coriacea
41,LAHA,0.546710909,Lacistema   hasslerianum
42,LEEL,0.700416501,Leptolobium   elegans
43,LIMO,0.568238565,Lithraea   molleoides
44,LISA,0.685397948,Lippia   salviifolia
45,LUCA,0.540709438,Luehea   candicans
46,LUGR,0.3739188,Luehea   grandiflora
47,MAAC,0.638275682,Machaerium   acutifolium
48,MABR,0.544646163,Machaerium   brasiliense
49,MAEL,0.631005474,Matayba   elaeagnoides
50,MIAL,0.692409552,Miconia   albicans
51,MILI,0.641934232,Miconia   ligustroides
52,MYFA,0.566545576,Myrcia   fallax
53,MYLI,0.520123956,Myrcia   lingua
54,MYMU,0.686089236,Myrcia   multiflora
55,MYTO,0.781241056,Myrcia   tomentosa
56,MYVE,0.789898012,Myrcia   venulosa
57,NECU,0.555577153,Nectandra   cuspidata
58,NEOP,0.685628743,Nectandra   oppositifolia
59,OCCO,0.614587759,Ocotea   corymbosa
60,OCMI,0.600404942,Ocotea   minarum
61,OCPU,0.649871574,Ocotea   pulchella
62,OCVE,0.488697249,Ocotea   velloziana
63,OUSP,0.590901635,Ouratea   spectabilis
64,PEOB,0.542815699,Pera   obovata
65,PEWI,0.502654867,Persea   willdenovii
66,PIAX,0.571842574,Piptocarpha   axillaris
67,PIRO,0.426433915,Piptocarpha   rotundifolia
68,PLEL,0.697052962,Platypodium   elegans
69,PLPO,0.627745704,Plenckia   populnea
70,PLRE,0.520494449,Plathymenia   reticulata
71,POTO,0.534070578,Pouteria   torta
72,PRHE,0.526108816,Protium   heptaphyllum
73,PRMY,0.607826811,Prunus   myrtifolia
74,QUCO,0.624664007,Qualea   cordata
75,QUGR,0.557455236,Qualea   grandiflora
76,QUMU,0.581794368,Qualea   multiflora
77,RAFE,0.622897865,Myrsine   coriacea
78,RAGU,0.49924479,Myrsine   guianensis
79,RALA,0.778097983,Rapanea   lancifolia
80,RAUM,0.684933409,Myrsine   umbellata
81,ROMO,0.668108318,Roupala   montana
82,SCVI,0.438604294,Schefflera   vinosa
83,SIGU,0.589690088,Siparuna   guianensis
84,SOLY,0.514564571,Solanum   lycocarpum
85,STAD,0.465528635,Stryphnodendron   adstringens
86,STCA,0.564925532,Styrax   camporum
87,STFE,0.468739768,Styrax   ferrugineus
88,STPO ,0.475780409,Styrax   pohlii
89,STRO,0.432781415,Stryphnodendron   rotundifolium
90,SYPU,0.51516431,Symplocos   pubescens
91,TACA,0.613289801,Tabernaemontana   catharinensis
92,TAGU,0.573477072,Tapirira   guianensis
93,TAOC,0.622799493,Tabebuia   ochracea
94,TEGL,0.703690587,Terminalia   glabrescens
95,TOFO,0.655935099,Tocoyena   formosa
96,VOTU,0.488284665,Vochysia   tucanorum
97,ZARH,0.555450978,Zanthoxylum   rhoifolium
98,ZEMO,0.49699631,Zeyheria   montana
99,CECR,NA,Cecropia   pachystachya
