datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2013-02-07 10:18:23-02"	UMC	HUMC	1395	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata								514		"Tomasulo, P.L."	1998	07	07			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-02-07 10:18:23-02"	UMC	HUMC	1447	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata								indet		"Tomasulo, P.L."	1997	02	26			"Southern America"	Brazil	"São Paulo"	Itatinga	"Fazenda São José."	0	0	-48.61	-23.1	28219								0					
"2013-04-01 09:19:07-03"	IPT	BCTW	17845	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17846	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17849	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17848	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17847	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	17844	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	"São Paulo"	Corumbataí	Cerrado	0	0	-47.62	-22.22	14989													
"2013-04-01 09:19:07-03"	IPT	BCTW	15260	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"															Brasil	Goiás		"Serra Quebrada"	0	0															"Jakko Poyry"	
"2013-04-01 09:19:07-03"	IPT	BCTW	15338	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"	"G. Webster"							"Heringer, E.P. e outros"	1979	05	14				Brasil	"Distrito Federal"	"São Bartolomeu"	"Córrego Taboquinha"	0	0															"árvore da mata"	
"2013-04-01 09:19:07-03"	IPT	BCTW	15909	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		Aublet									1989	08	24				Brasil	Goiás	"Santo Antônio do Descoberto"	"Fazenda Canteiro do Paraíso, em mata ciliar"	0	0	-48.255	-15.9397	42587													
"2013-04-01 09:19:07-03"	IPT	BCTW	15337	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"	"G. Webster"							"Heringer, E.P. e outros"	1978	10	10				Brasil	"Distrito Federal"	Brasília	"Reserva Ecológica do IBGE"	0	0	-47.9297	-15.7797	70570												"árvore com 8 x 0,3m de diâmetro"	
"2013-04-01 09:19:07-03"	IPT	BCTW	15336	"Pera glabrata"	S	Plantae	Magnoliophyta	Magnoliopsida			Pera	glabrata		"Poeppig ex Baillon"	"Carlos Toledo Rizzini"					441		"Mattos Filho, A."	1963	07	21				Brasil	"Minas Gerais"	Paracatu		0	0	-46.8747	-17.2222	72344												"árvore do cerrado, com 5 x 0,1m de diâmetro"	
"2009-11-26 13:50:04-02"	INPA	INPAW	9099	"Pera glabrata"	S	Plantae				Euphorbiaceae	Pera	glabrata		"(Schott) Poepp. ex Baill."						60		"Silva, M.N."	1983	04	22				Brasil	Par&#225;	Itaituba		0	0	-55.9836	-4.27611	457045													
"2014-08-26 18:22:09-03"	FSL	HFSL	2303	"Pera glabrata"	S	Plantae				Peraceae	Pera	glabrata		"(Schott) Poepp. ex Baill."	"Vicentini, A."	1997	07			1727		"Ribeiro, J.E.L.S.; Maas, P.J.M.; Silva, C.F. da; Assunção, P.A.C.L.; Maas, H. & Miralha, M."	1995	10	12			"Southern America"	Brasil	Amazonas	Manaus	"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke - Itacoatiara, km 26. Igarapé do Tinga. Floresta de Vertente."	-59.966667	-2.883333					0	0									"Árvore. 28m alt. DAP=60cm. Solo arenoso. Caule cilíndrico, base levemente acanalada. Ritidoma marrom-enegrecido, fissurado, fissuras largas e profundas (5mm larg.), frágil, desprendimento em placas quase retas. Casca morta marrom-enegrecida, 4mm espe; DE"	
