datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-07-30 10:41:01-03"	CITSF	HXBH	015284	"Erythroxylum tortuosum mart."	S	Plantae				Erythroxylaceae	Erythroxylum	"tortuosum mart."			"Queiroz, L. P."	1989	01	01				"Queiroz, L. P. 2380"	1989	08	01				BR	SP	Itirapina	"Área de entorno da represa do Lobo"	0	0	-47.82	-22.25	22843												"Flores brancas"	
"2015-02-23 14:16:55-03"	E	E	E00053487	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum								R7953		"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca"	1997	11	08				Brasil				0	0										"herbarium specimen of unspecified type"		BGBASE:60746			"<a href=\"http://data.rbge.org.uk/herb/E00053487\" target=\"_blank\">more info</a>"	E00053487
"2015-02-23 14:16:55-03"	E	E	E00055794	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum								"R 7903"		"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca"	1997	11	04				Brasil				0	0										"herbarium specimen of unspecified type"		BGBASE:62912			"<a href=\"http://data.rbge.org.uk/herb/E00055794\" target=\"_blank\">more info</a>"	E00055794
"2015-02-23 14:16:55-03"	E	E	E00084295	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum								1361		"Proenca, C. & Moretto, G.L."	1996	01	06				Brasil				0	0										"herbarium specimen of unspecified type"		BGBASE:93286			"<a href=\"http://data.rbge.org.uk/herb/E00084295\" target=\"_blank\">more info</a>"	E00084295
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2802174	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1983				"Williams 7466"		"Louis O. Williams"	1945	09	04			"South America"	Brazil	"Minas Gerais"		"In campo, Morro das Pedras, Municipio of Belo Horizonte."	0	0																
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2802334	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1977				"Prance 18845"		"Ghillean T. Prance"	1973	10	12			"South America"	Brazil	Amazonas		"Chapada dos Guimaráes, just above Cachoeira Furada, Reserva Buriti. Cerrado."	0	0					720	720										
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2803422	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1983				"Eiten 5061"		"George Eiten|Liene T. Eiten"	1983	11	07			"South America"	Brazil	"São Paulo"		"Municipio de Moji-Guacu; \"Campos das Sete Lagóas\". Fazenda Campininha, just north of Rio Moji-Guascu 4.5 km. NNW of Padua Sales.( About 27 km. NW of city of MOJI-MIRIM). Genreal vegetation; campo cerrado ( a type of scrubby woodland originally) on upland,"	-47.11944	-22.18833					575	625										
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2803490	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1980				"Plowman 9956"		"Timothy C. Plowman"	1970	04	03			"South America"	Brazil	"Distrito Federal"		"Chapada de Contagem,northeast of Brasilia. Along highway DF5, about 25 km. west of intersection with BR 020."	-48.05	-15.6					1170	1170										
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2803553	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T. Plowman"	1984				"Plowman 491"		"Timothy C. Plowman"	1984	01	18			"South America"	Brazil			"Cubelo de negro."	0	0																
"2016-10-10 10:05:39-03"	MOBOT	MOBOT_BR	2803646	"Erythroxylum tortuosum"	S	Plantae				Erythroxylaceae	Erythroxylum	tortuosum		Mart.	"T Plowman"	1983				"Riedel s.n."		"Ludwig Riedel"	1983	11	07			"South America"	Brazil				0	0																
