"","species","savanna_count","forest_count","total_count","classification80","classification70","classification66"
"188","Stryphnodendron adstringens",83,17,100,"S","S","S"
"189","Stryphnodendron rotundifolium",32,10,42,"G","S","S"
"190","Styrax camporum",111,51,162,"G","G","S"
"191","Styrax ferrugineus",79,21,100,"G","S","S"
"192","Styrax pohlii",8,40,48,"F","F","F"
"193","Sweetia fruticosa",0,1,1,NA,NA,NA
"194","Symplocos pubescens",43,20,63,"G","G","S"
"195","Symplocos revoluta",6,28,34,"F","F","F"
"196","Tabebuia aurea",15,9,24,"G","G","G"
"197","Tabernaemontana catharinensis",28,70,98,"G","F","F"
"198","Tapirira guianensis",74,230,304,"G","F","F"
"199","Terminalia glabrescens",9,40,49,"F","F","F"
"200","Tocoyena formosa",124,26,150,"S","S","S"
"201","Trichilia pallida",23,243,266,"F","F","F"
"202","Vernonanthura phosphorica",9,30,39,"G","F","F"
"203","Vitex megapotamica",1,7,8,"F","F","F"
"204","Vochysia tucanorum",118,145,263,"G","G","G"
"205","Xylopia aromatica",169,85,254,"G","G","S"
"206","Zanthoxylum rhoifolium",34,101,135,"G","F","F"
"207","Zeyheria montana",81,15,96,"S","S","S"
"208","Zeyheria tuberculosa",1,23,24,"F","F","F"
