P,Especie,Sub,N,H.1,H.2,DAP.1,DAP.2,D.30cm.1,D.30.2,obs,Form.DAP1,For.DAP2,cresc
13,Moquiniastrum polymorphum (Less.) G. Sancho,4,2570,6.5,,20.2+11.1+18,18.6+20+21.8+12,45.1,45+22.4+19.3+20.3,,29.24465763,36.94861296,7.703955333
13,Ocotea corymbosa (Meisn.) Mez,4,2571,7,,8,9.7,12.3,14.2,,8,9.7,1.7
13,Casearia sylvestris Sw.,4,2572,4,,7.4,8,7.8,7.4,,7.4,8,0.6
13,Pera glabrata (Schott) Poepp. ex Baill.,4,2573,5.5,,6.1,7.1,7.6,8.3,,6.1,7.1,1
13,Diospyros hispida A.DC.,4,2574,2.3,,6,6.2+4.3,6.4,6.7,,6,7.545197148,1.545197148
13,Casearia sylvestris Sw.,4,2575,2.1,1.11,1+1.9,0,2.4+2.1,0.83,,2.147091055,0,-2.147091055
13,Leptolobium elegans Vogel,4,2576,1.7,,2,2.5,3.8,4.2,,2,2.5,0.5
13,Matayba elaeagnoides Radlk.,4,2577,2.1,0.44,1.9,0,3.3,0.51,,1.9,0,-1.9
13,Casearia sylvestris Sw.,4,2578,2.5,0.9,1.5+1.9+1.8,0,1.6+2.5+2.3,0.35,,3.016620626,0,-3.016620626
13,Casearia sylvestris Sw.,4,2579,2.5,,2.6,3.5,3.2,4.9,,2.6,3.5,0.9
13,Casearia sylvestris Sw.,4,2580,2,,1.4,1.3,5.9,4.5,,1.4,1.3,-0.1
13,Myrcia splendens (Sw.) DC.,4,2581,2.5,,3.7,4,6.7,6.2,,3.7,4,0.3
13,Styrax camporum Pohl,4,2582,2.6,0.72,1.7,0,2.5,0.79,,1.7,0,-1.7
13,Myrcia splendens (Sw.) DC.,4,2583,2.5,1.5,1.6+1.5,0.24,3.5,0.78,,2.19317122,0.24,-1.95317122
13,Myrcia splendens (Sw.) DC.,4,2584,2.5,0.57,1.4,0,2,0.7,,1.4,0,-1.4
13,Machaerium brasiliense Vogel,4,2585,3.5,1.12,3.6,0,4.4,0.71,,3.6,0,-3.6
13,Moquiniastrum polymorphum (Less.) G. Sancho,5,2586,3.5,,8.2+9.7,11.4+11.5,13,14.5,,12.70157471,16.19289968,3.491324973
13,Moquiniastrum polymorphum (Less.) G. Sancho,5,2587,4.5,,17+9.9,17.7+10.3,22.9,22.1,,19.67256974,20.47876949,0.806199759
13,Moquiniastrum polymorphum (Less.) G. Sancho,5,2588,3,,6.3,5.6,10.4,11.1,,6.3,5.6,-0.7
13,Moquiniastrum polymorphum (Less.) G. Sancho,5,2589,3.5,,5.5+5.9,7.5,8.8,10.3,,8.065977932,7.5,-0.565977932
13,Dimorphandra mollis Benth.,5,2590,2.2,,2.7,4.3,4,6.3,,2.7,4.3,1.6
13,Myrcia splendens (Sw.) DC.,5,2591,2.3,,1.1+2.1+1.2,2.5+2.5+4+2.4,2.6+3.9,5.1+4.3,,2.657066051,5.853204251,3.1961382
13,Moquiniastrum polymorphum (Less.) G. Sancho,5,2592,2,1.27,1.5,0,3.4,2.64,,1.5,0,-1.5
13,Moquiniastrum polymorphum (Less.) G. Sancho,6,2593,3.5,m,6.8,m,9.4,m,,6.8,,#VALUE!
13,Moquiniastrum polymorphum (Less.) G. Sancho,6,2594,4,,5.3+6.3+7.7,8.7+7.6+5.8,10.7+9.4,10.2+12.0,,11.27253299,12.92632972,1.653796729
13,Dimorphandra mollis Benth.,6,2595,3,,5.7,9,7,10.3,,5.7,9,3.3
13,Tabernaemontana catharinensis A.DC.,6,2596,1.8,0.69,1.1+1.2,0,2.7,0.53,,1.62788206,0,-1.62788206
13,Myrcia splendens (Sw.) DC.,6,2597,2.5,,2.6,3.3,4,4.4,,2.6,3.3,0.7
13,Dimorphandra mollis Benth.,6,2598,2.2,,2.4+1.8+2.8,2.7+2+1.8+1.1,4+3.9,5.1+4.8,,4.103656906,3.967366885,-0.136290021
13,Dimorphandra mollis Benth.,6,2599,1.9,1.58,2.3,1.3,3.5,4.4,,2.3,1.3,-1
13,Dimorphandra mollis Benth.,6,2600,2.5,1.61,3.9,1.09,4.2,5.4,,3.9,1.09,-2.81
13,Aegiphila integrifolia (Jacq.) Moldenke,6,2601,2.5,2.84,1.2,1.7+1.5,1.9,3.8,,1.2,2.26715681,1.06715681
13,Leptolobium elegans Vogel,6,2602,1.7,0.52,1.3,0,4.1,0.68,,1.3,0,-1.3
13,Leptolobium elegans Vogel,6,2603,1.7,m,1.6,m,4.2,m,,1.6,,#VALUE!
13,Ocotea corymbosa (Meisn.) Mez,7,2604,6,,8.6,9.8,9.6,11.4,,8.6,9.8,1.2
13,Moquiniastrum barrosoae (Cabrera) G. Sancho,7,2605,6.5,,23.6+18.6+19.7+22.9+12.7+8.3,24.1+9.2+m+m+m,45.5,46.2,,45.22830972,25.79631757,-19.43199215
13,Ocotea corymbosa (Meisn.) Mez,7,2606,5.5,0.83,5.3,0,6.1,0.55,,5.3,0,-5.3
13,Ocotea corymbosa (Meisn.) Mez,7,2607,4.5,0.62,1.6,0,2.2,0.53,,1.6,0,-1.6
13,Styrax camporum Pohl,7,2608,4,,2.8,3.2,3.8,4.2,,2.8,3.2,0.4
13,Ocotea corymbosa (Meisn.) Mez,7,2609,5,,6.2,7.7,7,10,,6.2,7.7,1.5
13,Ocotea corymbosa (Meisn.) Mez,7,2610,5,1.36,4.4,0.22,5,1.12,,4.4,0.22,-4.18
13,Myrcia splendens (Sw.) DC.,7,2611,2.5,m,2.3,m,3.3,m,,2.3,,#VALUE!
13,Ocotea corymbosa (Meisn.) Mez,7,2612,2.5,0.2,1.1,0,1.7,0.1,,1.1,0,-1.1
13,Myrcia splendens (Sw.) DC.,7,2613,2.5,,1.4+1.5,1.8+2.3,2.5,3.8,,2.051828453,2.920616373,0.86878792
13,Myrcia splendens (Sw.) DC.,7,2614,2.5,1.66,1.2,0,2.2,0.65,,1.2,0,-1.2
13,Myrcia splendens (Sw.) DC.,7,2615,2.5,,1.9+1.5+1.3+1.2,2.6+2.58+1.55+2.1,4.3,6.4,,2.99833287,4.497654945,1.499322074
13,Matayba elaeagnoides Radlk.,7,2616,2.5,1.05,1.3+1.6,0,2.2,0.71,,2.061552813,0,-2.061552813
13,Eugenia suberosa,7,2617,2.2,0.88,1,0,2,0.77,,1,0,-1
13,Stryphnodendron rotundifolium Mart.,8,2618,2,,6.3,6.5,6.9,7.1,,6.3,6.5,0.2
13,Moquiniastrum polymorphum (Less.) G. Sancho,8,2619,4,,9.7+5.9+5.8,5.6+10+5.8,10.7+9.8+6.9,11+7.1+9.1,,12.74911762,12.84523258,0.096114962
13,Ocotea corymbosa (Meisn.) Mez,8,2620,4.5,,5.1,6.3+1.6+2.05+1.74,6,9.1+2.08+2.48+3,,5.1,7.034209266,1.934209266
13,Caryocar brasiliense Cambess.,8,2621,3.5,,8.9,9.9,11.5,10.9,,8.9,9.9,1
13,Moquiniastrum polymorphum (Less.) G. Sancho,8,2622,3.5,,8.5,8.8,10,10.2,,8.5,8.8,0.3
13,Moquiniastrum polymorphum (Less.) G. Sancho,8,2623,4.5,,14.1+9.2,9.8+15.3,17.8,17.7,,16.83597339,18.1694799,1.333506514
13,Moquiniastrum polymorphum (Less.) G. Sancho,8,2624,3.5,,12.8,13,14.6,14.5,,12.8,13,0.2
13,Ocotea corymbosa (Meisn.) Mez,8,2625,6,,8.5,10.2,10.8,18.8,,8.5,10.2,1.7
13,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,8,2626,2.1,m,1,m,1.5,m,m,1,,#VALUE!
13,Moquiniastrum barrosoae (Cabrera) G. Sancho,8,2627,2.5,2.7,2.4+2,0.4,1.9+4.7,0.6,,3.12409987,0.4,-2.72409987
13,Myrcia splendens (Sw.) DC.,8,2628,2.5,,2.1+1.5,1.7+2.7,4.8,5.4,,2.58069758,3.190611227,0.609913647
13,Myrcia multiflora (Lam.) DC.,8,2629,2.5,0.77,1.4,0,2,0.5,,1.4,0,-1.4
13,Myrcia splendens (Sw.) DC.,8,2630,3,1.44,1.5,0.17,2.4,0.86,,1.5,0.17,-1.33
13,Myrcia splendens (Sw.) DC.,8,2631,2.5,1.49,1.4,0.23,2.5,0.77,,1.4,0.23,-1.17
13,Moquiniastrum barrosoae (Cabrera) G. Sancho,8,2632,2.5,0.32,1.2,0,1.7,0.39,,1.2,0,-1.2
13,Matayba elaeagnoides Radlk.,8,2633,2.3,1.19,2.5,0,2.8,0.99,,2.5,0,-2.5
13,Ocotea corymbosa (Meisn.) Mez,8,2634,3.5,,1.8,2.5,2.2,2.5,,1.8,2.5,0.7
13,Ouratea spectabilis (Mart.) Engl.,8,2635,1.8,,2.5+2.0,1.8+1.9,5.6,6,,3.201562119,2.617250466,-0.584311653
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2636,3.5,,5.2,5.8,7.4,8.3,,5.2,5.8,0.6
13,Ocotea corymbosa (Meisn.) Mez,9,2637,7.5,4.2,17.7,3.2,24.6,3.5,,17.7,3.2,-14.5
13,Ocotea corymbosa (Meisn.) Mez,9,2638,7,,12.5,13.6,15,18.5,,12.5,13.6,1.1
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2639,4,,5.6,6.3+5.6+5.3,8.5,7.1+8.5,,5.6,9.95690715,4.35690715
13,Vochysia tucanorum Mart.,9,2640,4.5,,5.8,11.5+3.8,7.7,16.4,,5.8,12.11156472,6.311564721
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2641,5,,10.7,12.6,12.1,14,,10.7,12.6,1.9
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2642,5,,10,10.3,11,11.3,,10,10.3,0.3
13,Myrcia splendens (Sw.) DC.,9,2643,3.5,,1.7,2.5,2.3,3.5,,1.7,2.5,0.8
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2644,3,0.88,1.5,0,2.3,0.19,,1.5,0,-1.5
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2645,1.7,,1.7+2.3+1.6,2.8+2.31,4.3,5.2,,3.277193922,3.629889805,0.352695884
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2646,2,,1.5+2.5,2.3+2.6,4.2,4.4,,2.915475947,3.471310992,0.555835044
13,Myrcia multiflora (Lam.) DC.,9,2647,2.5,,2.2+2,2.9+2.6,3.1,3.9,,2.973213749,3.894868419,0.921654669
13,Moquiniastrum polymorphum (Less.) G. Sancho,9,2648,2.1,,2.2+2.02.3+1.9+3+2.2,3.1+2.4+2.2+1.4+1.1,4.2+3.9,4.8+4.8,,#VALUE!,4.835286961,#VALUE!
13,Miconia ligustroides (DC.) Naudin,9,2649,2,,1.4,2.1,2,3.3,,1.4,2.1,0.7
13,Myrcia splendens (Sw.) DC.,9,2650,2.1,,1.2,2,2,3,,1.2,2,0.8
