P,Especie,Sub,N,H.1,H.2,DAP.1,DAP.2,D.30cm.1,D.30.2,obs,Form.DAP1,For.DAP2,cresc
14,Pera glabrata (Schott) Poepp. ex Baill.,2,2726,9,,11.5,12.2,12.8,13.5,,11.5,12.2,0.7
14,Ocotea corymbosa (Meisn.) Mez,2,2727,10,,11.9,12.2,13,13.3,,11.9,12.2,0.3
14,Tapirira guianensis Aubl.,2,2728,11,,13.6,14.8,18.7,19.8,,13.6,14.8,1.2
14,Vochysia tucanorum Mart.,2,2729,9,,11.8,12,15.5,16,,11.8,12,0.2
14,Ocotea velloziana (Meisn.) Mez,2,2730,8,,11,12.1,12.5,12.9,,11,12.1,1.1
14,Myrcia splendens (Sw.) DC.,2,2731,8,,11.3,11,12.1,11.9,,11.3,11,-0.3
14,Syagrus romanzoffiana (Cham.) Glassman,2,2732,4,,11.6,11.9,14.2,15,,11.6,11.9,0.3
14,Moquiniastrum polymorphum (Less.) G. Sancho,2,2733,8,,11.9,11,13,13.2,,11.9,11,-0.9
14,Eugenia myrcianthes Nied.,2,2734,7,,13,12.9,12.5,12.2,,13,12.9,-0.1
14,Tapirira guianensis Aubl.,2,2735,2.6,,1.3+1.1,1.5,2.4,2.3,,1.702938637,1.5,-0.202938637
14,Ocotea minarum (Nees & Mart.) Mez,2,2736,3,,1.6,1.7,1.9,2,,1.6,1.7,0.1
14,Casearia sylvestris Sw.,3,2737,8,,9.3+10.5,10.5+9.5,11+11.7,11.7+11.8,,14.02640367,14.15980226,0.133398585
14,Vochysia tucanorum Mart.,3,2738,9,,13,12.8,16.3,15.4,,13,12.8,-0.2
14,Vochysia tucanorum Mart.,3,2739,14,,41.8,41,46.5,47,,41.8,41,-0.8
14,Ocotea velloziana (Meisn.) Mez,3,2740,12,,24.1,26,26.1,26.6,,24.1,26,1.9
14,Ocotea velloziana (Meisn.) Mez,3,2741,12,,8.9,10.1,9,10.4,,8.9,10.1,1.2
14,Moquiniastrum polymorphum (Less.) G. Sancho,3,2742,3,,2,1.9,2.2,2.2,,2,1.9,-0.1
14,Handroanthus ochraceus (Cham.) Mattos,3,2743,4,,3.7,4.9,5.1,6,,3.7,4.9,1.2
14,Ocotea minarum (Nees & Mart.) Mez,3,2744,9,,14,15.8,15.8,17.4,,14,15.8,1.8
14,Psidium guajava L.,3,2745,4,m,5.3,m,5.3,m,m,5.3,,#VALUE!
14,Vochysia tucanorum Mart.,3,2746,6,,6.2,6.3,7.9,8.1,,6.2,6.3,0.1
14,Lithrea molleoides (Vell.) Engl.,3,2747,5,,5.3,5.1,5.3,5.3,,5.3,5.1,-0.2
14,Moquiniastrum polymorphum (Less.) G. Sancho,3,2810,4,,13.8,6,14,14.3,?,13.8,6,-7.8
14,Siparuna guianensis Aubl.,3,2829,3,,1.5,2.5,1.7,2.9,,1.5,2.5,1
14,Pera glabrata (Schott) Poepp. ex Baill.,3,2832,2.5,,1.6,1.7,2.5,3.5,,1.6,1.7,0.1
14,Ocotea minarum (Nees & Mart.) Mez,3,2833,2.5,,1.8,2.6,2.2,3.1,,1.8,2.6,0.8
14,Tapirira guianensis Aubl.,3,2834,6,,3,3.3,3.5,3.6,,3,3.3,0.3
14,Moquiniastrum polymorphum (Less.) G. Sancho,4,2748,6,,8.8,8.5+2.5+3.4,10.3,10.3,,8.8,9.489994731,0.689994731
14,Moquiniastrum polymorphum (Less.) G. Sancho,4,2749,9,,15.7,16.3,18.5,18.6,,15.7,16.3,0.6
14,Psidium guajava L.,4,2750,5,m,5.1,m,11.5,m,m,5.1,,#VALUE!
