Genus,Species,Family,detail,Code,FG,Life Form,New name,Authority
Lithraea,molleoides,Anacardiaceae,,LIMO,F,tree,Lithraea molleoides,(Vell.) Engl.
Tapirira,guianensis,Anacardiaceae,,TAGU,G,tree,Tapirira guianensis,Aubl.
Annona,cacans,Annonaceae,,ANCA,F,tree,Annona cacans,Warm.
Annona,coriacea,Annonaceae,,ANCO,S,tree,Annona coriacea,Mart.
Annona,crassiflora,Annonaceae,,ANCR,S,tree,Annona crassiflora,Mart.
Annona,dioica,Annonaceae,,ANDI,S,shrub,Annona dioica,A. St.-Hil.
Annona,nutans,Annonaceae,,ANNU,S,shrub,Annona nutans,(R.E.Fr.) R.E.Fr.
Duguetia,furfuracea,Annonaceae,,DUFU,S,shrub,Duguetia furfuracea,(A.St.-Hil.) Saff.
Guatteria,nigrescens,Annonaceae,,GUNI,F,tree,Guatteria nigrescens,Mart.
Rollinia,sylvatica,Annonaceae,,ROSY,F,tree,Rollinia sylvatica,
Xylopia,aromatica,Annonaceae,,XYAR,G,tree,Xylopia aromatica,
Aspidosperma,tomentosum,Apocynaceae,,ASTO,S,tree,Aspidosperma tomentosum,Mart. & Zucc.
Hancornia,speciosa,Apocynaceae,,HASP,S,tree,Hancornia speciosa,
Tabernaemontana,catharinensis,Apocynaceae,,TACA,G,tree,Tabernaemontana catharinensis,A.DC.
Dendropanax,cuneatus,Araliaceae,,DECU,F,tree,Dendropanax cuneatus,
Schefflera,vinosa,Araliaceae,,SCVI,S,treelet,Schefflera vinosa,(Cham. & Schltdl.) Frodin & Fiasch
Baccharis,dracunculifolia,Asteraceae,,BADR,G,treelet,Baccharis dracunculifolia,DC.
Chromolaena,laevigata,Asteraceae,,CHLA,G,shrub,Chromolaena laevigata,
Chromolaena,maximilianii,Asteraceae,,CHMA2,G,shrub,Chromolaena maximilianii,
Chromolaena,oxylepis,Asteraceae,,CHOX,G,shrub,Chromolaena oxylepis,
Chromolaena,squalida,Asteraceae,,CHSQ,G,shrub,Chromolaena squalida,
Moquiniastrum,barrosoae,Asteraceae,,GOBA,S,shrub,Moquiniastrum barrosoae,(Cabrera) G. Sancho
Moquiniastrum,polymorphum,Asteraceae,,GOPO,G,tree,Moquiniastrum polymorphum,(Less.) G. Sancho
Moquiniastrum,pulchrum,Asteraceae,,GOPU,S,shrub,Moquiniastrum pulchrum, (Cabrera) G.Sancho
Lepidaploa,chamissonis,Asteraceae,,LECH,S,shrub,Lepidaploa chamissonis,
Lessingianthus,bardanoides,Asteraceae,,LEBA,S,shrub,Lessingianthus bardanoides,
Piptocarpha,axillaris,Asteraceae,,PIAX,F,tree,Piptocarpha axillaris, (Less.) Baker
Piptocarpha,rotundifolia,Asteraceae,,PIRO,S,treelet,Piptocarpha rotundifolia,(Less.) Baker
Vernonanthura,phosphorica,Asteraceae,,VEPH,G,shrub,Vernonanthura phosphorica,
Vernonia,sp1.,Asteraceae,,VERNO1,S,shrub,Vernonia sp1.,
Vernonia,sp2.,Asteraceae,,VERNO2,G,shrub,Vernonia sp2.,
Adenocalymma,axillare,Bignoniaceae,,ADAX,S,shrub,Adenocalymma axillare,
Cybistax,antisyphilitica,Bignoniaceae,,CYAN,S,tree,Cybistax antisyphilitica,
Fridericia,platyphylla,Bignoniaceae,,FRPL,S,shrub,Fridericia platyphylla,
Jacaranda,caroba,Bignoniaceae,,JACA,S,shrub,Jacaranda caroba,(Vell.) DC.
Jacaranda,micrantha,Bignoniaceae,,JAMI,F,tree,Jacaranda micrantha,
Jacaranda,oxyphylla,Bignoniaceae,,JAOX,S,shrub,Jacaranda oxyphylla,
Jacaranda,rufa,Bignoniaceae,,JARU,S,shrub,Jacaranda rufa,
Jacaranda,sp1,Bignoniaceae,,JACAR,S,shrub,Jacaranda sp2,
Tabebuia,ochracea,Bignoniaceae,,TAOC,S,tree,Handroanthus ochraceus,(Cham.) Mattos
Zeyheria,montana,Bignoniaceae,,ZEMO,S,shrub,Zeyheria montana,Mart.
Zeyheria,tuberculosa,Bignoniaceae,,ZETU,G,tree,Zeyheria tuberculosa,(Vell.) Bureau ex Verl.
Tabebuia,aurea,Bignoniaceae,,TAAU,S,tree,Tabebuia aurea,(Silva Manso) Benth. & Hook.f. ex S.Moore
Cordia,sellowiana,Boraginaceae,,COSE,F,tree,Cordia sellowiana,
Cordia,trichotoma,Boraginaceae,,COTR,F,tree,Cordia trichotoma,
Protium,heptaphyllum,Burseraceae,,PRHE,G,tree,Protium heptaphyllum,(Aubl.) Marchand
Kielmeyera,coriacea,Calophyllaceae,,KICO,S,tree,Kielmeyera coriacea,Mart. & Zucc.
Caryocar,brasiliense,Caryocaraceae,,CABR,S,tree,Caryocar brasiliense,Cambess.
Maytenus,robusta,Celastraceae,,MARO,G,tree,Maytenus robusta,
Plenckia,populnea,Celastraceae,,PLPO,S,tree,Plenckia populnea,Reissek
Terminalia,glabrescens,Combretaceae,,TEGL,G,tree,Terminalia glabrescens,Mart.
Connarus,suberosus,Connaraceae,,COSU,S,treelet,Connarus suberosus,Planch.
Dasyphyllum,sp1,Crassulaceae,,DASYP,F,tree,Dasyphyllum sp2,
Davilla,elliptica,Dilleniaceae,,DAEL,S,shrub,Davilla elliptica,A.St.-Hil.
Diospyros,burchelli,Ebenaceae,,DIBU,S,tree,Diospyros hispida,A. DC.
Erythroxylum,cuneifolium,Erythroxylaceae,,ERCU,S,shrub,Erythroxylum cuneifolium,(Mart.) O.E.Schulz
Erythroxylum,deciduum,Erythroxylaceae,,ERDE,G,tree,Erythroxylum deciduum,A.St.-Hil.
Erythroxylum,pelleterianum,Erythroxylaceae,,ERPE,G,treelet,Erythroxylum pelleterianum,
Erythroxylum,suberosum,Erythroxylaceae,,ERSU,S,treelet,Erythroxylum suberosum,A.St.-Hil.
Erythroxylum,tomentosum,Erythroxylaceae,,ERTO,S,treelet,Erythroxylum tomentosum,
Maprounea,guianensis,Euphorbiaceae,,MAGU,G,tree,Maprounea guianensis,Aubl.
Actinostemon,schomburgkii,Euphorbiaceae,,ACSC,F,treelet,Actinostemon schomburgkii,
Croton,floribundus,Euphorbiaceae,,CRFL,F,tree,Croton floribundus,Spreng.
Anadenanthera,peregrina,Fabaceae,,ANFA,G,tree,Anadenanthera peregrina var. falcata,(Benth.) Altschul
Bauhinia,longifolia,Fabaceae,,BALO,F,tree,Bauhinia longifolia,(Bong.) Steud.
Bauhinia,rufa,Fabaceae,,BARU,S,shrub,Bauhinia rufa,(Bong.) Steud.
Bowdichia,virgilioides,Fabaceae,,BOVI,S,tree,Bowdichia virgilioides,Kunth
Chamaecrista,cathartica,Fabaceae,,CHCA,S,shrub,Chamaecrista cathartica,
Dalbergia,miscolobium,Fabaceae,,DAMI,S,tree,Dalbergia miscolobium,
