Genus,Species,Family,detail,Code,FG,Life Form,New name,Authority
Dimorphandra,mollis,Fabaceae,,DIMO,S,tree,Dimorphandra mollis,Benth.
Hymenaea,stigonocarpa,Fabaceae,,HYST,S,tree,Hymenaea stigonocarpa,
Leptolobium,elegans,Fabaceae,,LEEL,S,tree,Leptolobium elegans,Vogel
Machaerium,acutifolium,Fabaceae,,MAAC,S,tree,Machaerium acutifolium,Vogel
Machaerium,brasiliense,Fabaceae,,MABR,G,tree,Machaerium brasiliense,Vogel
Machaerium,stipitatum,Fabaceae,,MAST,F,tree,Machaerium stipitatum,
Mimosa,dolens,Fabaceae,,MIDO,S,shrub,Mimosa dolens,
Parapiptadenia,rigida,Fabaceae,,PARI,F,tree,Parapiptadenia rigida,
Piptadenia,gonoacantha,Fabaceae,,PIGO,G,tree,Piptadenia gonoacantha,
Plathymenia,reticulata,Fabaceae,,PLRE,S,tree,Plathymenia reticulata,Benth.
Platypodium,elegans,Fabaceae,,PLEL,F,tree,Platypodium elegans,Vogel
Senna,pendula,Fabaceae,,SEPE,F,treelet,Senna pendula,
Senna,rugosa,Fabaceae,,SERU,S,shrub,Senna rugosa,
Stryphnodendron,adstringens,Fabaceae,,STAD,S,tree,Stryphnodendron adstringens,(Mart.) Coville
Stryphnodendron,rotundifolium,Fabaceae,,STRO,S,tree,Stryphnodendron rotundifolium,Mart.
Sweetia,fruticosa,Fabaceae,,SWFR,F,tree,Sweetia fruticosa,
Copaifera,langsdorffii,Fabaceae.,,COLA,G,tree,Copaifera langsdorffii,Desf.
Lacistema,hasslerianum,Lacistemataceae,,LAHA,G,treelet,Lacistema hasslerianum,Chodat
Aegiphila,verticillata,Lamiaceae,,AEVE,S,tree,Aegiphila verticillata,Vell.
Vitex,megapotamica,Lamiaceae,,VIME,F,tree,Vitex megapotamica,
Aegiphila,sellowiana,Lamiaceae,,AESE,F,tree,Aegiphila sellowiana,Cham.
Nectandra,cuspidata,Lauraceae,,NECU,F,tree,Nectandra cuspidata,Nees
Nectandra,lanceolata,Lauraceae,,NELA,F,tree,Nectandra lanceolata,Nees
Nectandra,oppositifolia,Lauraceae,,NEOP,F,tree,Nectandra oppositifolia,Nees
Ocotea,corymbosa,Lauraceae,,OCCO,G,tree,Ocotea corymbosa,(Meisn.) Mez
Ocotea,diospyrifolia,Lauraceae,,OCDI,F,tree,Ocotea diospyrifolia,
Ocotea,minarum,Lauraceae,,OCMI,G,tree,Ocotea minarum,(Nees & Mart.) Mez
Ocotea,puberula,Lauraceae,,OCPU2,F,tree,Ocotea puberula,
Ocotea,pulchella,Lauraceae,,OCPU,G,tree,Ocotea pulchella,(Nees & Mart.) Mez
Ocotea,sp1.,Lauraceae,,OCOTE,F,tree,Ocotea sp1.,
Ocotea,velloziana,Lauraceae,,OCVE,F,tree,Ocotea velloziana,(Meisn.) Mez
Ocotea,velutina,Lauraceae,,OCVE2,F,tree,Ocotea velutina,
Persea,willdenovii,Lauraceae,,PEWI,F,tree,Persea willdenovii,Kosterm.
Cariniana,estrellensis,Lecythidaceae,,CAES,F,tree,Cariniana estrellensis,
Lafoensia,vandelliana,Lythraceae,,LAVA,S,tree,Lafoensia vandelliana,
Heteropterys,sp1,Malphigiaceae,,HETER,S,shrub,Heteropterys sp2,
Heteropterys,byrsonimifolia,Malphigiaceae,,HEBY,S,shrub,Heteropterys byrsonimifolia,
Banisteriopsis,campestris,Malpighiaceae,,BACA,S,shrub,Banisteriopsis campestris,
Byrsonima,basiloba,Malpighiaceae,,BYBA,S,tree,Byrsonima basiloba,A.Juss.
Byrsonima,coccolobifolia,Malpighiaceae,,BYCO,S,tree,Byrsonima coccolobifolia,Kunth
Byrsonima,intermedia,Malpighiaceae,,BYIN,S,shrub,Byrsonima intermedia,A.Juss.
Byrsonima,laxiflora,Malpighiaceae,,BYLA,G,tree,Byrsonima laxiflora,Griseb.
Eriotheca,gracilipes,Malvaceae,,ERGR,S,tree,Eriotheca gracilipes,(K.Schum.) A.Robyns
Helicteres,brevispira,Malvaceae,,HEBR,G,treelet,Helicteres brevispira,
Luehea,candicans,Malvaceae,,LUCA,G,tree,Luehea candicans,Mart.
Luehea,grandiflora,Malvaceae,,LUGR,G,tree,Luehea grandiflora,Mart.
Leandra,melastomoides,Melastomataceae,,LEME,G,treelet,Leandra melastomoides,
Miconia,albicans,Melastomataceae,,MIAL,S,treelet,Miconia albicans,(Sw.) Steud
Miconia,fallax,Melastomataceae,,MIFA,S,shrub,Miconia fallax,DC.
Miconia,ligustroides,Melastomataceae,,MILI,S,treelet,Miconia ligustroides,(DC.) Naudin
Miconia,paucidens,Melastomataceae,,MIPA,G,shrub,Miconia paucidens,
Miconia,sellowiana,Melastomataceae,,MISE,G,tree,Miconia sellowiana,Naudin
Miconia,stenostachya,Melastomataceae,,MIST,S,shrub,Miconia stenostachya,
Tibouchina,stenocarpa,Melastomataceae,,TIST,S,tree,Tibouchina stenocarpa,
Cedrela,fissilis,Meliaceae,,CEFI,F,tree,Cedrela fissilis,
Trichilia,pallida,Meliaceae,,TRPA,F,tree,Trichilia pallida,
Mollinedia,widgrenii,Monimiaceae,,MOWI,F,tree,Mollinedia widgrenii,
Brosimum,gaudichaudii,Moraceae,,BRGA,S,tree,Brosimum gaudichaudii,
Ficus,sp1,Moraceae,,FICUS,F,tree,Ficus sp2,
Ficus,citrifolia,Moraceae,,FICI,G,tree,Ficus citrifolia,
Ficus,gomelleira,Moraceae,,FIGO,G,tree,Ficus gomelleira,
Blepharocalyx,salicifolius,Myrtaceae,,BLSA,G,tree,Blepharocalyx salicifolius,
Calyptranthes,concinna,Myrtaceae,,CACO,F,tree,Calyptranthes concinna,
Calyptranthes,lucida,Myrtaceae,,CALU,F,tree,Calyptranthes lucida,Mart. ex DC.
Campomanesia,adamantium,Myrtaceae,,CAAD,S,shrub,Campomanesia adamantium,(Cambess.) O.Berg
Campomanesia,guaviroba,Myrtaceae,,CAGU2,F,tree,Campomanesia guaviroba,
Campomanesia,guazumifolia,Myrtaceae,,CAGU,F,tree,Campomanesia guazumifolia,(Cambess.) O.Berg
Campomanesia,xanthocarpa,Myrtaceae,,CAXA,F,tree,Campomanesia xanthocarpa,
Eugenia,aurata,Myrtaceae,,EUAU,S,treelet,Eugenia aurata,
Eugenia,bimarginata,Myrtaceae,,EUBI,S,shrub,Eugenia bimarginata,
Eugenia,florida,Myrtaceae,,EUFL,F,tree,Eugenia florida,
Eugenia,livida,Myrtaceae,,EULI,S,treelet,Eugenia livida,
Eugenia,myrcianthes,Myrtaceae,,EUMY,G,tree,Eugenia myrcianthes,Nied.
Eugenia,punicifolia,Myrtaceae,,EUPU,S,treelet,Eugenia punicifolia,
Eugenia,pyriformis,Myrtaceae,,EUPY,S,treelet,Eugenia pyriformis,
Eugenia,sp5,Myrtaceae,,EUSP2,F,tree,Eugenia sp6,
Eugenia,speciosa,Myrtaceae,,EUSP,F,tree,Eugenia speciosa,
Gomidesia,sp1,Myrtaceae,,GOMID,G,tree,Gomidesia sp2,
Gomidesia,elliptica,Myrtaceae,,GOEL,F,tree,Gomidesia elliptica,
Myrcia,splendens,Myrtaceae,,MYFA,G,tree,Myrcia splendens,(Sw.) DC.
Myrcia,lasiantha,Myrtaceae,,MYLA,G,tree,Myrcia lasiantha,
Myrcia,lingua,Myrtaceae,,MYLI,S,tree,Myrcia guianensis,(Aubl.) DC.
Myrcia,multiflora,Myrtaceae,,MYMU,G,tree,Myrcia multiflora,(Lam.) DC.
Myrcia,tomentosa,Myrtaceae,,MYTO,S,tree,Myrcia tomentosa,(Aubl.) DC.
Myrcia,venulosa,Myrtaceae,,MYVE,S,tree,Myrcia venulosa,DC.
Myrciaria,floribunda,Myrtaceae,,MYFL,G,tree,Myrciaria floribunda,
Gen1,sp1,Myrtaceae,,MYRTA,,,Gen1 sp2,
Psidium,australe,Myrtaceae,,PSAU,S,shrub,Psidium australe,
Psidium,grandifolium,Myrtaceae,,PSGR,S,shrub,Psidium grandifolium,
Psidium,guajava,Myrtaceae,,PSGU,exo,tree,Psidium guajava,
Psidium,laruotteanum,Myrtaceae,,PSLA,S,treelet,Psidium laruotteanum,
Psidium,salutare,Myrtaceae,var. pohlianum,PSSA,S,treelet,Psidium salutare,
Guapira,graciliflora,Nyctaginaceae,,GUGR,F,tree,Guapira graciliflora,
Guapira,hirsuta,Nyctaginaceae,,GUHI,F,tree,Guapira hirsuta,
Guapira,opposita,Nyctaginaceae,,GUOP,G,tree,Guapira opposita,
Ouratea,spectabilis,Ochnaceae,,OUSP,S,tree,Ouratea spectabilis,(Mart. ex Engl.) Engl.
Pera,obovata,Peraceae,,PEOB,G,tree,Pera glabrata ,(Schott) Poepp. ex Baill.
Pinus,elliottii,Pinaceae,,PIEL,exo,tree,Pinus elliottii,
Piper,mollicomum,Piperaceae,,PIMO,F,shrub,Piper mollicomum,
Myrsine,coriacea,Primulaceae,subsp coriacea,RAFE,G,tree,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.
Myrsine,guianensis,Primulaceae,,RAGU,S,tree,Myrsine guianensis,(Aubl.) Kuntze
Myrsine,umbellata,Primulaceae,,RAUM,G,tree,Myrsine umbellata,Mart.
Myrsine,lancifolia,Primulaceae,,RALA,F,tree,Myrsine  lancifolia,Mart.
Roupala,montana,Proteaceae,,ROMO,S,tree,Roupala montana,Aubl.
Rhamnidium,elaeocarpum,Rhamnaceae,,RHEL,F,tree,Rhamnidium elaeocarpum,
Prunus,myrtifolia,Rosaceae,,PRMY,G,tree,Prunus myrtifolia,(L.) Urb.
Alibertia,edulis,Rubiaceae,,ALED,F,Treelet,Alibertia edulis,(Rich.) A.Rich. ex DC.
Amaioua,intermedia,Rubiaceae,,AMIN,G,tree,Amaioua intermedia,Mart. ex Schult. & Schult.f.
Chiococca,alba,Rubiaceae,,CHAL,F,shrub,Chiococca alba,
Chomelia,obtusa,Rubiaceae,,CHOB,F,treelet,Chomelia obtusa,
Coutarea,hexandra,Rubiaceae,,COHE,G,tree,Coutarea hexandra,
Faramea,montevidensis,Rubiaceae,,FAMO,G,tree,Faramea montevidensis,(Cham. & Schltdl.) DC.
Ixora,venulosa,Rubiaceae,,IXVE,F,tree,Ixora venulosa,
Palicourea,marcgravii,Rubiaceae,,PAMA,G,shrub,Palicourea marcgravii,
Psychotria,carthagenensis,Rubiaceae,,PSCA,F,shrub,Psychotria carthagenensis,
Psychotria,vellosiana,Rubiaceae,,PSVE,G,treelet,Psychotria vellosiana,
Randia,calycina,Rubiaceae,,RACA,F,treelet,Randia calycina,
Tocoyena,formosa,Rubiaceae,,TOFO,S,shrub,Tocoyena formosa,(Cham. & Schltdl.) K.Schum.
Guettarda,viburnoides,Rubiaceae,,GUVI,F,tree,Guettarda viburnoides,
Citrus,limon,Rutaceae,,CILI,F,tree,Citrus limon,
Esenbeckia,febrifuga,Rutaceae,,ESFE,F,treelet,Esenbeckia febrifuga,
Helietta,apiculata,Rutaceae,,HEAP,F,tree,Helietta apiculata,Benth.
Zanthoxylum,rhoifolium,Rutaceae,,ZARH,G,tree,Zanthoxylum rhoifolium,Lam.
Casearia,decandra,Salicaceae,,CADE,F,tree,Casearia decandra,
Casearia,gossypiosperma,Salicaceae,,CAGO,F,tree,Casearia gossypiosperma,
Casearia,lasiophylla,Salicaceae,,CALA,F,tree,Casearia lasiophylla,
Casearia,sylvestris,Salicaceae,,CASY,F,tree,Casearia sylvestris,Sw.
Cupania,tenuivalvis,Sapindaceae,,CUTE,G,treelet,Cupania tenuivalvis,Radlk.
Cupania,vernalis,Sapindaceae,,CUVE,F,tree,Cupania vernalis,Cambess.
Matayba,elaeagnoides,Sapindaceae,,MAEL,G,tree,Matayba elaeagnoides,Radlk.
Chrysophyllum,marginatum,Sapotaceae,,CHMA,G,tree,Chrysophyllum marginatum,(Hook. & Arn.) Radlk.
Pouteria,ramiflora,Sapotaceae,,PORA,G,tree,Pouteria ramiflora,(Mart.) Radlk.
Pouteria,sp1.,Sapotaceae,,POUTE,S,tree,Pouteria sp1.,
Pouteria,torta,Sapotaceae,,POTO,S,tree,Pouteria torta,(Mart.) Radlk.
Siparuna,guianensis,Siparunaceae,,SIGU,G,tree,Siparuna guianensis,Aubl.
Cestrum,mariquitense,Solanaceae,,CESE,F,shrub,Cestrum mariquitense,Kunth
Solanum,lycocarpum,Solanaceae,,SOLY,S,shrub,Solanum lycocarpum,A.St.-Hil.
Styrax,camporum,Styracaceae,,STCA,S,tree,Styrax camporum,Pohl
Styrax,ferrugineus,Styracaceae,,STFE,S,tree,Styrax ferrugineus,Nees & Mart.
Styrax,pohlii,Styracaceae,,STPO,F,tree,Styrax pohlii,A. DC.
Symplocos,mosenii,Symplocaceae,,SYRE,G,tree,Symplocos mosenii,Casar.
Symplocos,pubescens,Symplocaceae,,SYPU,S,treelet,Symplocos pubescens,Klotzsch ex Benth.
Daphnopsis,fasciculata,Thymelaeaceae,,DAFA,G,tree,Daphnopsis fasciculata,(Meisn.) Nevling
Daphnopsis,racemosa,Thymelaeaceae,,DARA,G,tree,Daphnopsis racemosa,Griseb.
Cecropia,pachystachya,Urticaceae,,CEPA,G,tree,Cecropia pachystachya,
Lantana,camara,Verbenaceae,,LACA,G,shrub,Lantana camara,
Lippia,salviifolia,Verbenaceae,,LISA,S,shrub,Lippia origanoides,Cham.
Qualea,cordata,Vochysiaceae,,QUCO,S,tree,Qualea cordata,
Qualea,grandiflora,Vochysiaceae,,QUGR,S,tree,Qualea grandiflora,
Qualea,multiflora,Vochysiaceae,,QUMU,S,tree,Qualea multiflora,
Vochysia,tucanorum,Vochysiaceae,,VOTU,G,tree,Vochysia tucanorum,
