Genus,Species,Family,Old.name,Code,FG,Life Form,New.name,NewCode,Authority,species.relative,genus.relative
Senna,rugosa,Fabaceae,Senna rugosa,SERU,S,shrub,Senna rugosa,SERU,,,
Stryphnodendron,adstringens,Fabaceae,Stryphnodendron adstringens,STAD,S,tree,Stryphnodendron adstringens,STAD,(Mart.) Coville,,
Stryphnodendron,rotundifolium,Fabaceae,Stryphnodendron rotundifolium,STRO,S,tree,Stryphnodendron rotundifolium,STRO,Mart.,,
Sweetia,fruticosa,Fabaceae,Sweetia fruticosa,SWFR,F,tree,Sweetia fruticosa,SWFR,,,
Copaifera,langsdorffii,Fabaceae,Copaifera langsdorffii,COLA,G,tree,Copaifera langsdorffii,COLA,Desf.,,
Lacistema,hasslerianum,Lacistemataceae,Lacistema hasslerianum,LAHA,G,treelet,Lacistema hasslerianum,LAHA,Chodat,,
Aegiphila,verticillata,Lamiaceae,Aegiphila verticillata,AEVE,S,tree,Aegiphila verticillata,AEVE,Vell.,,
Vitex,megapotamica,Lamiaceae,Vitex megapotamica,VIME,F,tree,Vitex megapotamica,VIME,,,
Aegiphila,sellowiana,Lamiaceae,Aegiphila sellowiana,AESE,F,tree,Aegiphila integrifolia,AEIN,(Jacq.) Moldenke,,
Nectandra,cuspidata,Lauraceae,Nectandra cuspidata,NECU,F,tree,Nectandra cuspidata,NECU,Nees,,
Nectandra,lanceolata,Lauraceae,Nectandra lanceolata,NELA,F,tree,Nectandra lanceolata,NELA,Nees,,
Nectandra,oppositifolia,Lauraceae,Nectandra oppositifolia,NEOP,F,tree,Nectandra oppositifolia,NEOP,Nees,,
Ocotea,corymbosa,Lauraceae,Ocotea corymbosa,OCCO,G,tree,Ocotea corymbosa,OCCO,(Meisn.) Mez,,
Ocotea,diospyrifolia,Lauraceae,Ocotea diospyrifolia,OCDI,F,tree,Ocotea diospyrifolia,OCDI,,,
Ocotea,minarum,Lauraceae,Ocotea minarum,OCMI,G,tree,Ocotea minarum,OCMI,(Nees & Mart.) Mez,,
Ocotea,puberula,Lauraceae,Ocotea puberula,OCPU2,F,tree,Ocotea puberula,OCPU2,,,
Ocotea,pulchella,Lauraceae,Ocotea pulchella,OCPU,G,tree,Ocotea pulchella,OCPU,(Nees & Mart.) Mez,,
Ocotea,sp1.,Lauraceae,Ocotea sp1.,OCOTE,F,tree,Ocotea sp1.,OCOTE,,,
Ocotea,velloziana,Lauraceae,Ocotea velloziana,OCVE,F,tree,Ocotea velloziana,OCVE,(Meisn.) Mez,,
Ocotea,velutina,Lauraceae,Ocotea velutina,OCVE2,F,tree,Ocotea velutina,OCVE2,,,
Persea,willdenovii,Lauraceae,Persea willdenovii,PEWI,F,tree,Persea willdenovii,PEWI,Kosterm.,,
Cariniana,estrellensis,Lecythidaceae,Cariniana estrellensis,CAES,F,tree,Cariniana estrellensis,CAES,,,
Lafoensia,vandelliana,Lythraceae,Lafoensia vandelliana,LAVA,S,tree,Lafoensia vandelliana,LAVA,,,
Heteropterys,sp1,Malphigiaceae,Heteropterys sp1,HETER,S,shrub,Heteropterys sp2,HETER,,,
Heteropterys,byrsonimifolia,Malphigiaceae,Heteropterys byrsonimifolia,HEBY,S,shrub,Heteropterys byrsonimifolia,HEBY,,,
Banisteriopsis,campestris,Malpighiaceae,Banisteriopsis campestris,BACA,S,shrub,Banisteriopsis campestris,BACA,,,
Byrsonima,basiloba,Malpighiaceae,Byrsonima basiloba,BYBA,S,tree,Byrsonima basiloba,BYBA,A.Juss.,,
Byrsonima,coccolobifolia,Malpighiaceae,Byrsonima coccolobifolia,BYCO,S,tree,Byrsonima coccolobifolia,BYCO,Kunth,,
Byrsonima,intermedia,Malpighiaceae,Byrsonima intermedia,BYIN,S,shrub,Byrsonima intermedia,BYIN,A.Juss.,,
Byrsonima,laxiflora,Malpighiaceae,Byrsonima laxiflora,BYLA,G,tree,Byrsonima laxiflora,BYLA,Griseb.,,
Eriotheca,gracilipes,Malvaceae,Eriotheca gracilipes,ERGR,S,tree,Eriotheca gracilipes,ERGR,(K.Schum.) A.Robyns,,
Helicteres,brevispira,Malvaceae,Helicteres brevispira,HEBR,G,treelet,Helicteres brevispira,HEBR,,,
Luehea,candicans,Malvaceae,Luehea candicans,LUCA,G,tree,Luehea candicans,LUCA,Mart.,,
Luehea,grandiflora,Malvaceae,Luehea grandiflora,LUGR,G,tree,Luehea grandiflora,LUGR,Mart.,,
Leandra,melastomoides,Melastomataceae,Leandra melastomoides,LEME,G,treelet,Leandra melastomoides,LEME,,,
Miconia,albicans,Melastomataceae,Miconia albicans,MIAL,S,treelet,Miconia albicans,MIAL,(Sw.) Steud,,
Miconia,fallax,Melastomataceae,Miconia fallax,MIFA,S,shrub,Miconia fallax,MIFA,DC.,,
Miconia,ligustroides,Melastomataceae,Miconia ligustroides,MILI,S,treelet,Miconia ligustroides,MILI,(DC.) Naudin,,
Miconia,paucidens,Melastomataceae,Miconia paucidens,MIPA,G,shrub,Miconia paucidens,MIPA,,,
Miconia,sellowiana,Melastomataceae,Miconia sellowiana,MISE,G,tree,Miconia sellowiana,MISE,Naudin,,
Miconia,stenostachya,Melastomataceae,Miconia stenostachya,MIST,S,shrub,Miconia stenostachya,MIST,,,
Tibouchina,stenocarpa,Melastomataceae,Tibouchina stenocarpa,TIST,S,tree,Pleroma stenocarpum,PLST,(Schrank et Mart. ex DC.) Triana,,
Cedrela,fissilis,Meliaceae,Cedrela fissilis,CEFI,F,tree,Cedrela fissilis,CEFI,,,
Trichilia,pallida,Meliaceae,Trichilia pallida,TRPA,F,tree,Trichilia pallida,TRPA,,,
Mollinedia,widgrenii,Monimiaceae,Mollinedia widgrenii,MOWI,F,tree,Mollinedia widgrenii,MOWI,,,
Brosimum,gaudichaudii,Moraceae,Brosimum gaudichaudii,BRGA,S,tree,Brosimum gaudichaudii,BRGA,,,
Ficus,sp1,Moraceae,Ficus sp1,FICUS,F,tree,Ficus sp2,FICUS,,,
Ficus,citrifolia,Moraceae,Ficus citrifolia,FICI,G,tree,Ficus citrifolia,FICI,,,
Ficus,gomelleira,Moraceae,Ficus gomelleira,FIGO,G,tree,Ficus gomelleira,FIGO,,,
Blepharocalyx,salicifolius,Myrtaceae,Blepharocalyx salicifolius,BLSA,G,tree,Blepharocalyx salicifolius,BLSA,,,
Calyptranthes,concinna,Myrtaceae,Calyptranthes concinna,CACO,F,tree,Calyptranthes concinna,CACO,,,
Calyptranthes,lucida,Myrtaceae,Calyptranthes lucida,CALU,F,tree,Calyptranthes lucida,CALU,Mart. ex DC.,,
Campomanesia,adamantium,Myrtaceae,Campomanesia adamantium,CAAD,S,shrub,Campomanesia adamantium,CAAD,(Cambess.) O.Berg,,
Campomanesia,guaviroba,Myrtaceae,Campomanesia guaviroba,CAGU2,F,tree,Campomanesia guaviroba,CAGU2,,,
Campomanesia,guazumifolia,Myrtaceae,Campomanesia guazumifolia,CAGU,F,tree,Campomanesia guazumifolia,CAGU,(Cambess.) O.Berg,,
Campomanesia,xanthocarpa,Myrtaceae,Campomanesia xanthocarpa,CAXA,F,tree,Campomanesia xanthocarpa,CAXA,,,
Eugenia,aurata,Myrtaceae,Eugenia aurata,EUAU,S,treelet,Eugenia aurata,EUAU,,,
Eugenia,bimarginata,Myrtaceae,Eugenia bimarginata,EUBI,S,shrub,Eugenia bimarginata,EUBI,,,
Eugenia,florida,Myrtaceae,Eugenia florida,EUFL,F,tree,Eugenia florida,EUFL,,,
Eugenia,livida,Myrtaceae,Eugenia livida,EULI,S,treelet,Eugenia livida,EULI,,,
Eugenia,myrcianthes,Myrtaceae,Eugenia myrcianthes,EUMY,G,tree,Hexachlamys edulis,EUMY,(O.Berg) Kausel & D.Legrand,,
Eugenia,punicifolia,Myrtaceae,Eugenia punicifolia,EUPU,S,treelet,Eugenia punicifolia,EUPU,(Kunth) DC.,,
Eugenia,pyriformis,Myrtaceae,Eugenia pyriformis,EUPY,S,treelet,Eugenia pyriformis,EUPY,,,
Eugenia,sp5,Myrtaceae,Eugenia sp5,EUSP2,F,tree,Eugenia sp6,EUSP2,,,
Eugenia,speciosa,Myrtaceae,Eugenia speciosa,EUSP,F,tree,Eugenia speciosa,EUSP,,,
Gomidesia,sp1,Myrtaceae,Gomidesia sp1,GOMID,G,tree,Gomidesia sp2,GOMID,,,
Gomidesia,elliptica,Myrtaceae,Gomidesia elliptica,GOEL,F,tree,Gomidesia elliptica,GOEL,,,
Myrcia,splendens,Myrtaceae,Myrcia splendens,MYFA,G,tree,Myrcia splendens,MYRCSPL,(Sw.) DC.,,
Myrcia,lasiantha,Myrtaceae,Myrcia lasiantha,MYLA,G,tree,Myrcia lasiantha,MYRCLAS,,,
Myrcia,lingua,Myrtaceae,Myrcia lingua,MYLI,S,tree,Myrcia guianensis,MYRCGUI,(Aubl.) DC.,,
Myrcia,multiflora,Myrtaceae,Myrcia multiflora,MYMU,G,tree,Myrcia multiflora,MYRCMUL,(Lam.) DC.,,
Myrcia,tomentosa,Myrtaceae,Myrcia tomentosa,MYTO,S,tree,Myrcia tomentosa,MYRCTOM,(Aubl.) DC.,,
Myrcia,venulosa,Myrtaceae,Myrcia venulosa,MYVE,S,tree,Myrcia venulosa,MYRCVEN,DC.,,
Myrciaria,floribunda,Myrtaceae,Myrciaria floribunda,MYFL,G,tree,Myrciaria floribunda,MYRCFLO,,,
Gen1,sp1,Myrtaceae,Gen1 sp1,MYRTA,,,Gen1 sp2,MYRTA,,,
Psidium,australe,Myrtaceae,Psidium australe,PSAU,S,shrub,Psidium australe,PSAU,,,
Psidium,grandifolium,Myrtaceae,Psidium grandifolium,PSGR,S,shrub,Psidium grandifolium,PSGR,,,
Psidium,guajava,Myrtaceae,Psidium guajava,PSGU,exo,tree,Psidium guajava,PSGU,,,
Psidium,laruotteanum,Myrtaceae,Psidium laruotteanum,PSLA,S,treelet,Psidium laruotteanum,PSLA,,,
Psidium,salutare,Myrtaceae,Psidium salutare,PSSA,S,treelet,Psidium salutare,PSSA,,,
Guapira,graciliflora,Nyctaginaceae,Guapira graciliflora,GUGR,F,tree,Guapira graciliflora,GUGR,,,
Guapira,hirsuta,Nyctaginaceae,Guapira hirsuta,GUHI,F,tree,Guapira hirsuta,GUHI,,,
Guapira,opposita,Nyctaginaceae,Guapira opposita,GUOP,G,tree,Guapira opposita,GUOP,,,
Ouratea,spectabilis,Ochnaceae,Ouratea spectabilis,OUSP,S,tree,Ouratea spectabilis,OUSP,(Mart. ex Engl.) Engl.,,
Pera,obovata,Peraceae,Pera obovata,PEOB,G,tree,Pera glabrata,PEGL,(Schott) Poepp. ex Baill.,,
Pinus,elliottii,Pinaceae,Pinus elliottii,PIEL,exo,tree,Pinus elliottii,PIEL,,,
Piper,mollicomum,Piperaceae,Piper mollicomum,PIMO,F,shrub,Piper mollicomum,PIMO,,,
Rapanea,ferruginea,Primulaceae,Rapanea ferruginea,RAFE,G,tree,Myrsine coriacea,MYRSCOR,(Sw.) R.Br. ex Roem. & Schult.,,
Rapanea,guianensis,Primulaceae,Rapanea guianensis,RAGU,S,tree,Myrsine guianensis,MYRSGUI,(Aubl.) Kuntze,,
Rapanea,umbellata,Primulaceae,Rapanea umbellata,RAUM,G,tree,Myrsine umbellata,MYRSUMB,Mart.,,
Rapanea,lancifolia,Primulaceae,Rapanea lancifolia,RALA,F,tree,Myrsine lancifolia,MYRSLAN,Mart.,,
Roupala,montana,Proteaceae,Roupala montana,ROMO,S,tree,Roupala montana,ROMO,Aubl.,,
Rhamnidium,elaeocarpum,Rhamnaceae,Rhamnidium elaeocarpum,RHEL,F,tree,Rhamnidium elaeocarpum,RHEL,,,
Prunus,myrtifolia,Rosaceae,Prunus myrtifolia,PRMY,G,tree,Prunus myrtifolia,PRMY,(L.) Urb.,,
Alibertia,edulis,Rubiaceae,Alibertia edulis,ALED,F,Treelet,Alibertia edulis,ALED,(Rich.) A.Rich. ex DC.,,
Amaioua,intermedia,Rubiaceae,Amaioua intermedia,AMIN,G,tree,Amaioua intermedia,AMIN,Mart. ex Schult. & Schult.f.,,
Chiococca,alba,Rubiaceae,Chiococca alba,CHAL,F,shrub,Chiococca alba,CHAL,,,
Chomelia,obtusa,Rubiaceae,Chomelia obtusa,CHOB,F,treelet,Chomelia obtusa,CHOB,,,
Coutarea,hexandra,Rubiaceae,Coutarea hexandra,COHE,G,tree,Coutarea hexandra,COHE,,,
Faramea,montevidensis,Rubiaceae,Faramea montevidensis,FAMO,G,tree,Faramea montevidensis,FAMO,(Cham. & Schltdl.) DC.,,
Ixora,venulosa,Rubiaceae,Ixora venulosa,IXVE,F,tree,Ixora venulosa,IXVE,,,
Palicourea,marcgravii,Rubiaceae,Palicourea marcgravii,PAMA,G,shrub,Palicourea marcgravii,PAMA,,,
Psychotria,carthagenensis,Rubiaceae,Psychotria carthagenensis,PSCA,F,shrub,Psychotria carthagenensis,PSCA,,,
Psychotria,vellosiana,Rubiaceae,Psychotria vellosiana,PSVE,G,treelet,Psychotria vellosiana,PSVE,,,
Randia,calycina,Rubiaceae,Randia calycina,RACA,F,treelet,Randia calycina,RACA,,,
Tocoyena,formosa,Rubiaceae,Tocoyena formosa,TOFO,S,shrub,Tocoyena formosa,TOFO,(Cham. & Schltdl.) K.Schum.,,
Guettarda,viburnoides,Rubiaceae,Guettarda viburnoides,GUVI,F,tree,Guettarda viburnoides,GUVI,Cham. & Schltdl.,,
Citrus,limon,Rutaceae,Citrus limon,CILI,F,tree,Citrus limon,CILI,,,
Esenbeckia,febrifuga,Rutaceae,Esenbeckia febrifuga,ESFE,F,treelet,Esenbeckia febrifuga,ESFE,,,
Helietta,apiculata,Rutaceae,Helietta apiculata,HEAP,F,tree,Helietta apiculata,HEAP,Benth.,,
Zanthoxylum,rhoifolium,Rutaceae,Zanthoxylum rhoifolium,ZARH,G,tree,Zanthoxylum rhoifolium,ZARH,Lam.,,
Casearia,decandra,Salicaceae,Casearia decandra,CADE,F,tree,Casearia decandra,CADE,,,
Casearia,gossypiosperma,Salicaceae,Casearia gossypiosperma,CAGO,F,tree,Casearia gossypiosperma,CAGO,,,
Casearia,lasiophylla,Salicaceae,Casearia lasiophylla,CALA,F,tree,Casearia lasiophylla,CALA,,,
Casearia,sylvestris,Salicaceae,Casearia sylvestris,CASY,F,tree,Casearia sylvestris,CASY,Sw.,,
Cupania,tenuivalvis,Sapindaceae,Cupania tenuivalvis,CUTE,G,treelet,Cupania tenuivalvis,CUTE,Radlk.,,
Cupania,vernalis,Sapindaceae,Cupania vernalis,CUVE,F,tree,Cupania vernalis,CUVE,Cambess.,,
Matayba,elaeagnoides,Sapindaceae,Matayba elaeagnoides,MAEL,G,tree,Matayba elaeagnoides,MAEL,Radlk.,,
Chrysophyllum,marginatum,Sapotaceae,Chrysophyllum marginatum,CHMA,G,tree,Chrysophyllum marginatum,CHMA,(Hook. & Arn.) Radlk.,,
Pouteria,ramiflora,Sapotaceae,Pouteria ramiflora,PORA,G,tree,Pouteria ramiflora,PORA,(Mart.) Radlk.,,
Pouteria,sp1.,Sapotaceae,Pouteria sp1.,POUTE,S,tree,Pouteria sp1.,POUTE,,,
Pouteria,torta,Sapotaceae,Pouteria torta,POTO,S,tree,Pouteria torta,POTO,(Mart.) Radlk.,,
Siparuna,guianensis,Siparunaceae,Siparuna guianensis,SIGU,G,tree,Siparuna guianensis,SIGU,Aubl.,,
Cestrum,mariquitense,Solanaceae,Cestrum mariquitense,CESE,F,shrub,Cestrum mariquitense,CEMA,Kunth,,
Solanum,lycocarpum,Solanaceae,Solanum lycocarpum,SOLY,S,shrub,Solanum lycocarpum,SOLY,A.St.-Hil.,,
Styrax,camporum,Styracaceae,Styrax camporum,STCA,S,tree,Styrax camporum,STCA,Pohl,,
Styrax,ferrugineus,Styracaceae,Styrax ferrugineus,STFE,S,tree,Styrax ferrugineus,STFE,Nees & Mart.,,
Styrax,pohlii,Styracaceae,Styrax pohlii,STPO,F,tree,Styrax pohlii,STPO,A. DC.,,
Symplocos,mosenii,Symplocaceae,Symplocos mosenii,SYRE,G,tree,Symplocos revoluta,SYRE,Casar.,,
Symplocos,pubescens,Symplocaceae,Symplocos pubescens,SYPU,S,treelet,Symplocos pubescens,SYPU,Klotzsch ex Benth.,,
Daphnopsis,fasciculata,Thymelaeaceae,Daphnopsis fasciculata,DAFA,G,tree,Daphnopsis fasciculata,DAFA,(Meisn.) Nevling,,
Daphnopsis,racemosa,Thymelaeaceae,Daphnopsis racemosa,DARA,G,tree,Daphnopsis racemosa,DARA,Griseb.,,
Cecropia,pachystachya,Urticaceae,Cecropia pachystachya,CEPA,G,tree,Cecropia pachystachya,CEPA,Trécul,,
Lantana,camara,Verbenaceae,Lantana camara,LACA,G,shrub,Lantana camara,LACA,,,
Lippia,salviifolia,Verbenaceae,Lippia salviifolia,LISA,S,shrub,Lippia origanoides,LIOR,Cham.,,
