OID,Individual,Old name,,Code,Number,Date,D30,DBH,Ht,Lower leaf,Bark1,Bark2,Bark3,Can 1 ,Can 2,Light ,Comments,
1,ROMO1,,,ROMO,1,6/23/2017,13.6,"8.5, 13",510,140,15.96,12.44,10.25,,,5,,
2,STCA6,STCA4,,STCA,6,6/23/2017,"8, 6","3.2, 4.6, 2.5, 3.5",340,100,6.63,5.13,5.18,,,4,,
3,DIBU4,,,DIBU,4,6/23/2017,6.3,5.3,290,180,13.72,12.82,10.93,,,4,,
4,ROMO2,,,ROMO,2,6/23/2017,8.5,7.6,310,190,9.69,11.99,11.78,,,3,,
5,ROMO3,,,ROMO,3,6/23/2017,7.2,7.3,430,130,6.42,6.89,5.49,,,5,,
6,ROMO4,,,ROMO,4,6/23/2017,8,"4.3, 4.8",270,140,9.07,7.27,8.69,,,4,,
7,ALED1,,,ALED,1,6/23/2017,"1.9, 1.8",".8, .9",150,10,2.8,1.66,2.04,,,4,,
8,COLA2,,,COLA,2,6/23/2017,2.1,".9, .86, 1",210,20,1.49,1.54,1.97,,,3,,
9,ALED2,,,ALED,2,6/23/2017,8.6,6.8,430,130,3.7,3.85,4.38,,,4,,
10,PIRO1,,,PIRO,1,6/23/2017,9.6,"7.5, 3.4",370,120,13.97,15.9,16.2,,,5,,
11,PLPO5,,,PLPO,5,6/23/2017,4.9,3.7,230,60,11.22,11.41,12.59,,,4,,
12,BYCO1,,,BYCO,1,6/23/2017,4.6,2.2,200,80,7.91,8.06,9.37,,,4,Changed name to BYBA-A to match other data sheets. Original name BYBA1 [Name changed to BYCO1 -- leaf samples were lost and dried out],
13,DARA1,,,DARA,1,6/23/2017,5.4,0.9,160,10,1.8,1.42,1.41,,,2,,
14,BARU1,,,BARU,1,6/23/2017,0.9,0.6,140,80,0.46,NA,NA,,,4,,
15,MYLI5,,,MYLI,5,6/23/2017,7,"6, 6.7",240,60,16.52,16.75,16.37,,,4,diam changed from 0.7 to 7.0,
16,TEGL1,,,TEGL,1,6/23/2017,"21.1, 8.2, 5.2 ,6.2","4.2, 5, 8.2, 19.3",930,140,11.11,11.1,9.6,,,5,,
17,LAHA1,,,LAHA,1,6/23/2017,1.5,NA,125,10,0.8,NA,NA,,,3,,
18,COSU1,,,COSU,1,6/23/2017,6.7,4.4,230,60,14.77,13.5,11,,,4,,
19,STAD1,,,STAD,1,6/23/2017,3.1,NA,110,50,5.81,5.91,5,,,4,,
