"","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"40","Tabebuia","ochracea","Bignoniaceae","Tabebuia ochracea","TAOC","S","tree","Handroanthus ochraceus","HAOC","(Cham.) Mattos","",NA,"G","G","G"
"41","Zeyheria","montana","Bignoniaceae","Zeyheria montana","ZEMO","S","shrub","Zeyheria montana","ZEMO","Mart.","",NA,"S","S","S"
"42","Zeyheria","tuberculosa","Bignoniaceae","Zeyheria tuberculosa","ZETU","G","tree","Zeyheria tuberculosa","ZETU","(Vell.) Bureau ex Verl.","",NA,"F","F","F"
"43","Tabebuia","aurea","Bignoniaceae","Tabebuia aurea","TAAU","S","tree","Tabebuia aurea","TAAU","(Silva Manso) Benth. & Hook.f. ex S.Moore","",NA,"G","G","G"
"44","Cordia","sellowiana","Boraginaceae","Cordia sellowiana","COSE","F","tree","Cordia sellowiana","COSE","","",NA,"F","F","F"
"45","Cordia","trichotoma","Boraginaceae","Cordia trichotoma","COTR","F","tree","Cordia trichotoma","COTR","","",NA,"F","F","F"
"46","Protium","heptaphyllum","Burseraceae","Protium heptaphyllum","PRHE","G","tree","Protium heptaphyllum","PRHE","(Aubl.) Marchand","",NA,"F","F","F"
"47","Kielmeyera","coriacea","Calophyllaceae","Kielmeyera coriacea","KICO","S","tree","Kielmeyera coriacea","KICO","Mart. & Zucc.","",NA,"S","S","S"
"48","Caryocar","brasiliense","Caryocaraceae","Caryocar brasiliense","CABR","S","tree","Caryocar brasiliense","CABR","Cambess.","",NA,"S","S","S"
"49","Maytenus","robusta","Celastraceae","Maytenus robusta","MARO","G","tree","Maytenus robusta","MARO","","",NA,"F","F","F"
"50","Plenckia","populnea","Celastraceae","Plenckia populnea","PLPO","S","tree","Plenckia populnea","PLPO","Reissek","",NA,"S","S","S"
"51","Terminalia","glabrescens","Combretaceae","Terminalia glabrescens","TEGL","G","tree","Terminalia glabrescens","TEGL","Mart.","",NA,"F","F","F"
"52","Connarus","suberosus","Connaraceae","Connarus suberosus","COSU","S","treelet","Connarus suberosus","COSU","Planch.","",NA,"S","S","S"
"53","Dasyphyllum","sp1","Crassulaceae","Dasyphyllum sp1","DASYP","F","tree","Dasyphyllum sp2","DASYP","","",NA,NA,NA,NA
"54","Davilla","elliptica","Dilleniaceae","Davilla elliptica","DAEL","S","shrub","Davilla elliptica","DAEL","A.St.-Hil.","",NA,"S","S","S"
"55","Diospyros","burchelli","Ebenaceae","Diospyros burchelli","DIBU","S","tree","Diospyros lasiocalyx","DILA","(Mart.) B.Walln.","",NA,"S","S","S"
"56","Erythroxylum","cuneifolium","Erythroxylaceae","Erythroxylum cuneifolium","ERCU","S","shrub","Erythroxylum cuneifolium","ERCU","(Mart.) O.E.Schulz","",NA,"G","G","G"
"57","Erythroxylum","deciduum","Erythroxylaceae","Erythroxylum deciduum","ERDE","G","tree","Erythroxylum deciduum","ERDE","A.St.-Hil.","",NA,"G","G","G"
"58","Erythroxylum","pelleterianum","Erythroxylaceae","Erythroxylum pelleterianum","ERPE","G","treelet","Erythroxylum pelleterianum","ERPE","","",NA,"G","G","G"
"59","Erythroxylum","suberosum","Erythroxylaceae","Erythroxylum suberosum","ERSU","S","treelet","Erythroxylum suberosum","ERSU","A.St.-Hil.","",NA,"S","S","S"
"60","Erythroxylum","tortuosum","Erythroxylaceae","Erythroxylum tortuosum","ERTO","S","treelet","Erythroxylum tortuosum","ERTO","Mart.","",NA,"S","S","S"
"61","Maprounea","guianensis","Euphorbiaceae","Maprounea guianensis","MAGU","G","tree","Maprounea guianensis","MAGU","Aubl.","",NA,"G","F","F"
"62","Actinostemon","schomburgkii","Euphorbiaceae","Actinostemon schomburgkii","ACSC","F","treelet","Actinostemon schomburgkii","ACSC","","",NA,NA,NA,NA
"63","Croton","floribundus","Euphorbiaceae","Croton floribundus","CRFL","F","tree","Croton floribundus","CRFL","Spreng.","",NA,"F","F","F"
"64","Anadenanthera","falcata","Fabaceae","Anadenanthera falcata","ANFA","G","tree","Anadenanthera peregrina","ANFA","(Benth.) Altschul","",NA,"G","G","G"
"65","Bauhinia","longifolia","Fabaceae","Bauhinia longifolia","BALO","F","tree","Bauhinia longifolia","BALO","(Bong.) Steud.","Bauhinia rufa",NA,"F","F","F"
"66","Bauhinia","rufa","Fabaceae","Bauhinia rufa","BARU","S","shrub","Bauhinia rufa","BARU","(Bong.) Steud.","",NA,"S","S","S"
"67","Bowdichia","virgilioides","Fabaceae","Bowdichia virgilioides","BOVI","S","tree","Bowdichia virgilioides","BOVI","Kunth","",NA,"S","S","S"
"68","Chamaecrista","cathartica","Fabaceae","Chamaecrista cathartica","CHCA","S","shrub","Chamaecrista cathartica","CHCA","","",NA,"S","S","S"
"69","Dalbergia","miscolobium","Fabaceae","Dalbergia miscolobium","DAMI","S","tree","Dalbergia miscolobium","DAMI","","",NA,"S","S","S"
"70","Dimorphandra","mollis","Fabaceae","Dimorphandra mollis","DIMO","S","tree","Dimorphandra mollis","DIMO","Benth.","",NA,"G","S","S"
"71","Hymenaea","stigonocarpa","Fabaceae","Hymenaea stigonocarpa","HYST","S","tree","Hymenaea stigonocarpa","HYST","","",NA,"G","G","S"
"72","Leptolobium","elegans","Fabaceae","Leptolobium elegans","LEEL","S","tree","Leptolobium elegans","LEEL","Vogel","",NA,"S","S","S"
"73","Machaerium","acutifolium","Fabaceae","Machaerium acutifolium","MAAC","S","tree","Machaerium acutifolium","MAAC","Vogel","",NA,"G","S","S"
"74","Machaerium","brasiliense","Fabaceae","Machaerium brasiliense","MABR","G","tree","Machaerium brasiliense","MABR","Vogel","",NA,"F","F","F"
"75","Machaerium","stipitatum","Fabaceae","Machaerium stipitatum","MAST","F","tree","Machaerium stipitatum","MAST","","",NA,"F","F","F"
"76","Mimosa","dolens","Fabaceae","Mimosa dolens","MIDO","S","shrub","Mimosa dolens","MIDO","","",NA,"S","S","S"
"77","Parapiptadenia","rigida","Fabaceae","Parapiptadenia rigida","PARI","F","tree","Parapiptadenia rigida","PARI","","",NA,"G","F","F"
"78","Piptadenia","gonoacantha","Fabaceae","Piptadenia gonoacantha","PIGO","G","tree","Piptadenia gonoacantha","PIGO","","",NA,"F","F","F"
"79","Plathymenia","reticulata","Fabaceae","Plathymenia reticulata","PLRE","S","tree","Plathymenia reticulata","PLRE","Benth.","",NA,"G","S","S"
"80","Platypodium","elegans","Fabaceae","Platypodium elegans","PLEL","F","tree","Platypodium elegans","PLEL","Vogel","",NA,"G","G","G"
"81","Senna","pendula","Fabaceae","Senna pendula","SEPE","F","treelet","Senna pendula","SEPE","","",NA,"G","G","G"
"82","Senna","rugosa","Fabaceae","Senna rugosa","SERU","S","shrub","Senna rugosa","SERU","","",NA,"S","S","S"
"83","Stryphnodendron","adstringens","Fabaceae","Stryphnodendron adstringens","STAD","S","tree","Stryphnodendron adstringens","STAD","(Mart.) Coville","",NA,"S","S","S"
"84","Stryphnodendron","rotundifolium","Fabaceae","Stryphnodendron rotundifolium","STRO","S","tree","Stryphnodendron rotundifolium","STRO","Mart.","",NA,"G","S","S"
"85","Sweetia","fruticosa","Fabaceae","Sweetia fruticosa","SWFR","F","tree","Sweetia fruticosa","SWFR","","",NA,NA,NA,NA
"86","Copaifera","langsdorffii","Fabaceae","Copaifera langsdorffii","COLA","G","tree","Copaifera langsdorffii","COLA","Desf.","",NA,"G","G","G"
"87","Lacistema","hasslerianum","Lacistemataceae","Lacistema hasslerianum","LAHA","G","treelet","Lacistema hasslerianum","LAHA","Chodat","",NA,"G","G","F"
"88","Aegiphila","verticillata","Lamiaceae","Aegiphila verticillata","AEVE","S","tree","Aegiphila verticillata","AEVE","Vell.","",NA,"S","S","S"
"89","Vitex","megapotamica","Lamiaceae","Vitex megapotamica","VIME","F","tree","Vitex megapotamica","VIME","","",NA,"F","F","F"
"90","Aegiphila","sellowiana","Lamiaceae","Aegiphila sellowiana","AESE","F","tree","Aegiphila integrifolia","AEIN","(Jacq.) Moldenke","",NA,"G","F","F"
"91","Nectandra","cuspidata","Lauraceae","Nectandra cuspidata","NECU","F","tree","Nectandra cuspidata","NECU","Nees","",NA,"G","F","F"
"92","Nectandra","lanceolata","Lauraceae","Nectandra lanceolata","NELA","F","tree","Nectandra lanceolata","NELA","Nees","",NA,"F","F","F"
"93","Nectandra","oppositifolia","Lauraceae","Nectandra oppositifolia","NEOP","F","tree","Nectandra oppositifolia","NEOP","Nees","",NA,"F","F","F"
"94","Ocotea","corymbosa","Lauraceae","Ocotea corymbosa","OCCO","G","tree","Ocotea corymbosa","OCCO","(Meisn.) Mez","",NA,"G","G","G"
"95","Ocotea","diospyrifolia","Lauraceae","Ocotea diospyrifolia","OCDI","F","tree","Ocotea diospyrifolia","OCDI","","",NA,"F","F","F"
"96","Ocotea","minarum","Lauraceae","Ocotea minarum","OCMI","G","tree","Ocotea minarum","OCMI","(Nees & Mart.) Mez","",NA,"G","G","F"
"97","Ocotea","puberula","Lauraceae","Ocotea puberula","OCPU2","F","tree","Ocotea puberula","OCPU2","","",NA,"F","F","F"
"98","Ocotea","pulchella","Lauraceae","Ocotea pulchella","OCPU","G","tree","Ocotea pulchella","OCPU","(Nees & Mart.) Mez","",NA,"G","G","G"
"99","Ocotea","sp1.","Lauraceae","Ocotea sp1.","OCOTE","F","tree","Ocotea sp1.","OCOTE","","",NA,NA,NA,NA
"100","Ocotea","velloziana","Lauraceae","Ocotea velloziana","OCVE","F","tree","Ocotea velloziana","OCVE","(Meisn.) Mez","",NA,"G","G","G"
"101","Ocotea","velutina","Lauraceae","Ocotea velutina","OCVE2","F","tree","Ocotea velutina","OCVE2","","",NA,"F","F","F"
"102","Persea","willdenovii","Lauraceae","Persea willdenovii","PEWI","F","tree","Persea willdenovii","PEWI","Kosterm.","",NA,"G","G","F"
"103","Cariniana","estrellensis","Lecythidaceae","Cariniana estrellensis","CAES","F","tree","Cariniana estrellensis","CAES","","",NA,"F","F","F"
"104","Lafoensia","vandelliana","Lythraceae","Lafoensia vandelliana","LAVA","S","tree","Lafoensia vandelliana","LAVA","","",NA,"G","F","F"
"105","Heteropterys","sp1","Malphigiaceae","Heteropterys sp1","HETER","S","shrub","Heteropterys sp2","HETER","","",NA,NA,NA,NA
"106","Heteropterys","byrsonimifolia","Malphigiaceae","Heteropterys byrsonimifolia","HEBY","S","shrub","Heteropterys byrsonimifolia","HEBY","","",NA,"G","S","S"
"107","Banisteriopsis","campestris","Malpighiaceae","Banisteriopsis campestris","BACA","S","shrub","Banisteriopsis campestris","BACA","","",NA,"S","S","S"
"108","Byrsonima","basiloba","Malpighiaceae","Byrsonima basiloba","BYBA","S","tree","Byrsonima basiloba","BYBA","A.Juss.","",NA,"S","S","S"
"109","Byrsonima","coccolobifolia","Malpighiaceae","Byrsonima coccolobifolia","BYCO","S","tree","Byrsonima coccolobifolia","BYCO","Kunth","",NA,"S","S","S"
"110","Byrsonima","intermedia","Malpighiaceae","Byrsonima intermedia","BYIN","S","shrub","Byrsonima intermedia","BYIN","A.Juss.","",NA,"S","S","S"
"111","Byrsonima","laxiflora","Malpighiaceae","Byrsonima laxiflora","BYLA","G","tree","Byrsonima laxiflora","BYLA","Griseb.","",NA,"G","F","F"
"112","Eriotheca","gracilipes","Malvaceae","Eriotheca gracilipes","ERGR","S","tree","Eriotheca gracilipes","ERGR","(K.Schum.) A.Robyns","",NA,"S","S","S"
"113","Helicteres","brevispira","Malvaceae","Helicteres brevispira","HEBR","G","treelet","Helicteres brevispira","HEBR","","",NA,"G","G","G"
"114","Luehea","candicans","Malvaceae","Luehea candicans","LUCA","G","tree","Luehea candicans","LUCA","Mart.","",NA,"G","F","F"
"115","Luehea","grandiflora","Malvaceae","Luehea grandiflora","LUGR","G","tree","Luehea grandiflora","LUGR","Mart.","",NA,"G","G","G"
"116","Leandra","melastomoides","Melastomataceae","Leandra melastomoides","LEME","G","treelet","Leandra melastomoides","LEME","","",NA,"F","F","F"
"117","Miconia","albicans","Melastomataceae","Miconia albicans","MIAL","S","treelet","Miconia albicans","MIAL","(Sw.) Steud","",NA,"G","S","S"
"118","Miconia","fallax","Melastomataceae","Miconia fallax","MIFA","S","shrub","Miconia fallax","MIFA","DC.","",NA,"S","S","S"
"119","Miconia","ligustroides","Melastomataceae","Miconia ligustroides","MILI","S","treelet","Miconia ligustroides","MILI","(DC.) Naudin","",NA,"G","G","G"
"120","Miconia","paucidens","Melastomataceae","Miconia paucidens","MIPA","G","shrub","Miconia paucidens","MIPA","","",NA,"G","G","G"
"121","Miconia","sellowiana","Melastomataceae","Miconia sellowiana","MISE","G","tree","Miconia sellowiana","MISE","Naudin","",NA,"G","G","F"
"122","Miconia","stenostachya","Melastomataceae","Miconia stenostachya","MIST","S","shrub","Miconia stenostachya","MIST","","",NA,"G","G","S"
"123","Tibouchina","stenocarpa","Melastomataceae","Tibouchina stenocarpa","TIST","S","tree","Pleroma stenocarpum","PLST","(Schrank et Mart. ex DC.) Triana","",NA,"G","G","S"
"124","Cedrela","fissilis","Meliaceae","Cedrela fissilis","CEFI","F","tree","Cedrela fissilis","CEFI","","",NA,"F","F","F"
"125","Trichilia","pallida","Meliaceae","Trichilia pallida","TRPA","F","tree","Trichilia pallida","TRPA","","",NA,"F","F","F"
"126","Mollinedia","widgrenii","Monimiaceae","Mollinedia widgrenii","MOWI","F","tree","Mollinedia widgrenii","MOWI","","",NA,"F","F","F"
"127","Brosimum","gaudichaudii","Moraceae","Brosimum gaudichaudii","BRGA","S","tree","Brosimum gaudichaudii","BRGA","","",NA,"S","S","S"
"128","Ficus","sp1","Moraceae","Ficus sp1","FICUS","F","tree","Ficus sp2","FICUS","","",NA,NA,NA,NA
"129","Ficus","citrifolia","Moraceae","Ficus citrifolia","FICI","G","tree","Ficus citrifolia","FICI","","",NA,"F","F","F"
"130","Ficus","gomelleira","Moraceae","Ficus gomelleira","FIGO","G","tree","Ficus gomelleira","FIGO","","",NA,"F","F","F"
"131","Blepharocalyx","salicifolius","Myrtaceae","Blepharocalyx salicifolius","BLSA","G","tree","Blepharocalyx salicifolius","BLSA","","",NA,"G","G","G"
"132","Calyptranthes","concinna","Myrtaceae","Calyptranthes concinna","CACO","F","tree","Calyptranthes concinna","CACO","","",NA,"G","F","F"
"133","Calyptranthes","lucida","Myrtaceae","Calyptranthes lucida","CALU","F","tree","Calyptranthes lucida","CALU","Mart. ex DC.","",NA,"F","F","F"
"134","Campomanesia","adamantium","Myrtaceae","Campomanesia adamantium","CAAD","S","shrub","Campomanesia adamantium","CAAD","(Cambess.) O.Berg","",NA,"S","S","S"
"135","Campomanesia","guaviroba","Myrtaceae","Campomanesia guaviroba","CAGU2","F","tree","Campomanesia guaviroba","CAGU2","","",NA,"F","F","F"
"136","Campomanesia","guazumifolia","Myrtaceae","Campomanesia guazumifolia","CAGU","F","tree","Campomanesia guazumifolia","CAGU","(Cambess.) O.Berg","",NA,"F","F","F"
"137","Campomanesia","xanthocarpa","Myrtaceae","Campomanesia xanthocarpa","CAXA","F","tree","Campomanesia xanthocarpa","CAXA","","",NA,"F","F","F"
"138","Eugenia","aurata","Myrtaceae","Eugenia aurata","EUAU","S","treelet","Eugenia aurata","EUAU","","",NA,"G","S","S"
"139","Eugenia","bimarginata","Myrtaceae","Eugenia bimarginata","EUBI","S","shrub","Eugenia bimarginata","EUBI","","",NA,"S","S","S"
"140","Eugenia","florida","Myrtaceae","Eugenia florida","EUFL","F","tree","Eugenia florida","EUFL","","",NA,"F","F","F"
"141","Eugenia","livida","Myrtaceae","Eugenia livida","EULI","S","treelet","Eugenia livida","EULI","","",NA,"S","S","S"
"142","Eugenia","myrcianthes","Myrtaceae","Eugenia myrcianthes","EUMY","G","tree","Eugenia myrcianthes","EUMY","Nied.","",NA,"G","G","G"
"143","Eugenia","punicifolia","Myrtaceae","Eugenia punicifolia","EUPU","S","treelet","Eugenia punicifolia","EUPU","(Kunth) DC.","",NA,"S","S","S"
"144","Eugenia","pyriformis","Myrtaceae","Eugenia pyriformis","EUPY","S","treelet","Eugenia pyriformis","EUPY","","",NA,"G","G","G"
"145","Eugenia","sp5","Myrtaceae","Eugenia sp5","EUSP2","F","tree","Eugenia sp6","EUSP2","","",NA,NA,NA,NA
"146","Eugenia","speciosa","Myrtaceae","Eugenia speciosa","EUSP","F","tree","Eugenia speciosa","EUSP","","",NA,"F","F","F"
"147","Gomidesia","sp1","Myrtaceae","Gomidesia sp1","GOMID","G","tree","Gomidesia sp2","GOMID","","",NA,NA,NA,NA
"148","Gomidesia","elliptica","Myrtaceae","Gomidesia elliptica","GOEL","F","tree","Gomidesia elliptica","GOEL","","",NA,NA,NA,NA
"149","Myrcia","splendens","Myrtaceae","Myrcia splendens","MYFA","G","tree","Myrcia splendens","MYRCSPL","(Sw.) DC.","",NA,"G","F","F"
"150","Myrcia","lasiantha","Myrtaceae","Myrcia lasiantha","MYLA","G","tree","Myrcia lasiantha","MYRCLAS","","",NA,NA,NA,NA
"151","Myrcia","lingua","Myrtaceae","Myrcia lingua","MYLI","S","tree","Myrcia guianensis","MYRCGUI","(Aubl.) DC.","",NA,"G","G","G"
"152","Myrcia","multiflora","Myrtaceae","Myrcia multiflora","MYMU","G","tree","Myrcia multiflora","MYRCMUL","(Lam.) DC.","",NA,"G","G","F"
"153","Myrcia","tomentosa","Myrtaceae","Myrcia tomentosa","MYTO","S","tree","Myrcia tomentosa","MYRCTOM","(Aubl.) DC.","",NA,"G","G","G"
"154","Myrcia","venulosa","Myrtaceae","Myrcia venulosa","MYVE","S","tree","Myrcia venulosa","MYRCVEN","DC.","",NA,"G","G","G"
"155","Myrciaria","floribunda","Myrtaceae","Myrciaria floribunda","MYFL","G","tree","Myrciaria floribunda","MYRCFLO","","",NA,"F","F","F"
"156","Gen1","sp1","Myrtaceae","Gen1 sp1","MYRTA","","","Gen1 sp2","MYRTA","","",NA,NA,NA,NA
"157","Psidium","australe","Myrtaceae","Psidium australe","PSAU","S","shrub","Psidium australe","PSAU","","",NA,"S","S","S"
"158","Psidium","grandifolium","Myrtaceae","Psidium grandifolium","PSGR","S","shrub","Psidium grandifolium","PSGR","","",NA,"S","S","S"
"159","Psidium","guajava","Myrtaceae","Psidium guajava","PSGU","exo","tree","Psidium guajava","PSGU","","",NA,"F","F","F"
"160","Psidium","laruotteanum","Myrtaceae","Psidium laruotteanum","PSLA","S","treelet","Psidium laruotteanum","PSLA","","",NA,"S","S","S"
"161","Psidium","salutare","Myrtaceae","Psidium salutare","PSSA","S","treelet","Psidium salutare","PSSA","","",NA,NA,NA,NA
"162","Guapira","graciliflora","Nyctaginaceae","Guapira graciliflora","GUGR","F","tree","Guapira graciliflora","GUGR","","",NA,"S","S","S"
"163","Guapira","hirsuta","Nyctaginaceae","Guapira hirsuta","GUHI","F","tree","Guapira hirsuta","GUHI","","",NA,"F","F","F"
"164","Guapira","opposita","Nyctaginaceae","Guapira opposita","GUOP","G","tree","Guapira opposita","GUOP","","",NA,"F","F","F"
"165","Ouratea","spectabilis","Ochnaceae","Ouratea spectabilis","OUSP","S","tree","Ouratea spectabilis","OUSP","(Mart. ex Engl.) Engl.","",NA,"S","S","S"
"166","Pera","obovata","Peraceae","Pera obovata","PEOB","G","tree","Pera glabrata","PEGL","(Schott) Poepp. ex Baill.","",NA,"G","G","F"
"167","Pinus","elliottii","Pinaceae","Pinus elliottii","PIEL","exo","tree","Pinus elliottii","PIEL","","",NA,"F","F","F"
"168","Piper","mollicomum","Piperaceae","Piper mollicomum","PIMO","F","shrub","Piper mollicomum","PIMO","","",NA,"F","F","F"
"169","Rapanea","ferruginea","Primulaceae","Rapanea ferruginea","RAFE","G","tree","Myrsine coriacea","MYRSCOR","(Sw.) R.Br. ex Roem. & Schult.","",NA,"G","F","F"
"170","Rapanea","guianensis","Primulaceae","Rapanea guianensis","RAGU","S","tree","Myrsine guianensis","MYRSGUI","(Aubl.) Kuntze","",NA,"G","G","G"
"171","Rapanea","umbellata","Primulaceae","Rapanea umbellata","RAUM","G","tree","Myrsine umbellata","MYRSUMB","Mart.","",NA,"G","G","G"
"172","Rapanea","lancifolia","Primulaceae","Rapanea lancifolia","RALA","F","tree","Myrsine lancifolia","MYRSLAN","Mart.","",NA,"G","G","F"
"173","Roupala","montana","Proteaceae","Roupala montana","ROMO","S","tree","Roupala montana","ROMO","Aubl.","",NA,"G","G","S"
"174","Rhamnidium","elaeocarpum","Rhamnaceae","Rhamnidium elaeocarpum","RHEL","F","tree","Rhamnidium elaeocarpum","RHEL","","",NA,"F","F","F"
"175","Prunus","myrtifolia","Rosaceae","Prunus myrtifolia","PRMY","G","tree","Prunus myrtifolia","PRMY","(L.) Urb.","",NA,"F","F","F"
"176","Alibertia","edulis","Rubiaceae","Alibertia edulis","ALED","F","treelet","Alibertia edulis","ALED","(Rich.) A.Rich. ex DC.","",NA,"F","F","F"
"177","Amaioua","intermedia","Rubiaceae","Amaioua intermedia","AMIN","G","tree","Amaioua intermedia","AMIN","Mart. ex Schult. & Schult.f.","",NA,"G","F","F"
"178","Chiococca","alba","Rubiaceae","Chiococca alba","CHAL","F","shrub","Chiococca alba","CHAL","","",NA,"G","F","F"
"179","Chomelia","obtusa","Rubiaceae","Chomelia obtusa","CHOB","F","treelet","Chomelia obtusa","CHOB","","",NA,"F","F","F"
