"","Genus","Species","Family","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative"
"1","Lithraea","molleoides","Anacardiaceae","LIMO","F","tree","Lithraea molleoides","LIMO","(Vell.) Engl.","",NA
"2","Tapirira","guianensis","Anacardiaceae","TAGU","G","tree","Tapirira guianensis","TAGU","Aubl.","",NA
"3","Annona","cacans","Annonaceae","ANCA","F","tree","Annona cacans","ANCA","Warm.","",NA
"4","Annona","coriacea","Annonaceae","ANCO","S","tree","Annona coriacea","ANCO","Mart.","",NA
"5","Annona","crassiflora","Annonaceae","ANCR","S","tree","Annona crassiflora","ANCR","Mart.","",NA
"6","Annona","dioica","Annonaceae","ANDI","S","shrub","Annona dioica","ANDI","A. St.-Hil.","",NA
"8","Duguetia","furfuracea","Annonaceae","DUFU","S","shrub","Duguetia furfuracea","DUFU","(A.St.-Hil.) Saff.","",NA
"9","Guatteria","nigrescens","Annonaceae","GUNI","F","tree","Guatteria nigrescens","GUNI","Mart.","",NA
"11","Xylopia","aromatica","Annonaceae","XYAR","G","tree","Xylopia aromatica","XYAR","","",NA
"12","Aspidosperma","tomentosum","Apocynaceae","ASTO","S","tree","Aspidosperma tomentosum","ASTO","Mart. & Zucc.","",NA
"14","Tabernaemontana","catharinensis","Apocynaceae","TACA","G","tree","Tabernaemontana catharinensis","TACA","A.DC.","",NA
"16","Schefflera","vinosa","Araliaceae","SCVI","S","treelet","Schefflera vinosa","SCVI","(Cham. & Schltdl.) Frodin & Fiasch","",NA
"17","Baccharis","dracunculifolia","Asteraceae","BADR","G","treelet","Baccharis dracunculifolia","BADR","DC.","",NA
"22","Gochnatia","barrosii","Asteraceae","GOBA","S","shrub","Moquiniastrum barrosoae","MOBA","(Cabrera) G. Sancho","",NA
"23","Gochnatia","polymorpha","Asteraceae","GOPO","G","tree","Moquiniastrum polymorphum","MOPO","(Less.) G. Sancho","",NA
"27","Piptocarpha","axillaris","Asteraceae","PIAX","F","tree","Piptocarpha axillaris","PIAX"," (Less.) Baker","",NA
"28","Piptocarpha","rotundifolia","Asteraceae","PIRO","S","treelet","Piptocarpha rotundifolia","PIRO","(Less.) Baker","",NA
"35","Jacaranda","caroba","Bignoniaceae","JACA","S","shrub","Jacaranda caroba","JACA","(Vell.) DC.","",NA
"40","Tabebuia","ochracea","Bignoniaceae","TAOC","S","tree","Handroanthus ochraceus","HAOC","(Cham.) Mattos","",NA
"41","Zeyheria","montana","Bignoniaceae","ZEMO","S","shrub","Zeyheria montana","ZEMO","Mart.","",NA
"42","Zeyheria","tuberculosa","Bignoniaceae","ZETU","G","tree","Zeyheria tuberculosa","ZETU","(Vell.) Bureau ex Verl.","",NA
"43","Tabebuia","aurea","Bignoniaceae","TAAU","S","tree","Tabebuia aurea","TAAU","(Silva Manso) Benth. & Hook.f. ex S.Moore","",NA
"46","Protium","heptaphyllum","Burseraceae","PRHE","G","tree","Protium heptaphyllum","PRHE","(Aubl.) Marchand","",NA
"47","Kielmeyera","coriacea","Calophyllaceae","KICO","S","tree","Kielmeyera coriacea","KICO","Mart. & Zucc.","",NA
"48","Caryocar","brasiliense","Caryocaraceae","CABR","S","tree","Caryocar brasiliense","CABR","Cambess.","",NA
"50","Plenckia","populnea","Celastraceae","PLPO","S","tree","Plenckia populnea","PLPO","Reissek","",NA
"51","Terminalia","glabrescens","Combretaceae","TEGL","G","tree","Terminalia glabrescens","TEGL","Mart.","",NA
"52","Connarus","suberosus","Connaraceae","COSU","S","treelet","Connarus suberosus","COSU","Planch.","",NA
"54","Davilla","elliptica","Dilleniaceae","DAEL","S","shrub","Davilla elliptica","DAEL","A.St.-Hil.","",NA
"55","Diospyros","burchelli","Ebenaceae","DIBU","S","tree","Diospyros hispida","DIBU","A. DC.","",NA
