P,Sub,Number,Species,Ht,DBH,D30,,,,,
6,7,2011,Gochnatia polymorpha,13,39,42,,,,,
6,7,2012,Pera obovata,14,10.5,11,,,,,
6,7,2013,Matayba elaeagnoides,9,6.5+8.3,11.8,,,,,
6,7,2014,Vochysia tucanorum,12,22.7,26.1,,,,,
6,7,2015,Terminalia glabrescens,8,6.1,7.2,,,,,
6,7,2016,Vochysia tucanorum,15,50,52.5,,,,,
6,7,2017,Lacistema hasslerianum,7,5.2,5.7,,,,,
6,7,2018,Machaerium acutifolium,5,9.5,10.8,,,,,
6,7,2019,Vochysia tucanorum,14,29.3,31,,,,,
6,7,2020,Lacistema hasslerianum,5,2.2,3,,,,,
6,7,2021,Lacistema hasslerianum,7,3.1,3.8,,,,,
6,7,2022,Lacistema hasslerianum,2.5,1.5,1.7,,,,,
6,7,2023,Matayba elaeagnoides,5,3.3,4,,,,,
6,7,2024,Lacistema hasslerianum,4.5,2,2.6,,,,,
6,7,2025,Lacistema hasslerianum,1.8,1.2,1.9,,,,,
6,7,2026,Tapirira guianensis,8,4.6,5,,,,,
6,7,2027,Myrcia fallax,2.5,1.1,2.8,,,,,
6,7,2028,Matayba elaeagnoides,1.3,1,1.6,,,,,
6,7,2029,Rapanea umbellata,1.2,1.2,1.8,,,,,
6,7,2030,Lacistema hasslerianum,4,1.2+2.3,3.2,,,,,
6,7,2080,Lacistema hasslerianum,7,2.2,3,,,,,
6,7,2081,Lacistema hasslerianum,6,2.5,2.5,,,,,
6,7,2082,Lacistema hasslerianum,8,1.7+4,4.8,,,,,
6,7,2083,Ficus gomelleira,4.5,2.6,2.3,,,,,
6,8,2031,Casearia sylvestris,10,10.8,11.8,,,,,
6,8,2032,Matayba elaeagnoides,8,9.7,10.5,,,,,
6,8,2033,Rapanea umbellata,11,9,9.7,,,,,
6,8,2034,Platypodium elegans,12,21.6,23.7,,,,,
6,8,2035,Lacistema hasslerianum,1,1.8,6.4,,,,,
6,8,2036,Matayba elaeagnoides,8,10.9,12.5,,,,,
6,8,2037,Platypodium elegans,12,22+9.8+7.7,25+17.6,,,,,
6,8,2038,Ocotea minarum,15,28.5+30.7+26.7,66.5,,,,,
6,8,2039,Ocotea corymbosa,6,2.9,3.6,,,,,
6,8,2040,Eugenia florida,6,3.2,4,,,,,
6,8,2041,Eugenia florida,6,5,5.4,,,,,
6,8,2042,Alibertia edulis,6,4.4,6.1,,,,,
6,8,2043,Matayba elaeagnoides,10,9.9,10.2,,,,,
6,8,2044,Matayba elaeagnoides,7,6.5,6.2,,,,,
6,8,2045,Matayba elaeagnoides,2.5,1.6,2.2,,,,,
6,8,2046,Matayba elaeagnoides,5.5,3.4,4,,,,,
6,8,2047,Matayba elaeagnoides,3.5,1.4,1.8,,,,,
6,9,2049,Syagrus rommanzofiana,6,8.8,9.6,,,,,
6,9,2050,Platypodium elegans,14,24.4,21.6,,,,,
6,9,2051,Platypodium elegans,9,15.8,19,,,,,
6,9,2052,Eugenia myrcianthes,5,5.1,5.7,,,,,
6,9,2053,Eugenia myrcianthes,7,7.4,8.5,,,,,
6,9,2054,Bauhinia longifolia,5,6.4,6.6,,,,,
6,9,2055,Ocotea minarum,6,6.9,7.9,,,,,
6,9,2056,Eugenia myrcianthes,6,5.9+5.8,5.4+5.6+2,,,,,
6,9,2057,Eugenia myrcianthes,9,5.2,9,,,,,
6,9,2058,Zanthoxylum rhoifolium,9,9.1,9.6,,,,,
6,9,2059,Matayba elaeagnoides,8,11.5,13,,,,,
6,9,2060,Matayba elaeagnoides,9,5.8,6,,,,,
6,9,2061,Cupania vernalis,7,9.8,10.8,,,,,
6,9,2062,Terminalia glabrescens,7,6.3,8,,,,,
6,9,2063,Cupania vernalis,7,6.9,7.6,,,,,
6,9,2064,Eugenia myrcianthes,3,13.4+5.5,14.3+6.3,,,,,
6,9,2065,Cupania tenuivalvis,5,1.2,1.8,,,,,
6,9,2066,Cupania tenuivalvis,4.5,2.4,2.5,,,,,
6,9,2067,Cupania vernalis,3,3.3,3,,,,,
6,9,2068,Alibertia edulis,3,2+1.8+1.6,8.1,,,,,
6,9,2069,Terminalia glabrescens,4.5,1.5,3,,,,,
6,9,2070,Cupania vernalis,10,3,8.1,,,,,
6,10,2071,Bauhinia longifolia,8,16,3,,,,,
6,10,2072,Cupania vernalis,10,6.8,3.4,,,,,
6,10,2073,Terminalia glabrescens,8,8,17,,,,,
6,10,2074,Luehea grandiflora,8,15.5,7.3,,,,,
6,10,2075,Terminalia glabrescens,8,11.7,9.5,,,,,
6,10,2076,Tabernaemontana catharinensis,8,11.9,21.1,,,,,
6,10,2077,Bauhinia longifolia,11,17.5,14,,,,,
6,10,2079,Symplocos pubescens,8,11+10,11.1,,,,,
6,10,2084,Ocotea corymbosa,2.5,1,1.2,,,,,
6,10,2085,Chomelia sp.,4,3.5,,,,,,
6,10,2086,Swetia fruticosa,9,12.4+9.5,20.1,,,,,
6,10,2087,Casearia sylvestris,7,5.6,6.4,,,,,
6,10,2088,Ocotea minarum,8,6.8,9.1,,,,,
6,10,2089,Luehea grandiflora,10,17.2,21.2,,,,,
6,10,2090,Swetia fruticosa,7,7.3+9,8.7+9.9,,,,,
6,10,2091,Cupania vernalis,9,5.5,5.8,,,,,
6,10,2092,Swetia fruticosa,5,4.9,6.2,,,,,
6,10,2093,Terminalia glabrescens,6,2.5,3.3,,,,,
6,10,2094,Cupania tenuivalvis,3.5,1.2,1.5,,,,,
6,10,2095,Tabernaemontana catharinensis,3.5,2.1,2.8,,,,,
6,10,2096,Chomelia obtusa,5,1.7,2.3,,,,,
6,10,2097,Terminalia glabrescens,2.5,1.5,2.3,,,,,
6,10,2098,Cupania vernalis,3,1.2,2.7,,,,,
6,10,2099,Matayba elaeagnoides,5,1.6,2.4,,,,,
6,10,2100,Esenbeckia febrifuga,4,1.5,1.7,,,,,
7,1,1501,Plenckia populnea,3.8,5.4,6.7,,,,,
7,1,1502,Myrcia fallax,3.8,6.1,6.5,,,,,
7,1,1503,Tapirira guianensis,5.5,7.7,8.8,,,,,
7,1,1504,Gochnatia polymorpha,2.5,5.4,5.6,,,,,
7,1,1505,Symplocos pubescens,4.5,6.7,7.3,,,,,
7,1,1506,Plenckia populnea,6.5,7.9,9.3,,,,,
7,1,1507,Matayba elaeagnoides,4,7.7,9.2,,,,,
7,1,1508,Tapirira guianensis,7,12.8,15.3,,,,,
7,1,1509,Gochnatia polymorpha,4,9.5,9.4,,,,,
7,1,1510,Myrcia tomentosa,4.5,7.5,9.9,,,,,
7,1,1511,Gochnatia polymorpha,5.5,10.8+10,17.7,,,,,
7,1,1512,Styrax camporum,5.5,5.7,6.7,,,,,
7,1,1513,Tapirira guianensis,7,5.4,6,,,,,
7,1,1514,Gochnatia polymorpha,7,17.9+14.9,15+18.1,,,,,
7,1,1515,Gochnatia polymorpha,2.4,2.5+1.9,3+2.4,,,,,
7,1,1516,Campomanesia adamantium,2.2,1.8+1.3+1.3,3+3.6,,,,,
7,1,1517,Miconia ligustroides,4.5,3,4.7,,,,,
7,1,1518,Styrax camporum,2.5,1.6,1.8,,,,,
7,1,1519,Tapirira guianensis,3.5,4,5.1,,,,,
7,1,1520,Myrcia fallax,4.5,4.2,5.5,,,,,
7,1,1521,Myrcia fallax,2.5,1.3+1.4,2.5,,,,,
7,1,1522,Styrax camporum,2.3,1.3,1.9,,,,,
7,2,1523,Eriotheca gracilipes,5,11.9,13.9,,,,,
7,2,1524,Rapanea umbellata,5.5,5,6,,,,,
7,2,1525,Gochnatia polymorpha,6,11.8+5,13.8,,,,,
7,2,1526,Gochnatia polymorpha,5,6,8,,,,,
7,2,1527,Dimorphandra mollis,5,7.5,8.9,,,,,
7,2,1528,Plenckia populnea,4,6.2,7.3,,,,,
7,2,1529,Plenckia populnea,5,6.8,7.7,,,,,
7,2,1530,Gochnatia polymorpha,4.5,5+7.5,9.4,,,,,
7,2,1531,Myrcia lasiantha,5,6.8,8.7,,,,,
7,2,1532,Gochnatia polymorpha,4.5,6.5,7.7,,,,,
7,2,1533,Tapirira guianensis,7,6,6.9,,,,,
7,2,1534,Myrcia fallax,7,5.8+5.4,7.2,,,,,
7,2,1535,Gochnatia polymorpha,5,6.5,7.5,,,,,
7,2,1536,Gochnatia polymorpha,6,10.7,13.1,,,,,
7,2,1537,Pera obovata,5,5.3,6,,,,,
7,2,1538,Matayba elaeagnoides,2.4,1.6,1.9,,,,,
7,2,1539,Matayba elaeagnoides,2.5,1.5,1.7,,,,,
7,2,1540,Lacistema hasslerianum,2.5,1.3+1.4+1.5,2.0+2.7+1.9,,,,,
7,2,1541,Miconia ligustroides,3.8,1+1.6+1.8+1.7+1.9+4.7,7.7+4.6+2.1+4.9+2.3+2.1+1.2,,,,,
7,2,1542,Myrcia fallax,3.5,4.6,5.3,,,,,
7,2,1543,Machaerium brasiliense,2.5,1.2,1.9,,,,,
7,3,1544,Tapirira guianensis,6,7.2,8.7,,,,,
7,3,1545,Myrcia fallax,5.5,11.4,12.4,,,,,
7,3,1546,Myrcia fallax,5.5,17,12.7,,,,,
7,3,1547,Myrcia fallax,5.5,14.9+6.7,13.6,,,,,
7,3,1548,Gochnatia polymorpha,6,11.7,10.7,,,,,
7,3,1549,Symplocos pubescens,4.8,5.9,6.6,,,,,
7,3,1550,Gochnatia polymorpha,4,6.5,7.7,,,,,
7,3,1551,Leptolobium elegans,3.5,5.2,6.8,,,,,
7,3,1552,Leptolobium elegans,3.5,6,7.4,,,,,
7,3,1553,Gochnatia polymorpha,5,10,10,,,,,
7,3,1554,Gochnatia polymorpha,7,13.3+7.7,15+9.3,,,,,
7,3,1555,Gochnatia polymorpha,4,5,8.8,,,,,
7,3,1556,Campomanesia adamantium,2,1.3+2.1+1.9+1,3,,,,,
7,3,1557,Gochnatia polymorpha,3.5,1.9,3.5,,,,,
7,3,1558,Pera obovata,4.5,3.6,4,,,,,
7,3,1559,Plenckia populnea,2.5,3.6,4.2,,,,,
7,3,1560,Leptolobium elegans,2.8,3.9,4.3,,,,,
7,4,1561,Pera obovata,8,17.3+14+8.5,29,,,,,
7,4,1562,Gochnatia polymorpha,8,21.6+8.4+25.1,33,,,,,
7,4,1563,Tapirira guianensis,8,7.9,8.5,,,,,
7,4,1564,Leptolobium elegans,5,8+8,14,,,,,
7,4,1565,Leptolobium elegans,3,6.3,4.3,,,,,
7,4,1566,Ocotea corymbosa,7,5.7+7.8,8.6+6.1,,,,,
7,4,1567,Campomanesia adamantium,1.9,1.9+1.7,4.8,,,,,
7,4,1568,Rapanea umbellata,2.4,1.4,2,,,,,
7,5,1569,Machaerium acutifolium,7,18,18.5,,,,,
7,5,1570,Tapirira guianensis,7,15.1+14.3,26.7,,,,,
7,5,1571,Gochnatia polymorpha,7,12.8,16.5,,,,,
7,5,1572,Gochnatia polymorpha,5.5,9,9.7,,,,,
7,5,1573,Gochnatia polymorpha,6,13,12.2,,,,,
7,5,1574,Gochnatia polymorpha,6,10.9,13.3,,,,,
7,5,1575,Miconia ligustroides,6,9.7+11.7,13+10+5.7+5.1,,,,,
7,5,1576,Tapirira guianensis,6,6.1,6.6,,,,,
7,5,1577,Gochnatia polymorpha,4.5,6,6.2,,,,,
7,5,1578,Tapirira guianensis,7,5.2,6.6,,,,,
7,5,1579,Tapirira guianensis,7,12.6,13.7,,,,,
7,5,1580,Tapirira guianensis,6.5,20.8,7.1,,,,,
7,5,1581,Gochnatia polymorpha,7,16.3+9,19.9,,,,,
7,5,1582,Miconia ligustroides,5,13.4+9.4,11.4+16.7,,,,,
7,5,1583,Campomanesia adamantium,2.2,2+2,4,,,,,
7,5,1584,Vochysia tucanorum,3.5,3.2,4.5,,,,,
7,6,1585,Tapirira guianensis,5,6.2,7,,,,,
7,6,1586,Rapanea umbellata,7,8,9.7,,,,,
7,6,1587,Casearia sylvestris,5,6.8+6.8+7,12,,,,,
7,6,1588,Vochysia tucanorum,7,10.6,11.5,,,,,
7,6,1589,Symplocos pubescens,5,5.9,6.6,,,,,
7,6,1590,Gochnatia polymorpha,5,7+5.5,6.7,,,,,
7,6,1591,Tapirira guianensis,7,6.9,8.7,,,,,
7,6,1592,Gochnatia polymorpha,5,12.5,19.1,,,,,
7,6,1593,Gochnatia polymorpha,6,9.7,13.2,,,,,
7,6,1594,Tapirira guianensis,6,6.5,7.5,,,,,
7,6,1595,Rapanea umbellata,5,6.5,7.5,,,,,
7,6,1596,Gochnatia polymorpha,5,6.5,8.4,,,,,
7,6,1597,Stryphnodendron rotundifolium,3.5,5.5,6.7,,,,,
7,6,1598,Stryphnodendron rotundifolium,3.5,5.3,6.6,,,,,
7,6,1599,Miconia albicans,2.2,1.6+1.5+1.4+1.3,2+2.1+2.1,,,,,
7,6,1600,Vochysia tucanorum,2,1.1,3.4,,,,,
7,6,1601,Stryphnodendron rotundifolium,2,1.9+14+1.4,4.1,,,,,
7,6,1602,Campomanesia adamantium,1.6,1.1+1.1,3.6,,,,,
7,6,1603,Platypodium elegans,2.2,1.8,2.2,,,,,
7,7,1604,Gochnatia polymorpha,5,8,8.7,,,,,
7,7,1605,Stryphnodendron rotundifolium,4,6.8,7.5,,,,,
7,7,1606,Eriotheca gracilipes,4.5,8.4,10.6,,,,,
7,7,1607,Stryphnodendron rotundifolium,3.5,5,5.9,,,,,
7,7,1608,Gochnatia polymorpha,5,10.8,13.3,,,,,
7,7,1609,Symplocos pubescens,5,7.4,8.1,,,,,
7,7,1610,Campomanesia adamantium,1.4,1.9+1.5+1.7,7,,,,,
7,7,1611,Gochnatia polymorpha,3,1.7,2.3,,,,,
7,7,1612,Rapanea umbellata,2.1,1.4,1.8,,,,,
7,7,1613,Gochnatia polymorpha,3.5,4.9+4.4+3.3+2.7,6,,,,,
7,7,1614,Campomanesia adamantium,2.2,2.2+2.6+2.5+3.1+2.3+2,6.4,,,,,
7,8,1615,Plenckia populnea,5,7,8,,,,,
7,8,1616,Gochnatia polymorpha,4.5,9+10.5,15.1,,,,,
7,8,1617,Machaerium acutifolium,8,18.4,20.5,,,,,
7,8,1618,Vochysia tucanorum,7,11.1,15.7,,,,,
7,8,1619,Machaerium acutifolium,4.5,12.5,14.3,,,,,
7,8,1620,Miconia ligustroides,6,13.9+8+5.5+11.3,9.5+12.3+15.4,,,,,
7,8,1621,Campomanesia adamantium,2.5,2.6+2.2+2.4+2+1.7,6,,,,,
7,8,1622,Ocotea corymbosa,2.5,1.5,1.8,,,,,
7,8,1623,Gochnatia polymorpha,5.5,6.8,11,,,,,
7,9,1624,Symplocos pubescens,5.5,8+5.4,10.3,,,,,
7,9,1625,Gochnatia polymorpha,5,10,12.5,,,,,
7,9,1626,Pera obovata,7,6.8+8.7+6.7+6+5.5,25,,,,,
7,9,1627,Symplocos pubescens,7,5.5,6.9,,,,,
7,9,1628,Symplocos pubescens,5.5,5.5,7.8,,,,,
7,9,1629,Pera obovata,7,7.4+7.2+6.4,19.5,,,,,
7,9,1630,Symplocos pubescens,5.5,6,6.5,,,,,
7,9,1631,Pera obovata,6,5.4+5.8+7+6.3,8.2+10.2,,,,,
7,9,1632,Tapirira guianensis,6.5,7.6,8.4,,,,,
7,9,1633,Gochnatia polymorpha,4,7,7.7+6.2,,,,,
7,9,1634,Gochnatia polymorpha,6.5,12,13.2,,,,,
7,9,1635,Symplocos pubescens,5,6.8,7.5,,,,,
7,9,1636,Gochnatia polymorpha,6,10.1+5.6,12.8,,,,,
7,9,1637,Tapirira guianensis,7,8.4+9.7,15.7,,,,,
7,9,1638,Tapirira guianensis,6,6.4,7,,,,,
7,9,1639,Rapanea umbellata,4.5,4,5,,,,,
7,9,1640,Myrcia fallax,3.5,2,2.3,,,,,
7,9,1641,Tapirira guianensis,3.5,1.8,2.7,,,,,
7,9,1642,Miconia albicans,3.5,1.5+1.7+1.3+1.3,1.9+1.5+1.6+1.6+1.4,,,,,
7,9,1643,Miconia albicans,2.7,1.4+1.5+1.3,1.3+1.6+2.4+1.8,,,,,
7,9,1644,Myrcia multiflora,3.2,1.1,1.5,,,,,
7,9,1645,Pera obovata,2.5,1.1,2,,,,,
7,9,1646,Ocotea corymbosa,3.5,3.5+2.4,4.5+3.2,,,,,
7,9,1647,Tapirira guianensis,3.5,2.1+1.2+1.3,4,,,,,
7,9,1648,Tapirira guianensis,5,4.9,5.7,,,,,
7,9,1649,Symplocos pubescens,5.5,1.5+4.5+2.2+2.1+2.9+3.4+1.7,4.1+4.8+5.1+2.3+2.2,,,,,
7,9,1650,Campomanesia adamantium,1.7,1.1,2,,,,,
7,10,1651,Machaerium acutifolium,7,19,20.3,,,,,
7,10,1652,Gochnatia polymorpha,4,7.2,8.3,,,,,
7,10,1653,Eriotheca gracilipes,1.5,5,6,,,,,
7,10,1654,Gochnatia polymorpha,6,9.5+6,11.3,,,,,
7,10,1655,Tapirira guianensis,8,11+9.4+5.4,5.85+9.2+12.8,,,,,
7,10,1656,Myrcia tomentosa,3.5,8.5+7.3,14.8,,,,,
7,10,1657,Tapirira guianensis,7,7.2,7,,,,,
7,10,1658,Tapirira guianensis,7,10.4,11.9,,,,,
7,10,1659,Tapirira guianensis,6,6.8,7.4,,,,,
7,10,1660,Myrcia tomentosa,4,6,12.6,,,,,
7,10,1661,Eriotheca gracilipes,3,10.4,10.8,,,,,
7,10,1662,Styrax camporum,4.5,6.4,11.3,,,,,
7,10,1663,Eriotheca gracilipes,3.4,7,9.2,,,,,
7,10,1664,Ocotea corymbosa,6,6.8,9.3,,,,,
7,10,1665,Myrcia fallax,4,1.8,5.6,,,,,
7,10,1666,Gochnatia polymorpha,4,6.1,5.8+5,,,,,
7,10,1667,Gochnatia polymorpha,2.5,3.4,5.1,,,,,
7,10,1668,Helietta apiculata,3.5,2.2,3,,,,,
7,10,1669,Campomanesia adamantium,1.7,2.3+1.6,3.9,,,,,
7,10,1670,Myrcia tomentosa,4.5,3.3+3.2+3.4,9.2,,,,,
7,10,1671,Styrax camporum,2.8,2.3,2.2,,,,,
7,10,1672,Myrcia tomentosa,3.2,3,3.5,,,,,
7,10,1673,Campomanesia adamantium,1.8,2.4+2.6,3.6,,,,,
7,10,1674,Campomanesia adamantium,2,2+2.4,3.5,,,,,
7,10,1675,Campomanesia adamantium,2,2.8+2.3,4,,,,,
7,10,1676,Myrcia fallax,2,2.4,4+4,,,,,
7,10,1677,Stryphnodendron rotundifolium,2.5,2.6+2,5,,,,,
7,10,1670B,Gochnatia polymorpha,4,3.5+4.8+2.5,6.3,,,,,
7,10,1670C,Campomanesia adamantium,1.7,1.8+1.5,5.3,,,,,
8,1,1678,Stryphnodendron rotundifolium,5,8,7.8,,,,,
8,1,1679,Ocotea corymbosa,7,5.6,6.6,,,,,
8,1,1680,Miconia ligustroides,7,7.2,8.5,,,,,
8,1,1681,Machaerium acutifolium,4.5,12,14.7,,,,,
8,1,1682,Miconia ligustroides,5,5.2,6.4,,,,,
8,1,1683,Eugenia aurata,3.5,8.1+8.1,9.9+9.1,,,,,
8,1,1684,Pera obovata,6,5.3,6.3,,,,,
8,1,1685,Stryphnodendron rotundifolium,5,7.9,9.1,,,,,
8,1,1686,Gochnatia polymorpha,5.5,8,9.9,,,,,
8,1,1687,Roupala montana,2.5,6.5,7.9,,,,,
8,1,1688,Gochnatia polymorpha,6,10,10.5,,,,,
8,1,1689,Miconia ligustroides,6,11+8.5,12.3+9.9,,,,,
8,1,1690,Ocotea corymbosa,6,7,7.4,,,,,
8,1,1691,Miconia ligustroides,7,10.9+8.5,11.8+10.2,,,,,
8,1,1692,Prunus myrtifolia,6,5.1,5.2+(4.7),,,,,
8,1,1693,Plenckia populnea,7,16.9,18.2,,,,,
8,1,1694,Tapirira guianensis,8,13.1,14.8,,,,,
8,1,1695,Symplocos pubescens,5,6,5.6,,,,,
8,1,1696,Rapanea umbellata,6,7,9.4,,,,,
8,1,1697,Myrcia fallax,4.5,5.1,5.4,,,,,
8,1,1698,Rapanea umbellata,3,1.2+1+1.3,1.6+1.6,,,,,
8,1,1699,Rapanea umbellata,3.5,1.5,1.2,,,,,
8,1,1700,Rapanea umbellata,5,2.8,3.4,,,,,
8,1,1701,Rapanea umbellata,2.5,1.3,1.4,,,,,
8,1,1702,Miconia ligustroides,4,3.4,4,,,,,
8,1,1703,Lacistema hasslerianum,2.5,1.5+1.2+1.1,1.8,,,,,
8,1,1704,Rapanea umbellata,5,2.3+1.1,2.8,,,,,
8,1,1705,Ocotea velloziana,4.5,5.3,6,,,,,
8,1,1706,Myrcia fallax,2.5,1.3,4.3,,,,,
8,1,1707,Myrcia fallax,3,2.5,2.4,,,,,
8,1,1708,Matayba elaeagnoides,3.5,2.3,2.9,,,,,
8,1,1709,Myrcia fallax,3.5,2.4,2.2,,,,,
8,1,1710,Myrcia fallax,2.6,1.6,1.9+(1.3),,,,,
8,1,1711,Rapanea umbellata,2.7,1,1.2,,,,,
8,1,1712,Myrcia fallax,2.5,1.1,1.7,,,,,
8,1,1713,Miconia albicans,2.5,1.3,2.8,,,,,
8,1,1714,Rapanea umbellata,6,1.7,2,,,,,
8,1,1715,Rapanea umbellata,3,1.4,1.7,,,,,
8,1,1716,Rapanea umbellata,6.5,4.5,5.2,,,,,
8,1,1717,Rapanea umbellata,5,4.5+2.4,5.8,,,,,
8,1,1718,Myrcia fallax,2.6,2,3.2,,,,,
8,1,1719,Rapanea umbellata,4.5,2.4,2.8,,,,,
8,1,1720,Rapanea umbellata,4.5,2.2,2.4,,,,,
8,1,1721,Rapanea umbellata,3.5,1.8,2.1,,,,,
8,1,1722,Rapanea umbellata,5,2.6,2.9,,,,,
8,1,1723,Rapanea umbellata,3.5,2.6,3,,,,,
8,1,1724,Rapanea umbellata,4.5,1.5,1.5,,,,,
8,1,1725,Rapanea umbellata,2.2,1,1.3,,,,,
8,1,2048,Gochnatia polymorpha,4.5,9.4,9.5,,,,,
8,2,1726,Miconia ligustroides,6,9.2,10.9,,,,,
8,2,1727,Miconia ligustroides,6,6.5,8.4,,,,,
8,2,1728,Miconia ligustroides,3,5.8,6.7,,,,,
8,2,1729,Plenckia populnea,7,8.9,10.5,,,,,
8,2,1730,Machaerium acutifolium,7,5.9,7.2,,,,,
8,2,1731,Terminalia glabrescens,5,6.5,7.7,,,,,
8,2,1732,Symplocos pubescens,8,10.4,12.4,,,,,
8,2,1733,Pera obovata,7,22.1,26.7,,,,,
8,2,1734,Symplocos pubescens,6,5,6.4,,,,,
8,2,1735,Plenckia populnea,5,7.6,8.9,,,,,
8,2,1736,Miconia ligustroides,6,9.5,11.6,,,,,
8,2,1737,Machaerium acutifolium,6,15,16.3,,,,,
8,2,1738,Plenckia populnea,6,9.5+7.5,12.2,,,,,
8,2,1739,Rapanea umbellata,6,5.5,6.2,,,,,
8,2,1740,Rapanea umbellata,6,5.6,6.3,,,,,
8,2,1741,Pera obovata,6,5,6,,,,,
8,2,1742,Rapanea umbellata,8,12.3+10.9+10.6,13.2+11.3+11.4,,,,,
8,2,1743,Plenckia populnea,3.7,4,4.8,,,,,
8,2,1744,Rapanea umbellata,4.5,2.5,3,,,,,
8,2,1745,Rapanea umbellata,3.7,1.6,1.9,,,,,
8,2,1746,Plenckia populnea,3.3,3.4+2.8,4.1,,,,,
8,2,1747,Rapanea umbellata,5,3.3,3.8,,,,,
8,2,1748,Rapanea umbellata,3.5,1.7,2.1,,,,,
8,2,1749,Campomanesia adamantium,1.9,1.4+1.5,2.4+2.9,,,,,
8,2,1750,Miconia albicans,3.2,2.2+1+1,3.3,,,,,
8,2,1751,Rapanea umbellata,5.5,4.5,5.3,,,,,
8,2,1752,Myrcia fallax,2.5,1.1,1.4,,,,,
8,2,1753,Miconia albicans,3,1.7+1,3.7+2.2,,,,,
8,2,1754,Rapanea umbellata,3.5,2.1,2.4,,,,,
8,2,1755,Rapanea umbellata,3.7,1.6+1.5,1.9+1.8,,,,,
8,2,1756,Tapirira guianensis,3.4,1.9,2.4,,,,,
8,3,1757,Machaerium acutifolium,4,11,12.3,,,,,
8,3,1758,Plenckia populnea,4,6.5,7.1,,,,,
8,3,1759,Machaerium acutifolium,5,7.6,9.1,,,,,
8,3,1760,Terminalia glabrescens,6,7.9+7,8.7+7.7,,,,,
8,3,1761,Machaerium acutifolium,8,14.5,16.6,,,,,
8,3,1762,Symplocos pubescens,5,5.2,5,,,,,
8,3,1763,Machaerium acutifolium,6,10.5,13,,,,,
8,3,1764,Machaerium acutifolium,2.8,7.3,7.8,,,,,
8,3,1765,Pera obovata,7,6.2,7.1,,,,,
8,3,1766,Terminalia glabrescens,7,7.3+6.1,10.5+(5.6),,,,,
8,3,1767,Rapanea umbellata,7,10.3+8.4,17.2,,,,,
8,3,1768,Rapanea umbellata,7,5.8,7.2,,,,,
8,3,1769,Ocotea corymbosa,7,8.4,9.5,,,,,
8,3,1770,Ocotea corymbosa,7,5.6,6,,,,,
8,3,1771,Miconia ligustroides,6,11,12,,,,,
8,3,1772,Rapanea umbellata,6,4.9,5.7,,,,,
8,3,1773,Ocotea corymbosa,6,4,5.2,,,,,
8,3,1774,Daphnopsis racemosa,1.7,1.6+1.9+1.9,4.7,,,,,
8,3,1775,Campomanesia adamantium,1.6,1.2,2.1,,,,,
8,3,1776,Campomanesia adamantium,1.6,1.5,2.4,,,,,
8,3,1777,Myrcia fallax,5,4.4,4.1,,,,,
8,3,1778,Campomanesia adamantium,1.9,1.5,2.1,,,,,
8,3,1779,Campomanesia adamantium,1.7,1.5,2.1,,,,,
8,3,1780,Matayba elaeagnoides,2.5,1.2,1.5,,,,,
8,3,1781,Symplocos pubescens,4,2.9,3.5,,,,,
8,3,1782,Vochysia tucanorum,2.4,1.8,3,,,,,
8,3,1783,Rapanea umbellata,3.5,1.1,1.3,,,,,
8,3,1784,Miconia ligustroides,4,2.8,3.7,,,,,
8,3,1785,Rapanea umbellata,4.5,2.2,2.7,,,,,
8,3,1786,Roupala montana,1.5,2.2+1.1,3.7,,,,,
8,3,1787,Miconia ligustroides,3.5,2+1.6+1.1,2.3+1.7+1.2,,,,,
8,4,1788,Ocotea corymbosa,8,9.6,10.7,,,,,
8,4,1789,Machaerium brasiliense,8,9.9,11.3,,,,,
8,4,1790,Gochnatia polymorpha,7,15.9,11.3,,,,,
8,4,1791,Machaerium acutifolium,6,10.5,9.7,,,,,
8,4,1792,Gochnatia polymorpha,6,7.4,9.7,,,,,
8,4,1793,Gochnatia polymorpha,6,7.5,11.3,,,,,
8,4,1794,Tabebuia ochracea,2.3,5.4,7.7,,,,,
8,4,1795,Miconia ligustroides,5,5.4,6.6,,,,,
8,4,1796,Annona crassiflora,5.5,9.5,10,,,,,
8,4,1797,Gochnatia polymorpha,6,9.8,13.3,,,,,
8,4,1798,Miconia ligustroides,6,6.5,7.4,,,,,
8,4,1799,Vochysia tucanorum,3.5,5.4,6.8,,,,,
8,4,1800,Rapanea umbellata,3,2.4,2.6,,,,,
8,4,1801,Miconia albicans,2.5,1.1,1.6,,,,,
8,4,1802,Myrcia fallax,3.5,2.3,2.4,,,,,
8,4,1803,Rapanea umbellata,2.5,2.6,2.7,,,,,
8,4,1804,Miconia albicans,2.5,1.2+1,1.5+1.2,,,,,
8,4,1805,Rapanea umbellata,2.5,1,1.6,,,,,
8,4,1806,Symplocos pubescens,4,3.2,4.2,,,,,
8,4,1807,Vochysia tucanorum,3.5,3.9,4.7,,,,,
8,4,1808,Rapanea umbellata,2.5,1,1.5,,,,,
8,4,1809,Rapanea umbellata,2.5,13,1.4,,,,,
8,4,1810,Rapanea umbellata,3.5,3.3+2.5,2.3+3.0,,,,,
8,4,1811,Miconia albicans,2.8,1.9+1.7+1,2.7+2.5+2.1,,,,,
8,4,1812,Myrcia fallax,3,2.8,3.8,,,,,
8,4,1813,Campomanesia adamantium,2.3,2,2,,,,,
