P,Sub,Number,Species,Ht,DBH,D30,,,,,
1,5,95,Rapanea umbellata,3,2.4,3,,,,,
1,5,96,Rapanea umbellata,2.5,1.2,2,,,,,
1,5,97,Rapanea umbellata,2,1,1.8,,,,,
1,5,98,Miconia albicans,2.4,1.6+1.5,2.5+3.9,,,,,
1,5,99,Rapanea umbellata,2.9,2,2.8,,,,,
1,5,100,Rapanea umbellata,2.2,1,2.2,,,,,
1,5,101,Myrcia fallax,2.2,2+2+1.2,5.1,,,,,
1,5,102,Myrcia fallax,2.45,2,3,,,,,
1,5,103,Leptolobium elegans,2.55,5.1,6.2,,,,,
1,5,104,Leptolobium elegans,2.9,6.8,7.6,,,,,
1,5,105,Leptolobium elegans,3.55,7.9,8.8,,,,,
1,5,106,Gochnatia polymorpha,5,7.2+6.3,7.7+7.3,,,,,
1,5,107,Myrcia fallax,3.5,5.3,6.2,,,,,
1,5,108,Rapanea umbellata,6,5.5,6.5,,,,,
1,5,109,Rapanea umbellata,5.9,6.5,7.4,,,,,
1,5,110,Myrcia fallax,4,5.1,5.3,,,,,
1,5,111,Pera obovata,7,7.9,9.1,,,,,
1,5,112,Vochysia tucanorum,8.5,17+9.9+11.6,19.8+13.3+11.3,,,,,
1,5,113,Vochysia tucanorum,8.5,12.6,14.8,,,,,
1,5,114,Myrcia fallax,4,5.1+6.7,8.8,,,,,
1,5,115,Rapanea umbellata,6.2,5.2,5.8,,,,,
1,6,116,Myrcia fallax,2.2,1.2+1.6,4,,,,,
1,6,117,Dimorphandra mollis,3,3.4,5.6,,,,,
1,6,118,Vochysia tucanorum,2.5,1.6,2.8,,,,,
1,6,119,Gochnatia polymorpha,1.5,1.3,2,,,,,
1,6,120,Rapanea umbellata,4.1,2.3+3,3.5,,,,,
1,6,121,Gochnatia polymorpha,2,1.5,3.2,,,,,
1,6,122,Rapanea umbellata,2.55,1.3,1.8,,,,,
1,6,123,Rapanea umbellata,2.6,1.7,2,,,,,
1,6,124,Myrcia fallax,2.7,3.6,3.5,,,,,
1,6,125,Myrcia fallax,2.2,1.9,4.1,,,,,
1,6,126,Myrcia fallax,2.7,2.1+1.3+1.2,5.1,,,,,
1,6,127,Rapanea umbellata,7,5.2,6.2,,,,,
1,6,128,Vochysia tucanorum,8,16.2,18.7,,,,,
1,6,129,Myrcia fallax,3,6.5,6.4,,,,,
1,6,130,Rapanea umbellata,7,5.9,6.8,,,,,
1,6,131,Gochnatia polymorpha,6,6.8,8.5,,,,,
1,6,132,Ocotea corymbosa,6.5,7.5,8.1,,,,,
1,6,133,Rapanea umbellata,5,5,6.2,,,,,
1,6,134,Vochysia tucanorum,5.5,5.1,6.8,,,,,
1,6,135,Annona crassiflora,4.8,9,10.5,,,,,
1,6,136,Myrcia fallax,3.1,7.8+5.7,6.2+5.1,,,,,
1,6,137,Bowdichia virgilioides,4.5,5.4,6.5,,,,,
1,6,138,Gochnatia polymorpha,5,7,11.3,,,,,
1,6,139,Myrcia fallax,3,6.8,7.5,,,,,
1,7,140,Vochysia tucanorum,2.6,2.8,4.2,,,,,
1,7,141,Vochysia tucanorum,4.7,4.7,6.2,,,,,
1,7,142,Gochnatia polymorpha,3,2.9+2.5+1.8+2,5.5,,,,,
1,7,143,Myrcia fallax,3,2.+2.9,3.4,,,,,
1,7,144,Gochnatia polymorpha,5,5.5,5.2,,,,,
1,7,145,Gochnatia polymorpha,4.5,7.9,9.3,,,,,
