Species,Code,FG,Life Form
Jacaranda micrantha,JAMI,F,tree
Jacaranda oxyphylla,JAOX,S,shrub
Jacaranda rufa,JARU,S,shrub
Jacaranda sp.,JASP,S,shrub
Kielmeyera coriacea,KICO,S,tree
Lacistema hasslerianum,LAHA,G,treelet
Lafoensia vandelliana,LAVA,S,tree
Lantana camara,LACA,G,shrub
Leandra melastomoides,LEME,G,treelet
Lepidaploa chamissonis,LECH,S,shrub
Leptolobium elegans,LEEL,S,tree
Lessingianthus bardanoides,LEBA,S,shrub
Lessingianthus bardanoides,LEBA,S,shrub
Lippia salviifolia,LISA,S,shrub
Lithraea molleoides,LIMO,F,tree
Luehea candicans,LUCA,G,tree
Luehea grandiflora,LUGR,G,tree
Machaerium acutifolium,MAAC,S,tree
Machaerium brasiliense,MABR,G,tree
Machaerium stipitatum,MAST,F,tree
Maprounea guianensis,MAGU,G,tree
Matayba elaeagnoides,MAEL,G,tree
Maytenus robusta,MARO,G,tree
Miconia albicans,MIAL,S,treelet
Miconia fallax,MIFA,S,shrub
Miconia ligustroides,MILI,S,treelet
Miconia paucidens,MIPA,G,shrub
Miconia sellowiana,MISE,G,tree
Miconia stenostachya,MIST,S,shrub
Mimosa dolens var. acerba,MIDO,S,shrub
Mimosa dolens var. rigida,MIDO,S,shrub
Mollinedia widgrenii,MOWI,F,tree
Myrcia fallax,MYFA,G,tree
Myrcia lasiantha,MYLA,G,tree
Myrcia lingua,MYLI,S,tree
Myrcia multiflora,MYMU,G,tree
Myrcia tomentosa,MYTO,G,tree
Myrcia tomentosa,MYTO,S,tree
Myrcia venulosa,MYVE,S,tree
Myrciaria floribunda,MYFL,G,tree
Myrsine coriacea subsp. coriacea,RAFE,G,tree
Myrsine guianensis,RAGU,S,tree
Myrsine umbellata,RAUM,G,tree
Myrtaceae sp1.,MYSP,,
Nectandra cuspidata,NECU,F,tree
Nectandra lanceolata,NELA,F,tree
Nectandra oppositifolia,NEOP,F,tree
Ocotea corymbosa,OCCO,G,tree
Ocotea diospyrifolia,OCDI,F,tree
Ocotea minarum,OCMI,G,tree
Ocotea puberula,OCPU,F,tree
Ocotea pulchella,OCPU,G,tree
Ocotea sp1.,OCSP,F,tree
Ocotea velloziana,OCVE,F,tree
Ocotea velutina,OCVE,F,tree
Ouratea spectabilis,OUSP,S,tree
Palicourea marcgravii,PAMA,G,shrub
Parapiptadenia rigida,PARI,F,tree
Pera obovata,PEOB,G,tree
Persea willdenovii,PEWI,F,tree
Pinus elliottii,PIEL,exo,tree
Piper mollicomum,PIMO,F,shrub
Piptadenia gonoacantha,PIGO,G,tree
Piptocarpha axillaris,PIAX,F,tree
Piptocarpha rotundifolia,PIRO,S,treelet
Plathymenia reticulata,PLRE,G,tree
Platypodium elegans,PLEL,F,tree
Plenckia populnea,PLPO,S,tree
Pouteria ramiflora,PORA,G,tree
Pouteria sp1.,POSP,S,tree
Pouteria torta,POTO,S,tree
Protium heptaphyllum,PRHE,G,tree
Prunus myrtifolia,PRMY,G,tree
Psidium australe,PSAU,S,shrub
Psidium grandifolium,PSGR,S,shrub
Psidium grandifolium,PSGR,S,shrub
Psidium guajava,PSGU,exo,tree
Psidium laruotteanum,PSLA,S,treelet
Psidium salutare var. pohlianum,PSSA,S,treelet
Psychotria carthagenensis,PSCA,F,shrub
Psychotria vellosiana,PSVE,G,treelet
Qualea cordata,QUCO,S,tree
Qualea grandiflora,QUGR,S,tree
Qualea multiflora,QUMU,S,tree
Randia calycina,RACA,F,treelet
Rapanea lancifolia,RALA,F,tree
Rhamnidium elaeocarpum,RHEL,F,tree
Rollinia sylvatica,ROSY,F,tree
Roupala montana,ROMO,S,tree
Schefflera vinosa,SCVI,S,treelet
Senna pendula,SEPE,F,treelet
Senna rugosa,SERU,S,shrub
Siparuna guianensis,SIGU,G,tree
Solanum lycocarpum,SOLY,S,shrub
Stryphnodendron adstringens,STAD,S,tree
Stryphnodendron rotundifolium,STRO,S,tree
Styrax camporum,STCA,S,tree
Styrax ferrugineus,STFE,S,tree
Styrax pohlii,STPO ,F,tree
Sweetia fruticosa,SWFR,F,tree
Symplocos mosenii,SYMO,G,tree
Symplocos pubescens,SYPU,S,treelet
Tabebuia ochracea,TAOC,G,tree
Tabernaemontana catharinensis,TACA,F,tree
Tapirira guianensis,TAGU,G,tree
Terminalia glabrescens,TEGL,G,tree
Tibouchina stenocarpa,TIST,S,tree
Tocoyena formosa,TOFO,S,shrub
Trichilia pallida,TRPA,F,tree
Vernonanthura phosphorica,VEPH,G,shrub
Vernonia sp1.,VESP,S,shrub
Vernonia sp2.,VESP,G,shrub
Vitex megapotamica,VIME,F,tree
Vochysia tucanorum,VOTU,G,tree
Zanthoxylum rhoifolium,ZARH,G,tree
Zeyheria montana,ZEMO,S,shrub
Zeyheria tuberculosa,ZETU,G,tree
Cecropia pachystachya,CEPA,F,tree
Aegiphila sellowiana,AESE,F,tree
Tabebuia aurea,TAAU,S,tree
Erythroxylum tomentosum,ERTO,S,treelet
Byrsonima laxiflora,BYLA,G,tree
Xylopia aromatica,XYAR,G,tree
Guattarda viburnoides,GUVI,F,tree
Symplocos reflexa,SYRE,F,tree
