Species,Code,FG,Life Form
Actinostemon schomburgkii,ACSC,F,treelet
Adenocalymma axillare,ADAX,S,shrub
Aegiphila verticillata,AEVE,S,tree
Alibertia edulis,ALED,F,Treelet
Amaioua intermedia,AMIN,G,tree
Anadenanthera falcata,ANFA,G,tree
Annona cacans,ANCA,F,tree
Annona coriacea,ANCO,S,tree
Annona crassiflora,ANCR,S,tree
Annona dioica,ANDI,S,shrub
Annona nutans,ANNU,S,shrub
Aspidosperma tomentosum,ASTO,S,tree
Baccharis dracunculifolia,BADR,G,treelet
Banisteriopsis campestris,BACA,S,shrub
Bauhinia longifolia,BALO,F,tree
Bauhinia rufa,BARU,S,shrub
Blepharocalyx salicifolius,BLSA,G,tree
Bowdichia virgilioides,BOVI,S,tree
Brosimum gaudichaudii,BRGA,S,tree
Byrsonima basiloba,BYBA,S,tree
Byrsonima coccolobifolia,BYCO,S,tree
Byrsonima intermedia,BYIN,S,shrub
Calyptranthes concinna,CACO,F,tree
Calyptranthes lucida,CALU,F,tree
Campomanesia adamantium,CAAD,S,shrub
Campomanesia guaviroba,CAGU,F,tree
Campomanesia guazumifolia,CAGU,F,tree
Campomanesia xanthocarpa,CAXA,F,tree
Cariniana estrellensis,CAES,F,tree
Caryocar brasiliense,CABR,S,tree
Casearia decandra,CADE,F,tree
Casearia gossypiosperma,CAGO,F,tree
Casearia lasiophylla,CALA,F,tree
Casearia sylvestris,CASY,F,tree
Cedrela fissilis,CEFI,F,tree
Cestrum mariquitense,CESE,F,shrub
Chamaecrista cathartica,CHCA,S,shrub
Chiococca alba,CHAL,F,shrub
Chomelia obtusa,CHOB,F,treelet
Chromolaena laevigata,CHLA,G,shrub
Chromolaena maximilianii,CHMA,G,shrub
Chromolaena oxylepis,CHOX,G,shrub
Chromolaena squalida,CHSQ,G,shrub
Chrysophyllum marginatum,CHMA,G,tree
Citrus í„ limon,CIÍ„,F,tree
Connarus suberosus,COSU,S,treelet
Copaifera langsdorffii,COLA,G,tree
Cordia sellowiana,COSE,F,tree
Cordia trichotoma,COTR,F,tree
Coutarea hexandra,COHE,G,tree
Croton floribundus,CRFL,F,tree
Cupania tenuivalvis,CUTE,G,treelet
Cupania vernalis,CUVE,F,tree
Cybistax antisyphilitica,CYAN,S,tree
Dalbergia miscolobium,DAMI,S,tree
Daphnopsis fasciculata,DAFA,G,tree
Daphnopsis racemosa,DARA,G,tree
Dasyphyllum,DA,F,tree
Davilla elliptica,DAEL,S,shrub
Dendropanax cuneatus,DECU,F,tree
Dimorphandra mollis,DIMO,S,tree
Diospyros burchelli,DIBU,S,tree
Duguetia furfuracea,DUFU,S,shrub
Eriotheca gracilipes,ERGR,S,tree
Erythroxylum cuneifolium,ERCU,S,shrub
Erythroxylum deciduum,ERDE,G,tree
Erythroxylum pelleterianum,ERPE,G,treelet
Erythroxylum suberosum,ERSU,S,treelet
Esenbeckia febrifuga,ESFE,F,treelet
Eugenia aurata,EUAU,S,treelet
Eugenia bimarginata,EUBI,S,shrub
Eugenia florida,EUFL,F,tree
Eugenia livida,EULI,S,treelet
Eugenia myrcianthes,EUMY,G,tree
Eugenia punicifolia,EUPU,S,treelet
Eugenia pyriformis,EUPY,S,treelet
Eugenia sp5.,EUSP,F,tree
Eugenia speciosa,EUSP,F,tree
Faramea montevidensis,FAMO,G,tree
Ficus,FI,F,tree
Ficus citrifolia,FICI,G,tree
Ficus gomelleira,FIGO,G,tree
Fridericia platyphylla,FRPL,S,shrub
Gochnatia barrosii,GOBA,S,shrub
Gochnatia polymorpha,GOPO,G,tree
Gochnatia pulchra,GOPU,S,shrub
Gomidesia,GO,G,tree
Gomidesia elliptica,GOEL,F,tree
Guapira graciliflora,GUGR,F,tree
Guapira hirsuta,GUHI,F,tree
Guapira opposita,GUOP,G,tree
Guatteria nigrescens,GUNI,F,tree
Hancornia speciosa,HASP,S,tree
Helicteres brevispira,HEBR,G,treelet
Helietta apiculata,HEAP,F,tree
Heteropterys,HE,S,shrub
Heteropterys byrsonimifolia,HEBY,S,shrub
Hymenaea stigonocarpa,HYST,S,tree
Ixora venulosa,IXVE,F,tree
Jacaranda caroba,JACA,S,shrub
